Time,from_ingress_queue_size,to_ingress_queue_size
7631.39,1,nan
7632.14,0,0
16791.2,1,0
16791.9,0,0
18317,1,0
18317.8,0,0
32049.9,1,0
32050.7,0,0
33575.8,1,0
33576.6,0,0
47308.7,1,0
47309.5,0,0
48834.6,1,0
48835.4,0,0
65626.8,1,0
65627.5,0,0
67152.7,1,0
67153.4,0,1
67154.4,0,0
75449.2,1,0
75449.9,0,0
76975,1,0
76975.8,0,0
84604.4,1,0
84605.2,0,0
86130.3,1,0
86131.1,0,1
86132.1,0,0
87656.2,1,0
87656.9,0,0
98337.4,1,0
98338.1,0,0
99863.2,1,0
99864,0,0
101389,1,0
101390,0,1
101391,0,0
102915,1,0
102916,0,0
113596,1,0
113597,0,0
115122,1,0
115123,0,1
115124,0,0
116648,1,0
116649,0,0
127329,1,0
127330,0,0
128855,1,0
128856,0,1
128857,0,0
130381,1,0
130382,0,0
141062,1,0
141063,0,0
142588,1,0
142589,0,0
144114,1,0
144114,0,1
144115,0,0
145640,1,0
145640,0,0
153269,1,0
153270,0,0
154795,1,0
154796,0,1
154797,0,0
156321,1,0
156321,0,0
160898,1,0
160899,0,0
162424,1,0
162425,0,1
162426,0,0
163950,1,0
163951,0,0
168528,1,0
168529,0,0
170054,1,0
170054,0,0
174631,1,0
174632,0,0
176157,1,0
176158,0,0
177683,1,0
177684,0,1
177685,0,0
179209,1,0
179210,0,0
186838,1,0
186839,0,0
188364,1,0
188365,0,0
189890,1,0
189891,0,0
191416,1,0
191417,0,1
191418,0,0
192942,1,0
192943,0,0
200571,1,0
200572,0,0
202097,1,0
202098,0,0
203623,1,0
203624,0,0
205149,1,0
205150,0,1
205151,0,0
206675,1,0
206676,0,0
214304,1,0
214305,0,0
215830,1,0
215831,0,0
217356,1,0
217357,0,0
218882,1,0
218883,0,1
218884,0,0
220408,1,0
220408,0,0
228037,1,0
228038,0,0
229563,1,0
229564,0,0
231089,1,0
231090,0,0
232615,1,0
232615,0,1
232616,0,0
234141,1,0
234141,0,0
238718,1,0
238719,0,0
240244,1,0
240245,0,0
241770,1,0
241771,0,0
243296,1,0
243297,0,0
244822,1,0
244822,0,1
244823,0,0
246348,1,0
246348,0,0
250925,1,0
250926,0,0
252451,1,0
252452,0,0
257029,1,0
257030,0,0
258555,1,0
258555,0,0
260081,1,0
260081,0,1
260082,0,0
261606,1,0
261607,0,0
266184,1,0
266185,0,0
270762,1,0
270762,0,0
272288,1,0
272288,0,0
276865,1,0
276866,0,0
284495,1,0
284495,0,0
286020,1,0
286021,0,0
290598,1,0
290599,0,0
298227,1,0
298228,0,0
299753,1,0
299754,0,0
301279,1,0
301280,0,1
301281,0,0
302805,1,0
302806,0,0
310435,1,0
310435,0,0
311960,1,0
311961,0,1
311962,0,0
313486,1,0
313487,0,0
324167,1,0
324168,0,0
325693,1,0
325694,0,0
327219,1,0
327220,0,1
327221,0,0
328745,1,0
328746,0,0
336374,1,0
336375,0,0
337900,1,0
337901,0,0
339426,1,0
339427,0,0
340952,1,0
340953,0,1
340954,0,0
342478,1,0
342479,0,0
350107,1,0
350108,0,0
351633,1,0
351634,0,0
353159,1,0
353160,0,0
354685,1,0
354686,0,1
354687,0,0
356211,1,0
356212,0,0
360789,1,0
360789,0,0
362314,1,0
362315,0,0
363840,1,0
363841,0,0
365366,1,0
365367,0,0
366892,1,0
366893,0,1
366894,0,0
368418,1,0
368419,0,0
372996,1,0
372996,0,0
374521,1,0
374522,0,0
376047,1,0
376048,0,0
377573,1,0
377574,0,0
379099,1,0
379100,0,0
380625,1,0
380626,0,1
380627,0,0
382151,1,0
382152,0,0
386728,1,0
386729,0,0
388254,1,0
388255,0,0
389780,1,0
389781,0,0
391306,1,0
391307,0,0
392832,1,0
392833,0,0
394358,1,0
394359,0,0
395884,1,0
395884,0,0
397410,1,0
397410,0,0
398935,1,0
398936,0,0
400461,1,0
400462,0,0
401987,1,0
401988,0,0
403513,1,0
403514,0,0
405039,1,0
405040,0,0
406565,1,0
406566,0,0
408091,1,0
408092,0,0
409617,1,0
409617,0,0
411143,1,0
411143,0,1
411144,0,0
412668,1,0
412669,0,0
417246,1,0
417247,0,0
418772,1,0
418773,0,0
420298,1,0
420299,0,0
421824,1,0
421824,0,0
423350,1,0
423350,0,1
423351,0,0
424875,1,0
424876,0,0
429453,1,0
429454,0,0
430979,1,0
430980,0,0
432505,1,0
432506,0,1
432507,0,0
434031,1,0
434031,0,0
438608,1,0
