Time,from_ingress_queue_size,to_ingress_queue_size
6103.52,4096,nan
7630.39,6144,nan
9155.27,2048,0
10681.2,0,2048
10684.2,0,0
15264,4096,0
18315.8,0,4096
18317.8,4096,4096
18318.8,4096,0
19843.7,6144,0
21369.5,4096,4096
21372.5,4096,0
22895.4,2048,2048
22898.4,2048,0
24421.3,0,2048
24424.3,0,0
24427.5,4096,0
27479.3,4096,4096
27482.3,4096,0
30531,0,4096
30533,4096,4096
30534,4096,0
33584.8,4096,4096
33587.8,4096,0
35110.7,6144,0
36636.6,4096,4096
36639.6,4096,0
38162.4,4096,2048
38165.4,4096,0
39688.3,4096,2048
39691.3,4096,0
41214.2,2048,2048
41217.2,2048,0
42740.1,4096,2048
42743.1,4096,0
45791.8,4096,4096
45794.8,4096,0
48843.6,4096,4096
48846.6,4096,0
51895.4,4096,4096
51898.4,4096,0
53421.2,6144,0
54947.1,4096,4096
54950.1,4096,0
56473,4096,2048
56476,4096,0
57998.9,4096,2048
58001.9,4096,0
59524.7,2048,2048
59527.7,2048,0
61050.6,4096,2048
61053.6,4096,0
64102.4,4096,4096
64105.4,4096,0
65628.3,6144,0
67154.1,2048,4096
67157.1,2048,0
68680,4096,2048
68683,4096,0
70205.9,6144,0
71731.8,4096,4096
71734.8,4096,0
73257.7,4096,2048
73260.7,4096,0
74783.5,2048,2048
74786.5,2048,0
76309.4,4096,2048
76312.4,4096,0
79361.2,4096,4096
79364.2,4096,0
80887.1,6144,0
82412.9,2048,4096
82415.9,2048,0
83938.8,4096,2048
83941.8,4096,0
85464.7,6144,0
86990.6,4096,4096
86993.6,4096,0
88516.4,4096,2048
88519.4,4096,0
90042.3,2048,2048
90045.3,2048,0
91568.2,4096,2048
91571.2,4096,0
93094.1,6144,0
94620,2048,4096
94623,2048,0
96145.8,4096,2048
96148.8,4096,0
97671.7,6144,0
99197.6,4096,4096
99200.6,4096,0
100723,4096,2048
100726,4096,0
102249,2048,2048
102252,2048,0
103775,4096,2048
103778,4096,0
105301,6144,0
106827,2048,4096
106830,2048,0
108353,4096,2048
108356,4096,0
109879,6144,0
111405,4096,4096
111408,4096,0
112931,4096,2048
112934,4096,0
114456,4096,2048
114459,4096,0
115982,2048,2048
115985,2048,0
117508,4096,2048
117511,4096,0
119034,6144,0
120560,2048,4096
120563,2048,0
122086,4096,2048
122089,4096,0
123612,6144,0
125138,4096,4096
125141,4096,0
126663,4096,2048
126666,4096,0
128189,2048,2048
128192,2048,0
129715,4096,2048
129718,4096,0
132767,4096,4096
132770,4096,0
134293,6144,0
135819,2048,4096
135822,2048,0
137345,4096,2048
137348,4096,0
138870,6144,0
140396,4096,4096
140399,4096,0
141922,4096,2048
141925,4096,0
143448,2048,2048
143451,2048,0
144974,4096,2048
144977,4096,0
148026,4096,4096
148029,4096,0
151077,4096,4096
