Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
746.058,0,0
2240.32,10000,0
2241.32,20000,0
2985.38,10000,10000
2986.31,10000,0
3730.44,0,10000
3736.44,0,0
6705.67,10000,0
6706.67,20000,0
6720.97,30000,0
7450.73,20000,10000
7456.66,20000,0
8195.79,10000,10000
8200.71,10000,0
8940.85,0,10000
8944.77,0,0
15650.4,10000,0
16056.6,20000,0
16395.4,20000,10000
16397.4,20000,0
17140.5,10000,10000
17141.5,10000,0
17885.5,0,10000
17886.5,0,0
29057.4,10000,0
29802.5,0,10000
29804.4,0,0
31297.6,10000,0
32042.6,0,10000
32044.6,0,0
47688.9,10000,0
47689.9,20000,0
48433.9,10000,10000
48434.9,10000,0
49179,0,10000
49180,0,0
63330.1,10000,0
64075.1,10000,10000
64077.1,10000,0
64820.2,0,10000
64825.1,0,0
75996.1,10000,0
76741.1,0,10000
76745.1,10000,10000
76746.1,20000,10000
76747.1,20000,0
77490.2,10000,10000
77491.2,10000,0
78235.2,0,10000
78236.2,0,0
84940.8,10000,0
85685.8,10000,10000
85687.8,10000,0
86429.9,20000,0
86430.9,20000,10000
86431.9,20000,0
87175.9,10000,10000
87176.9,10000,0
87921,0,10000
87921.9,0,0
96116.6,10000,0
96861.7,10000,10000
96863.6,10000,0
97605.8,20000,0
97606.8,10000,10000
97607.8,10000,0
98350.8,20000,0
98351.8,10000,10000
98352.8,10000,0
99096.9,0,10000
99097.9,0,0
111764,10000,0
112509,10000,10000
112510,20000,10000
112511,20000,0
113254,10000,10000
113255,10000,0
113999,0,10000
114005,0,0
125170,10000,0
125915,0,10000
125919,10000,10000
125921,10000,0
126664,0,10000
126665,0,0
127408,10000,0
128153,0,10000
128154,0,0
141561,10000,0
141562,20000,0
142306,10000,10000
142308,10000,0
143051,0,10000
143057,0,0
159448,10000,0
160193,0,10000
160194,0,0
173604,10000,0
173605,20000,0
174349,10000,10000
174351,10000,0
175094,0,10000
175095,0,0
185520,10000,0
186265,10000,10000
186267,10000,0
187010,0,10000
187015,0,0
197441,10000,0
197442,20000,0
198186,20000,10000
198188,20000,0
198931,10000,10000
198933,10000,0
199676,0,10000
199681,0,0
210112,10000,0
210857,0,10000
210859,0,0
211600,10000,0
211601,20000,0
212345,10000,10000
212346,10000,0
213090,0,10000
213092,0,0
225758,10000,0
225759,20000,0
226498,30000,0
226503,20000,10000
226504,20000,0
227248,10000,10000
227249,10000,0
227993,0,10000
227999,0,0
238423,10000,0
239168,0,10000
239169,0,0
239912,10000,0
240657,0,10000
240661,0,0
241402,10000,0
241403,20000,0
242147,10000,10000
242151,10000,0
242892,0,10000
242894,0,0
253324,10000,0
254069,0,10000
254071,0,0
256305,10000,0
257050,0,10000
257052,0,0
267480,10000,0
267481,20000,0
268225,10000,10000
268228,10000,0
268970,0,10000
268971,0,0
279402,10000,0
280142,20000,0
280147,10000,10000
280148,10000,0
280892,0,10000
280893,0,0
292068,10000,0
292813,10000,10000
292814,20000,10000
292815,20000,0
293558,10000,10000
293559,10000,0
294303,0,10000
294309,0,0
301753,10000,0
302498,10000,10000
302500,10000,0
303243,0,10000
303245,0,0
303987,10000,0
303988,20000,0
304732,10000,10000
304733,10000,0
305477,0,10000
305479,0,0
309948,10000,0
310693,0,10000
310695,0,0
311437,10000,0
312182,0,10000
312185,0,0
312928,10000,0
313673,0,10000
313674,0,0
314418,10000,0
315163,0,10000
315167,0,0
324105,10000,0
324850,0,10000
324851,0,0
325594,10000,0
325595,20000,0
326339,10000,10000
326343,10000,0
327084,0,10000
327086,0,0
335280,10000,0
336025,0,10000
336027,0,0
336766,10000,0
337511,10000,10000
337513,10000,0
338257,0,10000
338261,0,0
344966,10000,0
344967,20000,0
345711,10000,10000
345713,10000,0
346456,0,10000
346457,0,0
347200,10000,0
347945,0,10000
347947,10000,10000
347949,10000,0
348692,0,10000
348693,0,0
353907,10000,0
354652,10000,10000
354653,20000,10000
354654,20000,0
355397,20000,10000
355399,20000,0
356141,30000,0
356142,20000,10000
356143,20000,0
356887,10000,10000
356888,10000,0
357632,0,10000
357633,0,0
361358,10000,0
362103,0,10000
362105,0,0
362846,10000,0
363591,0,10000
363593,10000,10000
363595,10000,0
364337,20000,0
364338,30000,0
364339,20000,10000
364340,20000,0
365082,30000,0
365084,20000,10000
365085,20000,0
365827,30000,0
365829,20000,10000
365830,20000,0
366572,30000,0
366574,20000,10000
366575,20000,0
367317,30000,0
367319,20000,10000
367320,20000,0
368062,30000,0
368064,20000,10000
368065,20000,0
368807,30000,0
368808,40000,0
368809,30000,10000
368810,30000,0
369552,40000,0
369554,30000,10000
369555,30000,0
370297,40000,0
370299,30000,10000
370300,30000,0
371042,40000,0
371044,30000,10000
371045,30000,0
371787,40000,0
371789,30000,10000
371790,30000,0
372532,40000,0
372534,30000,10000
372535,30000,0
373277,40000,0
373279,30000,10000
373280,30000,0
374024,20000,10000
374025,20000,0
374769,10000,10000
374770,10000,0
375514,0,10000
375515,0,0
