Time,from_ingress_queue_size,to_ingress_queue_size
1,256,nan
191.735,0,nan
1191.73,0,0
2001,256,0
2191.73,0,0
3191.73,0,256
3192.73,0,0
4388.96,256,0
4579.69,0,0
5579.69,0,256
5580.69,0,0
8774.92,256,0
8965.65,0,0
9965.65,0,256
9966.65,0,0
13160.9,256,0
13161.9,512,0
13351.6,256,0
13542.3,0,0
14351.6,0,256
14352.6,0,0
14542.3,0,256
14543.3,0,0
17546.8,256,0
17737.6,256,0
17928.3,0,0
18737.6,0,256
18738.6,0,0
18928.3,0,256
18929.3,0,0
21932.8,256,0
22123.5,256,0
22314.3,0,0
23123.5,0,256
23124.5,0,0
23314.3,0,256
23315.3,0,0
26318.8,256,0
26319.8,512,0
26509.5,512,0
26700.2,256,0
26891,0,0
27509.5,0,256
27510.5,0,0
27700.2,0,256
27701.2,0,0
27891,0,256
27892,0,0
30704.7,256,0
30895.5,256,0
31086.2,256,0
31276.9,0,0
31895.5,0,256
31896.5,0,0
32086.2,0,256
32087.2,0,0
32276.9,0,256
32277.9,0,0
35090.7,256,0
35281.4,256,0
35472.1,256,0
35473.1,512,0
35662.9,256,0
35853.6,0,0
36281.4,0,256
36282.4,0,0
36472.1,0,256
36473.1,0,0
36662.9,0,256
36663.9,0,0
36853.6,0,256
36854.6,0,0
39476.6,256,0
39667.4,256,0
39858.1,256,0
40048.8,256,0
40239.6,0,0
40667.4,0,256
40668.4,0,0
40858.1,0,256
40859.1,0,0
41048.8,0,256
41049.8,0,0
41239.6,0,256
41240.6,0,0
43862.6,256,0
44053.3,256,0
44244.1,256,0
44434.8,256,0
44625.5,0,0
45053.3,0,256
45054.3,0,0
45244.1,0,256
45245.1,0,0
45434.8,0,256
45435.8,0,0
45625.5,0,256
45626.5,0,0
48248.6,256,0
48249.6,512,0
48439.3,512,0
48630,512,0
48820.8,512,0
49011.5,256,0
49202.2,0,0
49439.3,0,256
49440.3,0,0
49630,0,256
49631,0,0
49820.8,0,256
49821.8,0,0
50011.5,0,256
50012.5,0,0
50202.2,0,256
50203.2,0,0
52634.5,256,0
52825.3,256,0
53016,256,0
53206.7,256,0
53397.5,256,0
53588.2,0,0
53825.3,0,256
53826.3,0,0
54016,0,256
54017,0,0
54206.7,0,256
54207.7,0,0
54397.5,0,256
54398.5,0,0
54588.2,0,256
54589.2,0,0
57020.5,256,0
57211.2,256,0
57401.9,256,0
57402.9,512,0
57592.7,512,0
57783.4,512,0
57974.2,256,0
58164.9,0,0
58211.2,0,256
58212.2,0,0
58401.9,0,256
58402.9,0,0
58592.7,0,256
58593.7,0,0
58783.4,0,256
58784.4,0,0
58974.2,0,256
58975.2,0,0
59164.9,0,256
59165.9,0,0
61406.4,256,0
61597.2,256,0
61787.9,256,0
61978.6,256,0
62169.4,256,0
62360.1,256,0
62550.8,0,0
62597.2,0,256
62598.2,0,0
62787.9,0,256
62788.9,0,0
62978.6,0,256
62979.6,0,0
63169.4,0,256
63170.4,0,0
