Time,from_ingress_queue_size,to_ingress_queue_size
451.109,1,nan
451.184,0,0
1121.66,1,0
1121.74,0,0
1343.18,1,0
1343.25,0,0
2573.52,1,0
2573.6,0,0
2796.04,1,0
2796.12,0,0
3019.56,1,0
3019.63,0,0
3131.32,1,0
3131.39,0,0
5480.25,1,0
5480.33,0,0
5705.77,1,0
5705.84,0,0
5929.29,1,0
5929.36,0,0
6152.8,1,0
6152.88,0,0
6376.32,1,0
6376.4,0,0
6488.08,1,0
6488.15,0,0
8050.7,1,0
8050.78,0,0
8161.46,1,0
8161.53,0,0
9055.53,1,0
9055.6,0,0
9167.29,1,0
9167.36,0,0
10284.9,1,0
10285,0,0
10396.6,1,0
10396.7,0,0
10619.2,1,0
10619.2,0,0
12076,1,0
12076.1,0,0
12184.8,1,0
12184.8,0,0
12407.3,1,0
12407.4,0,0
12523,1,0
12523.1,0,0
13638.6,1,0
13638.7,0,0
13750.4,1,0
13750.5,0,0
15091.5,1,0
15091.6,0,0
15203.3,1,0
15203.3,0,0
15424.8,1,0
15424.9,0,0
16767.9,1,0
16768,0,0
16879.6,1,0
16879.7,0,0
17101.2,1,0
17101.2,0,0
18109,1,0
18109.1,0,0
18330.5,1,0
18330.6,0,0
18558,1,0
18558.1,0,0
18668.8,1,0
18668.9,0,0
19673.6,1,0
19673.7,0,0
19785.4,1,0
19785.4,0,0
19895.1,1,0
19895.2,0,0
20118.6,1,0
20118.7,0,0
20233.4,1,0
20233.5,0,0
21461.7,1,0
21461.8,0,0
21573.5,1,0
21573.6,0,0
21683.3,1,0
21683.3,0,0
21906.8,1,0
21906.9,0,0
22021.5,1,0
22021.6,0,0
22134.3,1,0
22134.4,0,0
23582.2,1,0
23582.2,0,0
23696.9,1,0
23697,0,0
23808.7,1,0
23808.8,0,0
24034.2,1,0
24034.3,0,0
24145,1,0
24145,0,0
24253.7,1,0
24253.8,0,0
24477.2,1,0
24477.3,0,0
25709.6,1,0
25709.7,0,0
25821.3,1,0
25821.4,0,0
25934.1,1,0
25934.2,0,0
26045.9,1,0
26045.9,0,0
27050.7,1,0
27050.8,0,0
27271.2,1,0
27271.3,0,0
28280,1,0
28280.1,0,0
28500.5,1,0
28500.6,0,0
28724.1,1,0
28724.1,0,0
29844.6,1,0
29844.7,0,0
30068.2,1,0
30068.2,0,0
30401.4,1,0
30401.5,0,0
30628,1,0
30628,0,0
31633.8,1,0
31633.9,0,0
31968.1,1,0
31968.1,0,0
32188.6,1,0
32188.7,0,0
32304.3,1,0
32304.4,0,0
32416.1,1,0
32416.2,0,0
33198.4,1,0
33198.5,0,0
33533.7,1,0
33533.8,0,0
33642.4,1,0
33642.5,0,0
33753.2,1,0
33753.3,0,0
34650.3,1,0
34650.3,0,0
34760,1,0
34760.1,0,0
34870.8,1,0
34870.9,0,0
35879.6,1,0
35879.7,0,0
35989.4,1,0
35989.5,0,0
36104.1,1,0
36104.2,0,0
37218.7,1,0
37218.8,0,0
37330.5,1,0
37330.6,0,0
37445.2,1,0
37445.3,0,0
39009.9,1,0
39009.9,0,0
39118.6,1,0
39118.7,0,0
40459.7,1,0
40459.8,0,0
40571.5,1,0
40571.6,0,0
40798,1,0
40798.1,0,0
42361.6,1,0
42361.7,0,0
42582.1,1,0
42582.2,0,0
44485,1,0
44485.1,0,0
44709.6,1,0
44709.6,0,0
46049.7,1,0
46049.7,0,0
46161.4,1,0
46161.5,0,0
47614.3,1,0
47614.4,0,0
49290.7,1,0
49290.7,0,0
49403.4,1,0
49403.5,0,0
