Time,from_ingress_queue_size,to_ingress_queue_size
1527.62,1,nan
1528.37,0,1
1529.37,0,0
3052.5,1,0
3053.25,0,1
3055.25,0,0
3056.99,1,0
3057.74,0,1
3059.74,0,0
3821.93,1,0
3822.68,0,1
3824.68,0,0
4588.62,1,0
4589.36,0,1
4591.36,0,0
5352.3,1,0
5353.05,0,1
5355.05,0,0
6109.75,1,0
6110.5,0,1
6112.5,0,0
6114.24,1,0
6114.99,0,1
6116.99,0,0
6878.18,1,0
6878.93,0,1
6880.93,0,0
7635.63,1,0
7636.37,0,1
7638.37,0,0
7640.12,1,0
7640.86,0,1
7642.86,0,0
8404.06,1,0
8404.8,0,1
8406.8,0,0
9167,1,0
9167.74,0,1
9169,1,1
9169.74,0,1
9172.74,0,0
9928.94,1,0
9929.68,0,1
9931.68,0,0
10692.9,1,0
10693.6,0,1
10694.9,1,1
10695.6,0,1
10698.6,0,0
11454.8,1,0
11455.6,0,1
11457.6,0,0
12218.8,1,0
12219.5,0,1
12220.8,1,1
12221.5,0,1
12224.5,0,0
12980.7,1,0
12981.4,0,1
12983.4,0,0
13744.6,1,0
13745.4,0,1
13746.6,1,1
13747.4,0,1
13750.4,0,0
14506.6,1,0
14507.3,0,1
14509.3,0,0
15270.5,1,0
15271.3,0,1
15272.5,1,1
15273.3,0,1
15276.3,0,0
16032.5,1,0
16033.2,0,1
16035.2,0,0
16796.4,1,0
16797.1,0,1
16798.4,1,1
16799.1,0,1
16802.1,0,0
17559.3,1,0
17560.1,0,1
17562.1,0,0
18322.3,1,0
18323,0,1
18325,0,0
19089.7,1,0
19090.4,0,1
19092.4,0,0
19848.2,1,0
19848.9,0,1
19850.9,0,0
20620.1,1,0
20620.8,0,1
20622.8,0,0
21374,1,0
21374.8,0,1
21376.8,0,0
22150.4,1,0
22151.2,0,1
22153.2,0,0
22899.9,1,0
22900.7,0,1
22902.7,0,0
23681.1,1,0
23681.8,0,1
23683.8,0,0
24446.7,1,0
24447.5,0,1
24449.5,0,0
25214.4,1,0
25215.2,0,1
25217.2,0,0
25957.2,1,0
25957.9,0,1
25959.9,0,0
25979.1,1,0
25979.9,0,1
25981.9,0,0
26745.8,1,0
26746.5,0,1
26748.5,0,0
27509.7,1,0
27510.5,0,1
27512.5,0,0
28272.7,1,0
28273.4,0,1
28275.4,0,0
29014.4,1,0
29015.1,0,1
29017.1,0,0
29034.6,1,0
29035.4,0,1
29037.4,0,0
29798.6,1,0
29799.3,0,1
29801.3,0,0
30561.5,1,0
30562.2,0,1
30564.2,0,0
31324.4,1,0
31325.2,0,1
31327.2,0,0
32071.7,1,0
32072.4,0,1
32074.4,0,0
32086.4,1,0
32087.1,0,1
32089.1,0,0
32850.3,1,0
32851.1,0,1
32853.1,0,0
33613.3,1,0
33614,0,1
33616,0,0
34376.2,1,0
34376.9,0,1
34378.9,0,0
35128.9,1,0
35129.6,0,1
35131.6,0,0
35138.1,1,0
35138.9,0,1
35140.9,0,0
35902.1,1,0
35902.8,0,1
35904.8,0,0
36665,1,0
36665.8,0,1
36667.8,0,0
37428,1,0
37428.7,0,1
37430.7,0,0
38186.1,1,0
38186.9,0,1
38188.9,0,0
38189.9,1,0
38190.6,0,1
38192.6,0,0
38953.8,1,0
38954.6,0,1
38956.6,0,0
39716.8,1,0
39717.5,0,1
39719.5,0,0
40479.7,1,0
40480.5,0,1
40482.5,0,0
41242.7,1,0
41243.4,0,1
41244.7,1,1
41245.4,0,1
41248.4,0,0
42004.6,1,0
42005.3,0,1
42007.3,0,0
42768.5,1,0
42769.3,0,1
42771.3,0,0
43531.5,1,0
43532.2,0,1
43534.2,0,0
44294.4,1,0
44295.2,0,1
44297.2,0,0
44302.9,1,0
44303.6,0,1
44305.6,0,0
45056.3,1,0
45057.1,0,1
45059.1,0,0
45821.3,1,0
45822,0,1
45824,0,0
47352.7,1,0
47353.4,0,1
47355.4,0,0
47360.1,1,0
47360.9,0,1
47362.9,0,0
48883,1,0
48883.8,0,1
48885.8,0,0
50414.4,1,0
50415.1,0,1
50417.1,0,0
50417.4,1,0
50418.1,0,1
50420.1,0,0
51178.3,1,0
51179.1,0,1
51181.1,0,0
51942.3,1,0
51943,0,1
51945,1,0
51945.8,0,1
51948,0,0
52710.7,1,0
52711.4,0,1
52713.4,0,0
53473.6,1,0
53474.4,0,1
53476.4,1,0
53477.1,0,1
53479.4,0,0
54240.3,1,0
54241.1,0,1
54243.1,0,0
55000.5,1,0
55001.3,0,1
55002.5,1,1
55003.3,0,1
55006.3,0,0
55767.2,1,0
55768,0,1
55770,0,0
56530.1,1,0
56530.9,0,1
56532.1,1,1
56532.9,0,1
56535.9,0,0
57292.1,1,0
57292.8,0,1
57294.8,0,0
58056,1,0
58056.8,0,1
58058,1,1
58058.8,0,1
58061.8,0,0
58818,1,0
58818.7,0,1
58820.7,0,0
59581.9,1,0
59582.6,0,1
59583.9,1,1
59584.6,0,1
59587.6,0,0
60343.8,1,0
60344.6,0,1
60346.6,0,0
61107.8,1,0
61108.5,0,1
61109.8,1,1
61110.5,0,1
61113.5,0,0
61869.7,1,0
61870.5,0,1
61872.5,0,0
62633.7,1,0
62634.4,0,1
62635.7,1,1
62636.4,0,1
62639.4,0,0
63395.6,1,0
63396.3,0,1
63398.3,0,0
64159.5,1,0
64160.3,0,1
64161.5,1,1
64162.3,0,1
64165.3,0,0
64921.5,1,0
64922.2,0,1
64924.2,0,0
65685.4,1,0
65686.2,0,1
65687.4,1,1
65688.2,0,1
65691.2,0,0
66447.4,1,0
66448.1,0,1
66450.1,0,0
67211.3,1,0
67212,0,1
67214,0,0
67974.2,1,0
67975,0,1
67977,0,0
68737.2,1,0
68737.9,0,1
68739.9,0,0
68745.7,1,0
68746.4,0,1
68748.4,0,0
69499.1,1,0
69499.9,0,1
69501.9,0,0
70263.1,1,0
70263.8,0,1
70265.8,0,0
71026,1,0
71026.7,0,1
71028.7,0,0
71788.9,1,0
71789.7,0,1
71791.7,0,0
71802.9,1,0
71803.7,0,1
71805.7,0,0
72551.9,1,0
72552.6,0,1
72554.6,0,0
74083.2,1,0
74084,0,1
74086,0,0
74859.2,1,0
74859.9,0,1
74861.9,0,0
75614.6,1,0
75615.4,0,1
75617.4,0,0
77146,1,0
77146.7,0,1
77148.7,0,0
77910.9,1,0
77911.7,0,1
77913.7,0,0
77915.4,1,0
77916.2,0,1
77918.2,0,0
78677.6,1,0
78678.4,0,1
78680.4,0,0
79443.3,1,0
79444,0,1
79445.3,1,1
79446,0,1
79449,0,0
80209,1,0
80209.7,0,1
80211.7,0,0
80972.9,1,0
80973.7,0,1
80974.9,1,1
80975.7,0,1
80978.7,0,0
81734.9,1,0
81735.6,0,1
81737.6,0,0
82498.8,1,0
82499.5,0,1
82501.5,0,0
82503.5,1,0
82504.3,0,1
82506.3,0,0
83260.7,1,0
83261.5,0,1
83263.5,0,0
84024.7,1,0
84025.4,0,1
84027.4,0,0
84033.2,1,0
84033.9,0,1
84035.9,0,0
84786.6,1,0
84787.4,0,1
84789.4,0,0
85550.6,1,0
85551.3,0,1
85553.3,0,0
85559,1,0
85559.8,0,1
85561.8,0,0
86312.5,1,0
86313.2,0,1
86315.2,0,0
87076.4,1,0
87077.2,0,1
87079.2,0,0
87084.9,1,0
87085.7,0,1
87087.7,0,0
87838.4,1,0
87839.1,0,1
87841.1,0,0
88602.3,1,0
88603.1,0,1
88605.1,0,0
88610.8,1,0
88611.5,0,1
88613.5,0,0
89364.2,1,0
89365,0,1
89367,0,0
90128.2,1,0
90128.9,0,1
90130.9,0,0
90136.7,1,0
90137.4,0,1
90139.4,0,0
90890.1,1,0
90890.9,0,1
90892.9,0,0
91654.1,1,0
91654.8,0,1
91656.8,0,0
91662.6,1,0
91663.3,0,1
91665.3,0,0
92416,1,0
92416.8,0,1
92418.8,0,0
93179.9,1,0
93180.7,0,1
93182.7,0,0
93188.4,1,0
93189.2,0,1
93191.2,0,0
93941.9,1,0
93942.6,0,1
93944.6,0,0
94705.8,1,0
94706.6,0,1
94708.6,0,0
95468.8,1,0
95469.5,0,1
95471.5,0,0
96231.7,1,0
96232.4,0,1
96234.4,0,0
96245.7,1,0
96246.4,0,1
96248.4,0,0
96993.6,1,0
96994.4,0,1
96996.4,0,0
97757.6,1,0
97758.3,0,1
97760.3,0,0
98520.5,1,0
98521.3,0,1
98523.3,0,0
99284.5,1,0
99285.2,0,1
99287.2,0,0
99302.9,1,0
99303.7,0,1
99305.7,0,0
