Time,from_ingress_queue_size,to_ingress_queue_size
576.205,1,nan
576.95,0,0
1342.63,1,0
1343.38,0,1
1344.38,0,0
1534.37,1,0
1535.11,0,1
1536.11,0,0
1727.1,1,0
1727.85,0,1
1728.85,0,0
2495.53,1,0
2496.28,0,1
2497.28,0,0
2878,1,0
2878.75,0,1
2879.75,0,0
3069.74,1,0
3070.48,0,1
3071.48,0,0
3261.47,1,0
3262.22,0,1
3263.22,0,0
3453.21,1,0
3453.95,0,1
3454.95,0,0
3642.94,1,0
3643.69,0,1
3644.69,0,0
4022.41,1,0
4023.16,0,1
4024.16,0,0
4403.88,1,0
4404.63,0,1
4405.63,0,0
4785.35,1,0
4786.1,0,1
4787.1,0,0
5166.82,1,0
5167.57,0,1
5168.57,0,0
5359.56,1,0
5360.3,0,1
5361.3,0,0
5550.29,1,0
5551.04,0,1
5552.04,0,0
5741.03,1,0
5741.77,0,1
5742.77,0,0
5931.76,1,0
5932.51,0,1
5933.51,0,0
6123.5,1,0
6124.24,0,1
6125.24,0,0
6313.23,1,0
6313.98,0,1
6314.98,0,0
6504.97,1,0
6505.71,0,1
6506.71,0,0
6694.7,1,0
6695.45,0,1
6696.45,0,0
7074.17,1,0
7074.92,0,1
7075.92,0,0
7455.64,1,0
7456.38,0,1
7457.38,0,0
7837.11,1,0
7837.85,0,1
7838.85,0,0
8218.58,1,0
8219.32,0,1
8220.32,0,0
8600.05,1,0
8600.79,0,1
8601.79,0,0
8981.52,1,0
8982.26,0,1
8983.26,0,0
9362.99,1,0
9363.73,0,1
9364.73,0,0
9744.46,1,0
9745.2,0,1
9746.2,0,0
9937.19,1,0
9937.94,0,1
9938.94,0,0
10127.9,1,0
10128.7,0,1
10129.7,0,0
10318.7,1,0
10319.4,0,1
10320.4,0,0
10509.4,1,0
10510.1,0,1
10511.1,0,0
10701.1,1,0
10701.9,0,1
10702.9,0,0
10890.9,1,0
10891.6,0,1
10892.6,0,0
11082.6,1,0
11083.3,0,1
11084.3,0,0
11272.3,1,0
11273.1,0,1
11274.1,0,0
11651.8,1,0
11652.6,0,1
11653.6,0,0
12033.3,1,0
12034,0,1
12035,0,0
12414.7,1,0
12415.5,0,1
12416.5,0,0
12796.2,1,0
12797,0,1
12798,0,0
13177.7,1,0
13178.4,0,1
13179.4,0,0
13559.2,1,0
13559.9,0,1
13560.9,0,0
13940.6,1,0
13941.4,0,1
13942.4,0,0
14322.1,1,0
14322.8,0,1
14323.8,0,0
14514.8,1,0
14515.6,0,1
14516.6,0,0
14705.6,1,0
14706.3,0,1
14707.3,0,0
14897.3,1,0
14898,0,1
14899,0,0
15087,1,0
15087.8,0,1
15088.8,0,0
15278.8,1,0
15279.5,0,1
15280.5,0,0
15468.5,1,0
15469.2,0,1
15470.2,0,0
15848,1,0
15848.7,0,1
15849.7,0,0
16229.4,1,0
16230.2,0,1
16231.2,0,0
16612.9,1,0
16613.7,0,1
16614.7,0,0
16802.6,1,0
16803.4,0,1
16804.4,0,0
17763.6,1,0
17764.3,0,1
17765.3,0,0
17955.3,1,0
17956,0,1
17957,0,0
18148,1,0
18148.8,0,1
18149.8,0,0
18916.5,1,0
18917.2,0,1
18918.2,0,0
19298.9,1,0
19299.7,0,1
19300.7,0,0
19490.7,1,0
19491.4,0,1
19492.4,0,0
19682.4,1,0
19683.1,0,1
19684.1,0,0
19874.1,1,0
19874.9,0,1
19875.9,0,0
20063.9,1,0
20064.6,0,1
20065.6,0,0
20443.3,1,0
20444.1,0,1
20445.1,0,0
20824.8,1,0
20825.6,0,1
20826.6,0,0
21206.3,1,0
21207,0,1
21208,0,0
21587.7,1,0
21588.5,0,1
21589.5,0,0
21780.5,1,0
21781.2,0,1
21782.2,0,0
21972.2,1,0
21973,0,1
21974,0,0
22161.9,1,0
22162.7,0,1
22163.7,0,0
22353.7,1,0
22354.4,0,1
22355.4,0,0
22543.4,1,0
22544.2,0,1
22545.2,0,0
22922.9,1,0
22923.6,0,1
22924.6,0,0
23304.4,1,0
23305.1,0,1
23306.1,0,0
23685.8,1,0
23686.6,0,1
23687.6,0,0
24067.3,1,0
24068,0,1
24069,0,0
24448.8,1,0
24449.5,0,1
24450.5,0,0
24641.5,1,0
24642.2,0,1
24643.2,0,0
24832.2,1,0
24833,0,1
24834,0,0
25024,1,0
25024.7,0,1
25025.7,0,0
25213.7,1,0
25214.5,0,1
25215.5,0,0
25405.4,1,0
25406.2,0,1
25407.2,0,0
25595.2,1,0
25595.9,0,1
25596.9,0,0
25974.6,1,0
25975.4,0,1
25976.4,0,0
26356.1,1,0
26356.9,0,1
26357.9,0,0
26737.6,1,0
26738.3,0,1
26739.3,0,0
27119.1,1,0
27119.8,0,1
27120.8,0,0
27500.5,1,0
27501.3,0,1
27502.3,0,0
27882,1,0
27882.7,0,1
27883.7,0,0
28074.7,1,0
28075.5,0,1
28076.5,0,0
28265.5,1,0
28266.2,0,1
28267.2,0,0
28456.2,1,0
28456.9,0,1
28457.9,0,0
28647.9,1,0
28648.7,0,1
28649.7,0,0
28837.7,1,0
28838.4,0,1
28839.4,0,0
29029.4,1,0
29030.1,0,1
29031.1,0,0
29219.1,1,0
29219.9,0,1
29220.9,0,0
29598.6,1,0
29599.4,0,1
29600.4,0,0
29980.1,1,0
29980.8,0,1
29981.8,0,0
30361.5,1,0
30362.3,0,1
30363.3,0,0
30743,1,0
30743.8,0,1
30744.8,0,0
31124.5,1,0
31125.2,0,1
31126.2,0,0
31506,1,0
31506.7,0,1
31507.7,0,0
31887.4,1,0
31888.2,0,1
31889.2,0,0
32080.2,1,0
32080.9,0,1
32081.9,0,0
32270.9,1,0
32271.6,0,1
32272.6,0,0
32461.6,1,0
32462.4,0,1
32463.4,0,0
32652.4,1,0
32653.1,0,1
32654.1,0,0
32844.1,1,0
32844.8,0,1
32845.8,0,0
33033.8,1,0
33034.6,0,1
33035.6,0,0
33225.6,1,0
33226.3,0,1
33227.3,0,0
33415.3,1,0
33416.1,0,1
33417.1,0,0
33794.8,1,0
33795.5,0,1
33796.5,0,0
34176.2,1,0
34177,0,1
34178,0,0
34557.7,1,0
34558.5,0,1
34559.5,0,0
34939.2,1,0
