Connection id, Sent size (bytes), Delivered size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), CCT (ns)
conn_1--2, 262144, 262144, 34.8298, 31.2293, 62541.4
conn_1--3, 262144, 262144, 30.8029, 28.7192, 68007.7
conn_1--4, 262144, 262144, 29.0911, 28.6882, 68081
conn_2--1, 262144, 262144, 36.8173, 29.1026, 67111.8
conn_2--3, 262144, 262144, 34.1536, 30.0459, 65004.8
conn_2--4, 262144, 262144, 31.1385, 28.8778, 67634.2
conn_3--1, 262144, 262144, 30.2172, 30.6561, 63710.7
conn_3--2, 262144, 262144, 42.3513, 27.5801, 70816.5
conn_3--4, 262144, 262144, 29.2953, 28.482, 68574
conn_4--1, 262144, 262144, 28.5938, 28.6791, 68102.7
conn_4--2, 262144, 262144, 29.7332, 28.6846, 68089.7
conn_4--3, 262144, 262144, 29.3224, 28.4839, 68569.3
