Connection id, Sent size (bytes), Delivered size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), CCT (ns)
conn_1--2, 30720, 30720, 21.0228, 21.4891, 10651.1
conn_1--3, 30720, 30720, 20.8195, 21.25, 10770.9
conn_1--4, 30720, 30720, 18.6522, 18.2423, 12546.7
conn_1--5, 30720, 30720, 20.9586, 19.6324, 11658.4
conn_2--1, 30720, 30720, 22.2682, 22.6654, 10098.3
conn_2--3, 30720, 30720, 21.016, 21.0599, 10868.1
conn_2--4, 30720, 30720, 18.9518, 18.3281, 12488
conn_2--5, 30720, 30720, 21.7233, 22.1736, 10322.3
conn_3--1, 30720, 30720, 21.832, 21.0466, 10875
conn_3--2, 30720, 30720, 21.0424, 21.035, 10881
conn_3--4, 30720, 30720, 20.1883, 17.6196, 12990.2
conn_3--5, 30720, 30720, 18.5739, 19.4604, 11761.4
conn_4--1, 30720, 30720, 16.7805, 17.6063, 13000
conn_4--2, 30720, 30720, 19.359, 19.6463, 11650.2
conn_4--3, 30720, 30720, 17.393, 17.6171, 12992
conn_4--5, 30720, 30720, 17.0231, 17.6131, 12995
conn_5--1, 30720, 30720, 18.351, 19.6471, 11649.6
conn_5--2, 30720, 30720, 18.4882, 19.828, 11543.4
conn_5--3, 30720, 30720, 18.6226, 20.0195, 11432.9
conn_5--4, 30720, 30720, 18.5928, 17.9285, 12766.3
