Time,from_ingress_queue_size,to_ingress_queue_size
3051.7578125,4096,nan
4579.63671875,6144,nan
6103.515625,2048,4096
6103.515625,2048,0
7629.39453125,0,2048
7630.39453125,0,0
7631.39453125,4096,0
9157.2734375,6144,0
10683.15234375,2048,4096
10683.15234375,4096,4096
10684.15234375,4096,0
12209.03125,2048,2048
12210.03125,2048,0
13734.91015625,0,2048
13734.91015625,4096,2048
13735.91015625,4096,0
16786.66796875,0,4096
16786.66796875,4096,4096
16787.66796875,4096,0
19838.42578125,0,4096
19838.42578125,4096,4096
19839.42578125,4096,0
21364.3046875,6144,0
22890.18359375,2048,4096
22890.18359375,4096,4096
22891.18359375,4096,0
24416.0625,2048,2048
24417.0625,2048,0
25941.94140625,0,2048
25942.94140625,0,0
25954.176580429077,4096,0
29005.934392929077,0,4096
29005.934392929077,4096,4096
29006.934392929077,4096,0
30531.813299179077,6144,0
32057.692205429077,2048,4096
32057.692205429077,4096,4096
32058.692205429077,4096,0
33583.57111167908,2048,2048
33584.57111167908,2048,0
35109.45001792908,0,2048
35110.45001792908,0,0
35121.685192108154,4096,0
38173.443004608154,0,4096
38173.443004608154,4096,4096
38174.443004608154,4096,0
41225.200817108154,0,4096
41225.200817108154,4096,4096
41226.200817108154,4096,0
42751.079723358154,6144,0
44276.958629608154,2048,4096
44276.958629608154,4096,4096
44277.958629608154,4096,0
45802.837535858154,2048,2048
45802.837535858154,4096,2048
45803.837535858154,4096,0
47328.716442108154,2048,2048
47329.716442108154,2048,0
48854.595348358154,0,2048
48854.595348358154,4096,2048
48855.595348358154,4096,0
51906.353160858154,0,4096
51906.353160858154,4096,4096
51907.353160858154,4096,0
54958.110973358154,0,4096
54958.110973358154,4096,4096
54959.110973358154,4096,0
58009.868785858154,0,4096
58009.868785858154,4096,4096
58010.868785858154,4096,0
59535.747692108154,6144,0
61061.626598358154,2048,4096
61061.626598358154,4096,4096
61062.626598358154,4096,0
62587.505504608154,2048,2048
62587.505504608154,4096,2048
62588.505504608154,4096,0
64113.384410858154,2048,2048
64114.384410858154,2048,0
65639.26331710815,0,2048
65639.26331710815,4096,2048
65640.26331710815,4096,0
68691.02112960815,0,4096
68691.02112960815,4096,4096
68692.02112960815,4096,0
71742.77894210815,0,4096
71742.77894210815,4096,4096
71743.77894210815,4096,0
74794.53675460815,0,4096
74794.53675460815,4096,4096
74795.53675460815,4096,0
76320.41566085815,6144,0
77846.29456710815,2048,4096
77846.29456710815,4096,4096
77847.29456710815,4096,0
79372.17347335815,2048,2048
79372.17347335815,4096,2048
79373.17347335815,4096,0
80898.05237960815,2048,2048
80899.05237960815,2048,0
82423.93128585815,0,2048
82423.93128585815,4096,2048
82424.93128585815,4096,0
85475.68909835815,0,4096
85475.68909835815,4096,4096
85476.68909835815,4096,0
88527.44691085815,0,4096
88527.44691085815,4096,4096
88528.44691085815,4096,0
91579.20472335815,0,4096
91579.20472335815,4096,4096
91580.20472335815,4096,0
93105.08362960815,6144,0
94630.96253585815,2048,4096
94630.96253585815,4096,4096
94631.96253585815,4096,0
96156.84144210815,2048,2048
96156.84144210815,4096,2048
96157.84144210815,4096,0
97682.72034835815,2048,2048
97682.72034835815,4096,2048
97683.72034835815,4096,0
99208.59925460815,2048,2048
99209.59925460815,2048,0
100734.47816085815,0,2048
100734.47816085815,4096,2048
100735.47816085815,4096,0
103786.23597335815,0,4096
103786.23597335815,4096,4096
103787.23597335815,4096,0
106837.99378585815,0,4096
106837.99378585815,4096,4096
106838.99378585815,4096,0
109889.75159835815,0,4096
109889.75159835815,4096,4096
109890.75159835815,4096,0
111415.63050460815,6144,0
112941.50941085815,2048,4096
112941.50941085815,4096,4096
112942.50941085815,4096,0
114467.38831710815,2048,2048
114468.38831710815,2048,0
115993.26722335815,0,2048
115993.26722335815,4096,2048
115994.26722335815,4096,0
119045.02503585815,0,4096
119045.02503585815,4096,4096
119046.02503585815,4096,0
122096.78284835815,0,4096
122096.78284835815,4096,4096
122097.78284835815,4096,0
123622.66175460815,6144,0
125148.54066085815,2048,4096
125148.54066085815,4096,4096
125149.54066085815,4096,0
126674.41956710815,2048,2048
126674.41956710815,4096,2048
126675.41956710815,4096,0
128200.29847335815,2048,2048
128201.29847335815,2048,0
129726.17737960815,0,2048
129726.17737960815,4096,2048
129727.17737960815,4096,0
132777.93519210815,0,4096
132777.93519210815,4096,4096
132778.93519210815,4096,0
134303.81409835815,6144,0
135829.69300460815,2048,4096
135830.69300460815,2048,0
137355.57191085815,0,2048
137355.57191085815,4096,2048
137356.57191085815,4096,0
140407.32972335815,0,4096
140407.32972335815,4096,4096
140408.32972335815,4096,0
141933.20862960815,6144,0
143459.08753585815,2048,4096
143459.08753585815,4096,4096
143460.08753585815,4096,0
144984.96644210815,2048,2048
144985.96644210815,2048,0
146510.84534835815,0,2048
146510.84534835815,4096,2048
146511.84534835815,4096,0
148036.72425460815,6144,0
149562.60316085815,2048,4096
149563.60316085815,2048,0
151088.48206710815,0,2048
151088.48206710815,4096,2048
151089.48206710815,4096,0
154140.23987960815,0,4096
154140.23987960815,4096,4096
154141.23987960815,4096,0
155666.11878585815,6144,0
157191.99769210815,2048,4096
157191.99769210815,4096,4096
157192.99769210815,4096,0
158717.87659835815,2048,2048
158717.87659835815,4096,2048
158718.87659835815,4096,0
160243.75550460815,2048,2048
160244.75550460815,2048,0
161769.63441085815,0,2048
161769.63441085815,4096,2048
161770.63441085815,4096,0
163295.51331710815,6144,0
164821.39222335815,2048,4096
164822.39222335815,2048,0
166347.27112960815,0,2048
166347.27112960815,4096,2048
166348.27112960815,4096,0
169399.02894210815,0,4096
169399.02894210815,4096,4096
169400.02894210815,4096,0
170924.90784835815,6144,0
172450.78675460815,2048,4096
172450.78675460815,4096,4096
172451.78675460815,4096,0
173976.66566085815,2048,2048
173976.66566085815,4096,2048
173977.66566085815,4096,0
175502.54456710815,2048,2048
175502.54456710815,4096,2048
175503.54456710815,4096,0
177028.42347335815,2048,2048
177029.42347335815,2048,0
178554.30237960815,0,2048
178554.30237960815,4096,2048
178555.30237960815,4096,0
180080.18128585815,6144,0
181606.06019210815,2048,4096
181607.06019210815,2048,0
183131.93909835815,0,2048
183131.93909835815,4096,2048
183132.93909835815,4096,0
186183.69691085815,0,4096
186183.69691085815,4096,4096
186184.69691085815,4096,0
187709.57581710815,6144,0
189235.45472335815,2048,4096
189235.45472335815,4096,4096
189236.45472335815,4096,0
190761.33362960815,2048,2048
190761.33362960815,4096,2048
190762.33362960815,4096,0
192287.21253585815,2048,2048
192287.21253585815,4096,2048
192288.21253585815,4096,0
193813.09144210815,2048,2048
193814.09144210815,2048,0
195338.97034835815,0,2048
195338.97034835815,4096,2048
195339.97034835815,4096,0
196864.84925460815,6144,0
198390.72816085815,2048,4096
198390.72816085815,4096,4096
198391.72816085815,4096,0
199916.60706710815,2048,2048
199917.60706710815,2048,0
201442.48597335815,0,2048
201442.48597335815,4096,2048
201443.48597335815,4096,0
204494.24378585815,0,4096
204494.24378585815,4096,4096
204495.24378585815,4096,0
206020.12269210815,6144,0
207546.00159835815,2048,4096
207546.00159835815,4096,4096
207547.00159835815,4096,0
209071.88050460815,2048,2048
209071.88050460815,4096,2048
209072.88050460815,4096,0
210597.75941085815,2048,2048
210597.75941085815,4096,2048
210598.75941085815,4096,0
212123.63831710815,2048,2048
212123.63831710815,4096,2048
212124.63831710815,4096,0
213649.51722335815,2048,2048
213649.51722335815,4096,2048
213650.51722335815,4096,0
215175.39612960815,2048,2048
215176.39612960815,2048,0
216701.27503585815,0,2048
216701.27503585815,4096,2048
216702.27503585815,4096,0
218227.15394210815,6144,0
219753.03284835815,2048,4096
219753.03284835815,4096,4096
219754.03284835815,4096,0
221278.91175460815,2048,2048
221279.91175460815,2048,0
222804.79066085815,0,2048
222804.79066085815,4096,2048
222805.79066085815,4096,0
224330.66956710815,6144,0
225856.54847335815,2048,4096
225856.54847335815,4096,4096
225857.54847335815,4096,0
227382.42737960815,2048,2048
227382.42737960815,4096,2048
227383.42737960815,4096,0
228908.30628585815,2048,2048
228908.30628585815,4096,2048
228909.30628585815,4096,0
230434.18519210815,2048,2048
230434.18519210815,4096,2048
230435.18519210815,4096,0
231960.06409835815,2048,2048
231960.06409835815,4096,2048
231961.06409835815,4096,0
233485.94300460815,2048,2048
233485.94300460815,4096,2048
233486.94300460815,4096,0
235011.82191085815,2048,2048
235012.82191085815,2048,0
236537.70081710815,0,2048
236537.70081710815,4096,2048
236538.70081710815,4096,0
238063.57972335815,6144,0
239589.45862960815,2048,4096
239589.45862960815,4096,4096
239590.45862960815,4096,0
241115.33753585815,2048,2048
241116.33753585815,2048,0
242641.21644210815,0,2048
242641.21644210815,4096,2048
242642.21644210815,4096,0
244167.09534835815,6144,0
245692.97425460815,2048,4096
245692.97425460815,4096,4096
245693.97425460815,4096,0
247218.85316085815,2048,2048
247218.85316085815,4096,2048
247219.85316085815,4096,0
248744.73206710815,2048,2048
248745.73206710815,2048,0
250270.61097335815,0,2048
250270.61097335815,4096,2048
