Time,from_ingress_queue_size,to_ingress_queue_size
1190.73486328125,256,nan
1381.4697265625,0,nan
1382.4697265625,256,nan
1573.20458984375,0,nan
2381.4697265625,0,256
2383.4697265625,0,0
2573.20458984375,0,256
2575.20458984375,0,0
3191.73486328125,256,0
3382.4697265625,0,0
3382.4697265625,256,0
3573.20458984375,0,0
4382.4697265625,0,256
4384.4697265625,0,0
4573.20458984375,0,256
4575.20458984375,0,0
5576.694705963135,256,0
5767.429569244385,0,0
5769.429569244385,256,0
5960.164432525635,0,0
6767.429569244385,0,256
6769.429569244385,0,0
6960.164432525635,0,256
6962.164432525635,0,0
9964.65454864502,256,0
10155.38941192627,0,0
10156.38941192627,256,0
10347.12427520752,0,0
11155.38941192627,0,256
11157.38941192627,0,0
11347.12427520752,0,256
11349.12427520752,0,0
14350.614391326904,256,0
14541.349254608154,0,0
14542.349254608154,256,0
14733.084117889404,0,0
14733.084117889404,256,0
14923.818981170654,0,0
14923.818981170654,256,0
15114.553844451904,0,0
15541.349254608154,0,256
15543.349254608154,0,0
15733.084117889404,0,256
15735.084117889404,0,0
15923.818981170654,0,256
15925.818981170654,0,0
16114.553844451904,0,256
16116.553844451904,0,0
18736.57423400879,256,0
18927.30909729004,0,0
18931.30909729004,256,0
19122.04396057129,0,0
19122.04396057129,256,0
19312.77882385254,0,0
19312.77882385254,256,0
19503.51368713379,0,0
19927.30909729004,0,256
19929.30909729004,0,0
20122.04396057129,0,256
20124.04396057129,0,0
20312.77882385254,0,256
20314.77882385254,0,0
20503.51368713379,0,256
20505.51368713379,0,0
23122.534076690674,256,0
23313.268939971924,0,0
23320.268939971924,256,0
23511.003803253174,0,0
23511.003803253174,256,0
23701.738666534424,0,0
23701.738666534424,256,0
23892.473529815674,0,0
24313.268939971924,0,256
24315.268939971924,0,0
24511.003803253174,0,256
24513.003803253174,0,0
24701.738666534424,0,256
24703.738666534424,0,0
24892.473529815674,0,256
24894.473529815674,0,0
27508.49391937256,256,0
27699.22878265381,0,0
27700.22878265381,256,0
27890.96364593506,0,0
27890.96364593506,256,0
28081.69850921631,0,0
28081.69850921631,256,0
28272.43337249756,0,0
28272.43337249756,256,0
28463.16823577881,0,0
28463.16823577881,256,0
28653.90309906006,0,0
28699.22878265381,0,256
28701.22878265381,0,0
28890.96364593506,0,256
28892.96364593506,0,0
29081.69850921631,0,256
29083.69850921631,0,0
29272.43337249756,0,256
29274.43337249756,0,0
29463.16823577881,0,256
29465.16823577881,0,0
29653.90309906006,0,256
29655.90309906006,0,0
31894.453762054443,256,0
32085.188625335693,0,0
32089.188625335693,256,0
32279.923488616943,0,0
32279.923488616943,256,0
32470.658351898193,0,0
32470.658351898193,256,0
32661.393215179443,0,0
32661.393215179443,256,0
32852.12807846069,0,0
32852.12807846069,256,0
33042.86294174194,0,0
33085.18862533569,0,256
33087.18862533569,0,0
33279.92348861694,0,256
33281.92348861694,0,0
33470.65835189819,0,256
33472.65835189819,0,0
33661.39321517944,0,256
33663.39321517944,0,0
33852.12807846069,0,256
