Time,from_ingress_queue_size,to_ingress_queue_size
14,10000,nan
759.0580596923828,0,10000
762.0580596923828,0,0
1510.265130996704,10000,0
1511.265130996704,20000,0
2255.323190689087,10000,10000
2261.2486848831177,10000,0
3000.3812503814697,0,10000
3003.3812503814697,0,0
4502.795392990112,10000,0
4503.795392990112,20000,0
5234.555429458618,30000,0
5247.853452682495,20000,10000
5249.853452682495,20000,0
5978.613489151001,30000,0
5992.911512374878,20000,10000
5993.911512374878,20000,0
6737.969572067261,10000,10000
6740.969572067261,10000,0
7483.027631759644,0,10000
7486.027631759644,0,0
13103.90834246416,10000,0
13848.966402156542,0,10000
13849.966402156542,0,0
16411.42632484436,10000,0
16627.353040030077,20000,0
17156.484384536743,10000,10000
17159.484384536743,10000,0
17899.542444229126,20000,0
17901.542444229126,10000,10000
17904.542444229126,10000,0
18646.60050392151,0,10000
18649.60050392151,0,0
31312.587518692017,10000,0
32057.6455783844,0,10000
32061.57107257843,0,0
32800.70363807678,10000,0
32801.70363807678,20000,0
33545.761697769165,10000,10000
33547.687191963196,10000,0
34290.81975746155,0,10000
34292.74525165558,0,0
41743.400354385376,10000,0
42488.45841407776,0,10000
42488.45841407776,10000,10000
42492.38390827179,10000,0
43231.51647377014,20000,0
43232.51647377014,30000,0
43233.51647377014,20000,10000
43236.51647377014,20000,0
43978.574533462524,10000,10000
43981.574533462524,10000,0
44723.63259315491,0,10000
44725.55808734894,0,0
52174.213190078735,10000,0
52919.27124977112,0,10000
52919.27124977112,10000,10000
52923.19674396515,10000,0
53662.3293094635,20000,0
53664.3293094635,10000,10000
53667.3293094635,10000,0
54407.387369155884,20000,0
54409.387369155884,10000,10000
54412.387369155884,10000,0
55154.44542884827,0,10000
55157.44542884827,0,0
63350.08408546448,10000,0
63351.08408546448,20000,0
64095.14214515686,10000,10000
64095.14214515686,20000,10000
64099.06763935089,20000,0
64838.20020484924,30000,0
64840.20020484924,20000,10000
64843.20020484924,20000,0
65583.25826454163,30000,0
65585.25826454163,20000,10000
65588.25826454163,20000,0
66330.31632423401,10000,10000
66333.31632423401,10000,0
67075.37438392639,0,10000
67077.29987812042,0,0
76761.12915992737,10000,0
77506.18721961975,0,10000
77506.18721961975,10000,10000
77507.18721961975,20000,10000
77510.11271381378,20000,0
78251.24527931213,10000,10000
78254.24527931213,10000,0
78996.30333900452,0,10000
78999.30333900452,0,0
90172.17423439026,10000,0
90917.23229408264,0,10000
90919.23229408264,10000,10000
90923.15778827667,10000,0
91664.29035377502,0,10000
91667.29035377502,0,0
99857.92901039124,10000,0
99858.92901039124,20000,0
100602.98707008362,10000,10000
100602.98707008362,20000,10000
100603.98707008362,30000,10000
100606.91256427765,30000,0
101348.045129776,20000,10000
101351.045129776,20000,0
102093.10318946838,10000,10000
102095.02868366241,10000,0
102838.16124916077,0,10000
102839.16124916077,0,0
111778.85796546936,10000,0
112523.91602516174,0,10000
112523.91602516174,10000,10000
112527.84151935577,10000,0
113266.97408485413,20000,0
113268.97408485413,10000,10000
113271.97408485413,10000,0
114014.03214454651,0,10000
114017.03214454651,0,0
114757.09020423889,10000,0
115502.14826393127,0,10000
115505.14826393127,0,0
128170.13527870178,10000,0
128171.13527870178,20000,0
128915.19333839417,10000,10000
128915.19333839417,20000,10000
128919.1188325882,20000,0
129658.25139808655,30000,0
129660.25139808655,20000,10000
129663.25139808655,20000,0
130405.30945777893,10000,10000
130408.30945777893,10000,0
131150.3675174713,0,10000
131152.29301166534,0,0
144561.4125919342,10000,0
145306.4706516266,0,10000
145306.4706516266,10000,10000
145310.39614582062,10000,0
146049.52871131897,20000,0
146051.52871131897,10000,10000
146054.52871131897,10000,0
146796.58677101135,0,10000
146799.58677101135,0,0
156482.34154701233,10000,0
157227.3996067047,0,10000
157227.3996067047,10000,10000
157231.32510089874,10000,0
157970.4576663971,20000,0
157971.4576663971,30000,0
157972.4576663971,20000,10000
157975.4576663971,20000,0
158717.51572608948,10000,10000
158720.51572608948,10000,0
159462.57378578186,0,10000
159464.4992799759,0,0
168403.27050209045,10000,0
169148.32856178284,0,10000
169148.32856178284,10000,10000
169152.25405597687,10000,0
169891.38662147522,20000,0
169893.38662147522,10000,10000
169896.38662147522,10000,0
170636.4446811676,20000,0
170637.4446811676,30000,0
170638.4446811676,20000,10000
170641.4446811676,20000,0
171383.50274085999,10000,10000
171386.50274085999,10000,0
172128.56080055237,0,10000
172130.4862947464,0,0
182559.37363624573,10000,0
183304.4316959381,0,10000
183304.4316959381,10000,10000
183308.35719013214,10000,0
184047.4897556305,20000,0
184049.4897556305,10000,10000
184052.4897556305,10000,0
184792.54781532288,20000,0
184794.54781532288,10000,10000
184797.54781532288,10000,0
185537.60587501526,20000,0
185539.60587501526,10000,10000
185542.60587501526,10000,0
186284.66393470764,0,10000
186287.66393470764,0,0
195970.41871070862,10000,0
195971.41871070862,20000,0
196715.476770401,10000,10000
196715.476770401,20000,10000
196719.40226459503,20000,0
197458.53483009338,30000,0
197460.53483009338,20000,10000
197463.53483009338,20000,0
198205.59288978577,10000,10000
198208.59288978577,10000,0
198950.65094947815,0,10000
198953.65094947815,0,0
208636.40572547913,10000,0
209381.4637851715,0,10000
209383.4637851715,10000,10000
209384.4637851715,20000,10000
209387.38927936554,20000,0
210124.5218448639,30000,0
210128.5218448639,20000,10000
210131.5218448639,20000,0
210873.57990455627,10000,10000
210876.57990455627,10000,0
211618.63796424866,0,10000
211618.63796424866,0,0
220558.33468055725,10000,0
221302.39274024963,20000,0
221303.39274024963,10000,10000
221306.39274024963,10000,0
222045.45079994202,20000,0
222048.45079994202,10000,10000
222051.45079994202,10000,0
222793.5088596344,0,10000
222796.5088596344,0,0
223535.56691932678,10000,0
223536.56691932678,20000,0
224280.62497901917,10000,10000
224282.5504732132,10000,0
225025.68303871155,0,10000
225027.60853290558,0,0
234713.43781471252,10000,0
235458.4958744049,0,10000
235460.4958744049,10000,10000
235464.42136859894,10000,0
236201.5539340973,20000,0
236205.5539340973,10000,10000
236208.5539340973,10000,0
236950.61199378967,0,10000
236953.61199378967,0,0
245889.30871009827,10000,0
246634.36676979065,0,10000
246636.36676979065,10000,10000
246640.29226398468,10000,0
247377.42482948303,20000,0
247378.42482948303,30000,0
247381.42482948303,20000,10000
247384.42482948303,20000,0
248126.48288917542,10000,10000
248129.48288917542,10000,0
248871.5409488678,0,10000
248871.5409488678,0,0
254830.00542640686,10000,0
255575.06348609924,0,10000
255575.06348609924,10000,10000
255578.98898029327,10000,0
256318.12154579163,20000,0
256320.12154579163,10000,10000
256323.12154579163,10000,0
257065.179605484,0,10000
257068.179605484,0,0
257808.2376651764,10000,0
257809.2376651764,20000,0
258553.29572486877,10000,10000
258558.2212190628,10000,0
259298.35378456116,0,10000
259302.2792787552,0,0
266005.8763217926,10000,0
266750.934381485,0,10000
266750.934381485,10000,10000
266754.859875679,10000,0
267493.99244117737,20000,0
267495.99244117737,10000,10000
267498.99244117737,10000,0
268241.05050086975,0,10000
268244.05050086975,0,0
268984.10856056213,10000,0
269729.1666202545,0,10000
269734.09211444855,0,0
270474.2246799469,10000,0
271219.2827396393,0,10000
271224.2082338333,0,0
278671.8633365631,10000,0
278672.8633365631,20000,0
279416.9213962555,10000,10000
279418.9213962555,20000,10000
279422.8468904495,20000,0
280161.9794559479,10000,10000
280164.9794559479,10000,0
280907.03751564026,0,10000
280910.03751564026,0,0
290592.79229164124,10000,0
290593.79229164124,20000,0
291337.8503513336,10000,10000
291337.8503513336,20000,10000
291341.77584552765,20000,0
292080.908411026,30000,0
292082.908411026,20000,10000
292085.908411026,20000,0
292827.9664707184,10000,10000
292830.9664707184,10000,0
293573.02453041077,0,10000
293574.9500246048,0,0
302513.72124671936,10000,0
303258.77930641174,0,10000
303258.77930641174,10000,10000
303262.7048006058,10000,0
304001.8373661041,20000,0
304002.8373661041,30000,0
304003.8373661041,20000,10000
304006.8373661041,20000,0
304748.8954257965,10000,10000
304751.8954257965,10000,0
305491.9534854889,20000,0
305493.9534854889,10000,10000
305495.8789796829,10000,0
306239.0115451813,0,10000
306242.0115451813,0,0
319652.05661964417,10000,0
320397.11467933655,0,10000
320400.11467933655,0,0
