Time,from_ingress_queue_size,to_ingress_queue_size
6104.515625,1,nan
6105.260683059692,0,1
6105.260683059692,0,0
9156.2734375,1,0
9157.018495559692,0,1
9157.018495559692,0,0
12208.03125,1,0
12208.776308059692,0,1
12208.776308059692,0,0
15259.7890625,1,0
15260.534120559692,0,1
15260.534120559692,0,0
18311.546875,1,0
18312.291933059692,0,1
18312.291933059692,0,0
21365.794803619385,1,0
21366.539861679077,0,1
21366.539861679077,0,0
24417.552616119385,1,0
24418.297674179077,0,1
24418.297674179077,0,0
27471.80054473877,1,0
27472.545602798462,0,1
27472.545602798462,0,0
30523.55835723877,1,0
30524.303415298462,0,1
30524.303415298462,0,0
33575.31616973877,1,0
33576.06122779846,0,1
33576.06122779846,0,0
36627.07398223877,1,0
36627.81904029846,0,1
36627.81904029846,0,0
39678.83179473877,1,0
39679.57685279846,0,1
39679.57685279846,0,0
42730.58960723877,1,0
42731.33466529846,0,1
42731.33466529846,0,0
45782.34741973877,1,0
45783.09247779846,0,1
45783.09247779846,0,0
48834.10523223877,1,0
48834.85029029846,0,1
48834.85029029846,0,0
51885.86304473877,1,0
51886.60810279846,0,1
51886.60810279846,0,0
54937.62085723877,1,0
54938.36591529846,0,1
54938.36591529846,0,0
57989.37866973877,1,0
57990.12372779846,0,1
57990.12372779846,0,0
61041.13648223877,1,0
61041.88154029846,0,1
61041.88154029846,0,0
64092.89429473877,1,0
64093.63935279846,0,1
64093.63935279846,0,0
67144.65210723877,1,0
67145.39716529846,0,1
67145.39716529846,0,0
70196.40991973877,1,0
70197.15497779846,0,1
70197.15497779846,0,0
73248.16773223877,1,0
73248.91279029846,0,1
73248.91279029846,0,0
76299.92554473877,1,0
76300.67060279846,0,1
76300.67060279846,0,0
79351.68335723877,1,0
79352.42841529846,0,1
79352.42841529846,0,0
82403.44116973877,1,0
82404.18622779846,0,1
82404.18622779846,0,0
85455.19898223877,1,0
85455.94404029846,0,1
85455.94404029846,0,0
88506.95679473877,1,0
88507.70185279846,0,1
88507.70185279846,0,0
91558.71460723877,1,0
91559.45966529846,0,1
91559.45966529846,0,0
94610.47241973877,1,0
94611.21747779846,0,1
94611.21747779846,0,0
97662.23023223877,1,0
97662.97529029846,0,1
97662.97529029846,0,0
100713.98804473877,1,0
100714.73310279846,0,1
100714.73310279846,0,0
103765.74585723877,1,0
103766.49091529846,0,1
103766.49091529846,0,0
106817.50366973877,1,0
106818.24872779846,0,1
106818.24872779846,0,0
109869.26148223877,1,0
109870.00654029846,0,1
109870.00654029846,0,0
112923.50941085815,1,0
112924.25446891785,0,1
