Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
751.058,0,0
4473.5,10000,0
4474.5,20000,0
5218.56,10000,0
5963.61,0,10000
5965.54,0,0
10433,10000,0
10434,20000,0
11178,10000,0
11923.1,0,0
12667.1,10000,0
12668.1,20000,0
13412.2,10000,10000
13413.1,10000,0
14157.3,0,10000
14161.2,0,0
22632.5,10000,0
23377.6,0,10000
23378.6,0,0
25338.1,10000,0
26083.2,0,0
26827.2,10000,0
27572.3,0,10000
27574.2,0,0
38749.2,10000,0
39489.2,20000,0
39490.2,30000,0
39494.2,20000,0
40239.3,10000,0
40984.3,0,0
48429.9,10000,0
49175,0,10000
49175.9,0,0
49924,10000,0
50669.1,0,10000
50670.1,10000,10000
50671,10000,0
50671.1,20000,0
51415.2,10000,0
52160.2,0,10000
52166.1,0,0
59605.8,10000,0
60350.9,0,10000
60351.8,0,0
64081.1,10000,0
64826.2,0,0
72271.8,10000,0
72272.8,20000,0
73016.8,10000,10000
73017.8,10000,0
73761.9,0,10000
73766.8,0,0
75252,10000,0
75997.1,0,10000
76000,0,0
87923,10000,0
88668.1,0,10000
88669,0,0
90158.2,10000,0
90903.2,0,0
102074,10000,0
102819,0,10000
102820,0,0
103568,10000,0
103569,20000,0
104313,10000,10000
104315,10000,0
105058,0,10000
105059,0,0
116230,10000,0
116975,10000,10000
116976,10000,0
117720,10000,10000
117721,10000,0
117721,20000,0
118465,10000,10000
118470,10000,0
119210,0,10000
119215,0,0
129641,10000,0
130386,0,10000
130387,0,0
131131,10000,0
131876,0,10000
131881,10000,10000
131882,10000,0
132625,20000,0
132626,10000,0
133372,0,0
147523,10000,0
147524,20000,0
148268,20000,10000
148269,20000,0
149013,10000,10000
149018,10000,0
149758,0,10000
149763,0,0
158699,10000,0
159444,10000,10000
159444,10000,0
160189,0,10000
160193,10000,10000
160194,10000,0
160194,20000,0
160938,10000,10000
160939,10000,0
161683,0,10000
161684,0,0
171365,10000,0
172110,10000,10000
172110,10000,0
172855,10000,10000
172856,10000,0
173600,0,10000
173604,10000,10000
173605,10000,0
173605,20000,0
174349,10000,10000
174350,10000,0
175094,0,10000
175095,0,0
185521,10000,0
186266,0,10000
186267,0,0
187011,10000,0
187756,10000,10000
187757,10000,0
188501,0,10000
188506,0,0
198937,10000,0
199682,0,10000
199683,0,0
201167,10000,0
201912,10000,10000
201913,10000,0
202657,0,10000
202658,0,0
209363,10000,0
210109,0,10000
210109,0,0
211598,10000,0
212343,0,10000
212344,0,0
213092,10000,0
213093,20000,0
213837,10000,10000
213839,10000,0
214582,0,10000
214583,0,0
222779,10000,0
223524,0,0
227989,10000,0
227990,20000,0
228734,10000,10000
228740,10000,0
229479,0,10000
229484,0,0
236190,10000,0
236935,0,0
240655,10000,0
241400,10000,10000
241401,10000,0
242145,0,10000
242146,0,0
247363,10000,0
247364,20000,0
248108,10000,0
248854,0,10000
248855,0,0
251831,10000,0
252576,0,10000
252577,0,0
253321,10000,0
254066,0,10000
254067,0,0
259284,10000,0
260029,0,0
260775,10000,0
260776,20000,0
261521,10000,10000
261522,10000,0
262266,0,10000
262267,0,0
265242,10000,0
265987,0,10000
265988,0,0
267482,10000,0
268227,0,10000
268228,0,0
274931,10000,0
275676,0,10000
275679,0,0
276422,10000,0
277167,0,10000
277169,0,0
287597,10000,0
287598,20000,0
288342,20000,10000
288343,20000,0
289087,10000,10000
289088,10000,0
289832,0,10000
289834,0,0
296536,10000,0
297281,0,10000
297283,0,0
298028,10000,0
298772,20000,0
298773,20000,10000
298779,20000,0
299518,10000,10000
299519,10000,0
300264,0,10000
300264,0,0
306222,10000,0
306967,0,10000
306969,0,0
308458,10000,0
309203,10000,10000
309204,10000,0
309948,0,10000
309949,10000,10000
309950,10000,0
309950,20000,0
310694,10000,10000
310695,10000,0
311439,0,10000
311440,0,0
318888,10000,0
319633,0,10000
319634,0,0
321124,10000,0
321869,10000,10000
321870,10000,0
322614,0,10000
322615,10000,10000
322616,10000,0
323360,10000,10000
323361,10000,0
324105,0,10000
324106,0,0
330810,10000,0
330811,20000,0
331555,10000,0
332300,0,10000
332302,0,0
333045,10000,0
333790,0,10000
333791,0,0
341988,10000,0
342730,20000,0
342731,30000,0
342733,20000,0
343478,10000,0
344223,0,0
344967,10000,0
345712,0,10000
345714,0,0
347945,10000,0
348690,10000,10000
348691,10000,0
349435,10000,10000
349436,10000,0
350180,0,10000
350183,0,0
