Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
747.058,0,0
2241.32,10000,0
2242.32,20000,0
2986.38,10000,10000
2987.38,10000,0
3731.44,0,10000
3737.44,0,0
6709.67,10000,0
6710.67,20000,0
6723.97,30000,0
7454.73,20000,10000
7457.66,20000,0
8199.79,10000,10000
8202.71,10000,0
8944.85,0,10000
8946.85,0,0
14906.3,10000,0
15651.4,0,10000
15653.4,0,0
16067,10000,0
16394.4,20000,0
16812,10000,0
17557.1,0,10000
17561.1,0,0
28317.4,10000,0
29062.4,0,10000
29064.4,0,0
31298.6,10000,0
32043.6,0,10000
32046.6,0,0
41728.4,10000,0
41729.4,20000,0
42473.5,10000,10000
42476.4,10000,0
43218.5,0,10000
43220.5,0,0
50669.1,10000,0
51413.2,20000,0
51414.2,10000,10000
51416.2,10000,0
52159.2,0,10000
52161.2,0,0
60353.9,10000,0
61098.9,10000,10000
61099.9,20000,10000
61101.8,20000,0
61844,10000,10000
61846,10000,0
62589,0,10000
62591,0,0
73764.9,10000,0
74510,10000,10000
74512.9,10000,0
75255,0,10000
75257,0,0
88668.1,10000,0
89413.1,0,10000
89416,0,0
102078,10000,0
102079,20000,0
102823,10000,10000
102825,10000,0
103568,0,10000
103569,0,0
114743,10000,0
114744,20000,0
115488,10000,10000
115493,10000,0
116233,0,10000
116235,0,0
125919,10000,0
126664,10000,10000
126667,10000,0
127409,0,10000
127411,0,0
140821,10000,0
140822,20000,0
141565,30000,0
141566,20000,10000
141568,20000,0
142311,10000,10000
142313,10000,0
143056,0,10000
143058,0,0
154976,10000,0
155721,10000,10000
155722,20000,10000
155724,20000,0
156465,30000,0
156466,20000,10000
156468,20000,0
157211,10000,10000
157213,10000,0
157956,0,10000
157958,0,0
166152,10000,0
166897,10000,10000
166900,10000,0
167641,20000,0
167642,10000,10000
167644,10000,0
168386,20000,0
168387,20000,10000
168389,20000,0
169132,10000,10000
169134,10000,0
169877,0,10000
169879,0,0
179565,10000,0
180308,20000,0
180310,10000,10000
180311,10000,0
181055,0,10000
181057,0,0
182545,10000,0
183290,0,10000
183293,0,0
194464,10000,0
195209,10000,10000
195212,10000,0
195953,20000,0
195954,10000,10000
195956,10000,0
196699,0,10000
196701,0,0
204895,10000,0
204896,20000,0
205640,20000,10000
205643,20000,0
206384,30000,0
206385,20000,10000
206387,20000,0
207130,10000,10000
207132,10000,0
207875,0,10000
207877,0,0
216816,10000,0
217561,10000,10000
217562,20000,10000
217564,20000,0
218305,30000,0
218306,20000,10000
218308,20000,0
219050,30000,0
219051,20000,10000
219053,20000,0
219796,10000,10000
219798,10000,0
220541,0,10000
220543,0,0
231719,10000,0
232464,10000,10000
232467,10000,0
233206,20000,0
233209,10000,10000
233211,10000,0
233954,0,10000
233956,0,0
242893,10000,0
243638,0,10000
243640,10000,10000
243643,10000,0
244382,20000,0
244383,30000,0
244385,20000,10000
244387,20000,0
245130,10000,10000
245132,10000,0
245875,0,10000
245881,0,0
253325,10000,0
254069,20000,0
254070,10000,10000
254072,10000,0
254813,20000,0
254815,10000,10000
254817,10000,0
255560,0,10000
255562,0,0
256303,10000,0
256304,20000,0
257048,10000,10000
257050,10000,0
257793,0,10000
257796,0,0
265992,10000,0
266735,20000,0
266737,10000,10000
266738,10000,0
267479,20000,0
267482,10000,10000
267484,10000,0
268227,0,10000
268229,0,0
268969,10000,0
269713,20000,0
269714,10000,10000
269716,10000,0
270459,0,10000
270462,0,0
281636,10000,0
281637,20000,0
282381,20000,10000
282384,20000,0
283125,30000,0
283126,20000,10000
283128,20000,0
283871,10000,10000
283873,10000,0
284615,20000,0
284616,10000,10000
284618,10000,0
285359,20000,0
285361,10000,10000
285363,10000,0
286106,0,10000
286108,0,0
298029,10000,0
298030,20000,0
298774,10000,10000
298777,10000,0
299516,20000,0
299519,10000,10000
299521,10000,0
300261,20000,0
300265,10000,10000
300267,10000,0
301010,0,10000
301012,0,0
308458,10000,0
309203,10000,10000
309206,10000,0
309948,0,10000
309950,0,0
310692,10000,0
311437,0,10000
311439,0,0
312182,10000,0
312183,20000,0
312928,10000,10000
312933,10000,0
313673,0,10000
313676,0,0
318889,10000,0
319634,10000,10000
319637,10000,0
320379,0,10000
320381,0,0
322616,10000,0
323361,0,10000
323364,0,0
330067,10000,0
330810,20000,0
330812,10000,10000
330814,10000,0
331554,20000,0
331557,10000,10000
331559,10000,0
332302,0,10000
332304,0,0
339751,10000,0
339752,20000,0
340496,20000,10000
340499,20000,0
341240,30000,0
341241,20000,10000
341243,20000,0
341986,10000,10000
341988,10000,0
342731,0,10000
342733,0,0
347201,10000,0
347946,10000,10000
347947,20000,10000
347949,20000,0
348691,20000,10000
348694,20000,0
349435,30000,0
349436,20000,10000
349438,20000,0
350181,10000,10000
350183,10000,0
350926,0,10000
350928,0,0
353904,10000,0
354649,0,10000
354655,0,0
