Time,from_ingress_queue_size,to_ingress_queue_size
3816.7,1,nan
3824.15,0,nan
3825.15,0,0
7650.3,1,0
7657.75,0,0
7658.75,0,0
9559.64,1,0
9567.09,0,0
9568.09,0,1
9570.09,0,0
11483.9,1,0
11491.3,0,0
11492.3,0,0
13393.2,1,0
13400.7,0,0
13401.7,0,0
15300.6,1,0
15308,0,0
15309,0,0
17207.9,1,0
17215.4,0,0
17216.4,0,0
19115.3,1,0
19122.7,0,0
19123.7,0,0
21022.6,1,0
21030.1,0,0
21031.1,0,0
22930,1,0
22937.4,0,0
22938.4,0,0
24837.3,1,0
24844.8,0,0
24845.8,0,0
26744.7,1,0
26752.1,0,0
26753.1,0,0
28652,1,0
28659.5,0,0
28660.5,0,0
30559.4,1,0
30566.8,0,0
30567.8,0,0
32466.7,1,0
32474.2,0,0
32475.2,0,0
34374.1,1,0
34381.5,0,0
34382.5,0,0
36281.4,1,0
36288.9,0,0
36289.9,0,0
38188.8,1,0
38196.2,0,0
38197.2,0,0
40096.1,1,0
40103.6,0,0
40104.6,0,0
42003.5,1,0
42010.9,0,0
42011.9,0,0
43910.8,1,0
43918.3,0,0
43919.3,0,0
45818.2,1,0
45825.6,0,0
45826.6,0,0
47725.5,1,0
47733,0,0
47734,0,0
49632.9,1,0
49640.3,0,0
49641.3,0,0
51540.2,1,0
51547.7,0,0
51548.7,0,0
53447.6,1,0
53455,0,0
53456,0,0
55354.9,1,0
55362.4,0,0
55363.4,0,0
57262.3,1,0
57269.7,0,0
57270.7,0,0
59169.6,1,0
59177.1,0,0
59178.1,0,0
61077,1,0
61084.4,0,0
61085.4,0,0
62984.3,1,0
62991.8,0,0
62992.8,0,0
64891.7,1,0
64899.1,0,0
64900.1,0,0
66799,1,0
66806.5,0,0
66807.5,0,0
68706.4,1,0
68713.8,0,0
68714.8,0,0
70613.7,1,0
70621.2,0,0
70622.2,0,0
72521.1,1,0
72528.5,0,0
72529.5,0,0
74428.4,1,0
74435.8,0,0
74436.8,0,0
76335.7,1,0
76343.2,0,0
76344.2,0,0
78243.1,1,0
78250.5,0,0
78251.5,0,0
80150.4,1,0
80157.9,0,0
80158.9,0,0
82057.8,1,0
82065.2,0,0
82066.2,0,0
83965.1,1,0
83972.6,0,0
83973.6,0,0
85872.5,1,0
85879.9,0,0
85880.9,0,0
87779.8,1,0
87787.3,0,0
87788.3,0,0
89687.2,1,0
89694.6,0,0
89695.6,0,0
91594.5,1,0
91602,0,0
91603,0,0
93501.9,1,0
93509.3,0,0
93510.3,0,0
95409.2,1,0
95416.7,0,0
95417.7,0,0
97316.6,1,0
97324,0,0
97325,0,0
99223.9,1,0
99231.4,0,0
99232.4,0,0
101131,1,0
101139,0,0
101140,0,0
103039,1,0
103046,0,0
103047,0,0
104946,1,0
104953,0,0
104954,0,0
106853,1,0
106861,0,0
106862,0,0
108761,1,0
108768,0,0
108769,0,0
110668,1,0
110675,0,0
110676,0,0
112575,1,0
112583,0,0
112584,0,0
114483,1,0
114490,0,0
114491,0,0
116390,1,0
116398,0,0
116399,0,0
118297,1,0
118305,0,0
118306,0,0
120205,1,0
120212,0,0
120213,0,0
122112,1,0
122120,0,0
122121,0,0
124019,1,0
124027,0,0
124028,0,0
125927,1,0
125934,0,0
125935,0,0
127834,1,0
127842,0,0
127843,0,0
129742,1,0
129749,0,0
129750,0,0
131649,1,0
131656,0,0
131657,0,0
133556,1,0
133564,0,0
133565,0,0
135464,1,0
135471,0,0
135472,0,0
137371,1,0
137378,0,0
137379,0,0
139278,1,0
139286,0,0
139287,0,0
141186,1,0
141193,0,0
141194,0,0
143093,1,0
143100,0,0
143101,0,0
145000,1,0
145008,0,0
145009,0,0
146908,1,0
146915,0,0
146916,0,0
148815,1,0
148822,0,0
148823,0,0
150722,1,0
150730,0,0
150731,0,0
152630,1,0
152637,0,0
152638,0,0
154537,1,0
154544,0,0
154545,0,0
156444,1,0
156452,0,0
156453,0,0
158352,1,0
158359,0,0
158360,0,0
160259,1,0
160267,0,0
160268,0,0
162166,1,0
162174,0,0
162175,0,0
164074,1,0
164081,0,0
164082,0,0
165981,1,0
165989,0,0
165990,0,0
167888,1,0
167896,0,0
167897,0,0
169796,1,0
169803,0,0
169804,0,0
171703,1,0
171711,0,0
171712,0,0
173611,1,0
173618,0,0
173619,0,0
175518,1,0
175525,0,0
175526,0,0
177425,1,0
177433,0,0
177434,0,0
179333,1,0
179340,0,0
179341,0,0
181240,1,0
181247,0,0
181248,0,0
183147,1,0
183155,0,0
183156,0,0
185055,1,0
185062,0,0
185063,0,0
186962,1,0
186969,0,0
186970,0,0
188869,1,0
188877,0,0
188878,0,0
190777,1,0
190784,0,0
190785,0,0
192684,1,0
192691,0,0
192692,0,0
194591,1,0
194599,0,0
194600,0,0
196499,1,0
196506,0,0
196507,0,0
198406,1,0
198414,0,0
198415,0,0
200313,1,0
200321,0,0
200322,0,0
202221,1,0
202228,0,0
202229,0,0
204128,1,0
204136,0,0
204137,0,0
206035,1,0
206043,0,0
206044,0,0
207943,1,0
207950,0,0
207951,0,0
209850,1,0
209858,0,0
209859,0,0
211758,1,0
211765,0,0
211766,0,0
213665,1,0
213672,0,0
213673,0,0
215572,1,0
215580,0,0
215581,0,0
