Time,from_ingress_queue_size,to_ingress_queue_size
0,64,nan
1,128,nan
2,192,nan
3,256,nan
4,320,nan
5,384,nan
6,448,nan
7,512,nan
8,576,nan
9,640,nan
10,704,nan
11,768,nan
12,832,nan
13,896,nan
14,960,nan
15,1024,nan
16,1088,nan
17,1152,nan
18,1216,nan
19,1280,nan
20,1344,nan
21,1408,nan
22,1472,nan
23,1536,nan
24,1600,nan
25,1664,nan
26,1728,nan
27,1792,nan
28,1856,nan
29,1920,nan
30,1984,nan
31,2048,nan
32,2112,nan
33,2176,nan
34,2240,nan
35,2304,nan
36,2368,nan
37,2432,nan
38,2496,nan
39,2560,nan
40,2624,nan
41,2688,nan
42,2752,nan
43,2816,nan
44,2880,nan
45,2944,nan
46,3008,nan
47,3072,nan
48,3136,nan
49,3200,nan
50,3264,nan
51,3328,nan
52,3392,nan
53,3456,nan
54,3520,nan
55,3584,nan
56,3648,nan
57,3712,nan
58,3776,nan
59,3840,nan
60,3904,nan
61,3968,nan
62,4032,nan
63,4096,nan
64,4096,nan
65,4096,nan
66,4096,nan
67,4096,nan
68,4096,nan
69,4096,nan
70,4096,nan
71,4096,nan
72,4096,nan
73,4096,nan
74,4096,nan
75,4096,nan
76,4096,nan
77,4096,nan
78,4096,nan
79,4096,nan
80,4096,nan
81,4096,nan
82,4096,nan
83,4096,nan
84,4096,nan
85,4096,nan
86,4096,nan
87,4096,nan
88,4096,nan
89,4096,nan
90,4096,nan
91,4096,nan
92,4096,nan
93,4096,nan
94,4096,nan
95,4096,nan
96,4096,nan
97,4096,nan
98,4096,nan
99,4096,nan
476.837,4032,nan
477.837,4032,0
953.674,3968,0
954.674,3968,64
957.674,3968,0
1430.51,3904,0
1431.51,3904,64
1432.51,3904,0
1907.35,3840,0
1908.35,3840,64
1909.35,3840,0
2003,3904,0
2004,3968,0
2005,4032,0
2006,4096,0
2007,4096,0
2008,4096,0
2009,4096,0
2010,4096,0
2011,4096,0
2012,4096,0
2013,4096,0
2014,4096,0
2015,4096,0
2016,4096,0
2017,4096,0
2018,4096,0
2019,4096,0
2020,4096,0
2021,4096,0
2022,4096,0
2023,4096,0
2024,4096,0
2025,4096,0
2026,4096,0
2027,4096,0
2028,4096,0
2029,4096,0
2030,4096,0
2031,4096,0
2032,4096,0
2033,4096,0
2034,4096,0
2035,4096,0
2036,4096,0
2037,4096,0
2038,4096,0
2039,4096,0
2040,4096,0
2041,4096,0
