Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 24.6406, 23.9229, 311441

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.9364, 20.3266, 366543

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.6162, 20.9866, 355017

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9343, 19.3537, 384969

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.233, 19.4548, 382969
