Time,from_ingress_queue_size,to_ingress_queue_size
4917.42,1,nan
4917.5,0,0
9383.77,1,0
9383.85,0,0
13856.6,1,0
13856.6,0,0
16090.3,1,0
16090.4,0,0
27269.2,1,0
27269.2,0,0
29501.3,1,0
29501.4,0,0
30250.4,1,0
30250.5,0,0
31737.5,1,0
31737.6,0,0
39189.1,1,0
39189.2,0,0
39932.2,1,0
39932.2,0,0
40677.2,1,0
40677.3,0,0
50365,1,0
50365,0,0
51854.1,1,0
51854.2,0,0
52598.1,1,0
52598.2,0,0
53344.2,1,0
53344.3,0,0
63776,1,0
63776.1,0,0
65264.1,1,0
65264.2,0,0
66010.2,1,0
66010.3,0,0
66755.2,1,0
66755.3,0,0
78679.2,1,0
78679.2,0,0
80169.3,1,0
80169.4,0,0
80914.3,1,0
80914.4,0,0
81659.4,1,0
81659.5,0,0
82401.5,1,0
82401.5,0,0
95070.4,1,0
95070.5,0,0
95811.5,1,0
95811.6,0,0
96557.6,1,0
96557.6,0,0
108479,1,0
108480,0,0
109223,1,0
109223,0,0
117420,1,0
117420,0,0
118909,1,0
118909,0,0
127849,1,0
127849,0,0
129340,1,0
129340,0,0
130084,1,0
130084,0,0
141260,1,0
141260,0,0
142751,1,0
142751,0,0
143499,1,0
143499,0,0
144241,1,0
144241,0,0
158400,1,0
158400,0,0
159143,1,0
159144,0,0
159888,1,0
159889,0,0
160636,1,0
160636,0,0
170319,1,0
170319,0,0
171064,1,0
171064,0,0
172553,1,0
172554,0,0
180750,1,0
180750,0,0
181495,1,0
181495,0,0
182984,1,0
182984,0,0
191924,1,0
191924,0,0
193415,1,0
193415,0,0
204592,1,0
204592,0,0
206081,1,0
206081,0,0
207571,1,0
207571,0,0
218003,1,0
218003,0,0
219492,1,0
219492,0,0
220235,1,0
220235,0,0
220980,1,0
220980,0,0
229179,1,0
229179,0,0
230668,1,0
230668,0,0
232158,1,0
232158,0,0
232906,1,0
232906,0,0
241845,1,0
241845,0,0
242590,1,0
242590,0,0
244079,1,0
244079,0,0
245569,1,0
245569,0,0
246317,1,0
246317,0,0
258236,1,0
258236,0,0
258981,1,0
258981,0,0
259726,1,0
259726,0,0
261218,1,0
261218,0,0
262706,1,0
262706,0,0
263454,1,0
263454,0,0
273137,1,0
273137,0,0
274626,1,0
274627,0,0
275369,1,0
275370,0,0
276117,1,0
276117,0,0
284310,1,0
284310,0,0
285802,1,0
285802,0,0
286545,1,0
286545,0,0
287290,1,0
287291,0,0
288786,1,0
288786,0,0
298469,1,0
298469,0,0
301447,1,0
301447,0,0
302942,1,0
302942,0,0
312625,1,0
312625,0,0
315603,1,0
315603,0,0
317098,1,0
317098,0,0
327524,1,0
327524,0,0
329016,1,0
329016,0,0
335719,1,0
335719,0,0
337214,1,0
337214,0,0
337958,1,0
337958,0,0
343916,1,0
343916,0,0
345410,1,0
345410,0,0
346154,1,0
346154,0,0
347642,1,0
347642,0,0
352857,1,0
352857,0,0
354347,1,0
354347,0,0
355093,1,0
355093,0,0
356586,1,0
356586,0,0
362542,1,0
362542,0,0
364777,1,0
364778,0,0
365527,1,0
365527,0,0
