Time,from_ingress_queue_size,to_ingress_queue_size
3825.15,1,nan
3832.6,0,nan
3833.6,0,0
7658.75,1,0
7666.2,0,0
7667.2,0,0
9570.09,1,0
9577.55,0,0
9578.55,0,0
11492.3,1,0
11499.8,0,0
11500.8,0,0
13401.7,1,0
13409.1,0,0
13410.1,0,0
15309,1,0
15316.5,0,0
15317.5,0,0
17216.4,1,0
17223.8,0,0
17224.8,0,0
19123.7,1,0
19131.2,0,0
19132.2,0,0
21031.1,1,0
21038.5,0,0
21039.5,0,0
22938.4,1,0
22945.9,0,0
22946.9,0,0
24845.8,1,0
24853.2,0,0
24854.2,0,0
26753.1,1,0
26760.6,0,0
26761.6,0,0
28660.5,1,0
28667.9,0,0
28668.9,0,0
30567.8,1,0
30575.3,0,0
30576.3,0,0
32475.2,1,0
32482.6,0,0
32483.6,0,0
34382.5,1,0
34390,0,0
34391,0,0
36289.9,1,0
36297.3,0,0
36298.3,0,0
38197.2,1,0
38204.7,0,0
38205.7,0,0
40104.6,1,0
40112,0,0
40113,0,0
42011.9,1,0
42019.4,0,0
42020.4,0,0
43919.3,1,0
43926.7,0,0
43927.7,0,0
45826.6,1,0
45834.1,0,0
45835.1,0,0
47734,1,0
47741.4,0,0
47742.4,0,0
49641.3,1,0
49648.8,0,0
49649.8,0,0
51548.7,1,0
51556.1,0,0
51557.1,0,0
53456,1,0
53463.5,0,0
53464.5,0,0
55363.4,1,0
55370.8,0,0
55371.8,0,0
57270.7,1,0
57278.2,0,0
57279.2,0,0
59178.1,1,0
59185.5,0,0
59186.5,0,0
61085.4,1,0
61092.9,0,0
61093.9,0,0
62992.8,1,0
63000.2,0,0
63001.2,0,0
64900.1,1,0
64907.6,0,0
64908.6,0,0
66807.5,1,0
66814.9,0,0
66815.9,0,0
68714.8,1,0
68722.3,0,0
68723.3,0,0
70622.2,1,0
70629.6,0,0
70630.6,0,0
72529.5,1,0
72537,0,0
72538,0,0
74436.8,1,0
74444.3,0,0
74445.3,0,0
76344.2,1,0
76351.6,0,0
76352.6,0,0
78251.5,1,0
78259,0,0
78260,0,0
80158.9,1,0
80166.3,0,0
80167.3,0,0
82066.2,1,0
82073.7,0,0
82074.7,0,0
83973.6,1,0
83981,0,0
