Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
747.058,0,0
2241.32,10000,0
2242.32,20000,0
2986.38,10000,10000
2987.38,10000,0
3731.44,0,10000
3737.44,0,0
6709.67,10000,0
6710.67,20000,0
6723.97,30000,0
7454.73,20000,10000
7457.66,20000,0
8199.79,10000,10000
8202.71,10000,0
8944.85,0,10000
8946.85,0,0
14906.3,10000,0
15651.4,0,10000
15653.4,0,0
16067,10000,0
16394.4,20000,0
16812,10000,0
17557.1,0,10000
17561.1,0,0
28317.4,10000,0
29062.4,0,10000
29066.3,0,0
31296.6,10000,0
32041.6,0,10000
32046.6,0,0
42472.5,10000,0
42473.5,20000,0
43217.5,10000,10000
43220.4,10000,0
43962.6,0,10000
43964.6,0,0
49923,10000,0
50668.1,10000,10000
50671,10000,0
51413.2,0,10000
51415.2,0,0
60353.9,10000,0
60354.9,20000,0
61098.9,20000,10000
61101.8,20000,0
61844,10000,10000
61846,10000,0
62589,0,10000
62591,0,0
73764.9,10000,0
74510,10000,10000
74511,20000,10000
74512.9,20000,0
75254,30000,0
75255,20000,10000
75257,20000,0
76000.1,10000,10000
76002.1,10000,0
76745.1,0,10000
76747.1,0,0
87921,10000,0
88666.1,10000,10000
88669,10000,0
89410.1,20000,0
89411.1,10000,10000
89413.1,10000,0
90155.2,20000,0
90156.2,20000,10000
90158.2,20000,0
90901.2,10000,10000
90903.2,10000,0
91646.3,0,10000
91648.2,0,0
103567,10000,0
104312,10000,10000
104315,10000,0
105057,0,10000
105060,0,0
106549,10000,0
107295,0,10000
107297,0,0
119214,10000,0
119959,0,10000
119961,0,0
120703,10000,0
121448,0,10000
121449,10000,10000
121452,10000,0
122194,0,10000
122196,0,0
128900,10000,0
129645,0,10000
129647,0,0
130388,10000,0
130389,20000,0
131133,10000,10000
131134,20000,10000
131137,20000,0
131878,10000,10000
131881,10000,0
132623,0,10000
132626,0,0
139331,10000,0
140076,0,10000
140078,0,0
141565,10000,0
142310,10000,10000
142311,20000,10000
142313,20000,0
143054,30000,0
143055,20000,10000
143057,20000,0
143800,10000,10000
143802,10000,0
144545,0,10000
144547,0,0
151997,10000,0
152742,0,10000
152744,0,0
154976,10000,0
155721,10000,10000
155724,10000,0
156465,20000,0
156466,10000,10000
156468,10000,0
157210,20000,0
157211,20000,10000
157213,20000,0
157956,10000,10000
157958,10000,0
158702,0,10000
158704,0,0
166899,10000,0
167644,0,10000
167647,0,0
172115,10000,0
172116,20000,0
172860,20000,10000
172863,20000,0
173605,10000,10000
173607,10000,0
174350,0,10000
174356,0,0
181054,10000,0
181799,0,10000
181802,0,0
184033,10000,0
184779,10000,10000
184781,10000,0
185524,0,10000
185526,0,0
186268,10000,0
186269,20000,0
187013,10000,10000
187015,10000,0
187758,0,10000
187761,0,0
191485,10000,0
192230,0,10000
192233,0,0
198192,10000,0
198933,20000,0
198937,10000,10000
198939,10000,0
199682,0,10000
199684,0,0
204896,10000,0
205641,0,10000
205644,0,0
212344,10000,0
213089,0,10000
213090,0,0
216817,10000,0
217562,0,10000
217565,0,0
222031,10000,0
222777,0,10000
222779,0,0
226503,10000,0
226504,20000,0
227248,10000,10000
227251,10000,0
227993,0,10000
227995,0,0
232462,10000,0
233207,0,10000
233210,0,0
238424,10000,0
239169,0,10000
239172,0,0
239912,10000,0
239913,20000,0
240657,10000,10000
240661,10000,0
241402,0,10000
241405,0,0
245128,10000,0
245873,0,10000
245876,0,0
253326,10000,0
254071,0,10000
254074,0,0
254813,10000,0
255558,0,10000
255562,0,0
256303,10000,0
257048,0,10000
257052,0,0
268972,10000,0
268973,20000,0
269717,10000,10000
269720,10000,0
270459,20000,0
270462,10000,10000
270464,10000,0
271207,0,10000
271209,0,0
280143,10000,0
280888,0,10000
280889,0,0
280892,10000,0
281637,10000,10000
281638,20000,10000
281640,20000,0
282382,10000,10000
282384,10000,0
283127,0,10000
283128,0,0
291319,10000,0
292064,0,10000
292065,0,0
292814,10000,0
293558,20000,0
293559,10000,10000
293561,10000,0
294304,0,10000
294306,0,0
295046,10000,0
295047,20000,0
295791,10000,10000
295797,10000,0
296536,0,10000
296539,0,0
305479,10000,0
306224,0,10000
306225,10000,10000
306228,10000,0
306967,20000,0
306970,10000,10000
306972,10000,0
307715,0,10000
307717,0,0
316655,10000,0
317400,10000,10000
317401,20000,10000
317403,20000,0
318143,30000,0
318145,20000,10000
318147,20000,0
318890,10000,10000
318892,10000,0
319635,0,10000
319637,0,0
328577,10000,0
329322,10000,10000
329325,10000,0
330064,20000,0
330065,30000,0
330067,20000,10000
330069,20000,0
330809,30000,0
330812,20000,10000
330814,20000,0
331557,10000,10000
331559,10000,0
332302,0,10000
332308,0,0
339753,10000,0
340498,10000,10000
340501,10000,0
341240,20000,0
341243,10000,10000
341245,10000,0
341985,20000,0
341988,10000,10000
341990,10000,0
342733,0,10000
342735,0,0
