Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
748.058,0,0
2984.38,10000,0
2985.38,20000,0
3729.44,10000,10000
3732.44,10000,0
4474.5,0,10000
4477.42,0,0
7454.73,10000,0
7455.73,20000,0
8199.79,10000,10000
8203.71,10000,0
8942.85,20000,0
8943.85,30000,0
8944.85,20000,10000
8947.85,20000,0
9689.9,10000,10000
9692.9,10000,0
10435,0,10000
10436.9,0,0
16676.1,10000,0
16677.1,20000,0
17421.1,10000,10000
17424.1,10000,0
18166.2,0,10000
18169.2,0,0
19377.7,10000,0
20122.7,10000,10000
20123.7,20000,10000
20126.6,20000,0
20867.8,10000,10000
20870.8,10000,0
21612.8,0,10000
21618.8,0,0
32788.7,10000,0
33533.8,10000,10000
33537.7,10000,0
34278.8,0,10000
34281.8,0,0
35019.9,10000,0
35020.9,20000,0
35764.9,10000,10000
35767.9,10000,0
36510,0,10000
36513.9,0,0
43961.6,10000,0
44706.6,0,10000
44707.6,10000,10000
44711.6,10000,0
45452.7,0,10000
45455.7,0,0
46195.7,10000,0
46940.8,0,10000
46943.8,0,0
47685.9,10000,0
48430.9,0,10000
48431.8,0,0
54392.4,10000,0
54393.4,20000,0
55137.4,10000,10000
55138.4,20000,10000
55142.4,20000,0
55882.5,10000,10000
55885.5,10000,0
56626.6,20000,0
56627.6,10000,10000
56630.5,10000,0
57372.6,0,10000
57375.6,0,0
58116.7,10000,0
58861.7,0,10000
58862.7,0,0
65568.3,10000,0
66313.3,10000,10000
66314.3,20000,10000
66317.2,20000,0
67057.4,30000,0
67058.4,20000,10000
67061.4,20000,0
67803.4,10000,10000
67806.4,10000,0
68547.5,20000,0
68548.5,10000,10000
68551.4,10000,0
69293.5,0,10000
69295.5,0,0
70036.6,10000,0
70781.7,0,10000
70783.6,0,0
79725.4,10000,0
80470.4,0,10000
80472.4,10000,10000
80476.3,10000,0
81213.5,20000,0
81214.5,30000,0
81217.5,20000,10000
81220.5,20000,0
81958.5,30000,0
81962.5,20000,10000
81965.5,20000,0
82707.6,10000,10000
82710.6,10000,0
83448.7,20000,0
83452.7,10000,10000
83458.6,10000,0
84197.7,0,10000
84200.7,0,0
85682.8,10000,0
86427.9,0,10000
86431.8,0,0
95373.6,10000,0
96116.6,20000,0
96118.6,10000,10000
96121.6,10000,0
96863.7,0,10000
96866.7,0,0
102823,10000,0
102824,20000,0
103568,10000,10000
103573,10000,0
104313,0,10000
104316,0,0
111762,10000,0
112507,10000,10000
112511,10000,0
113252,0,10000
113257,0,0
116975,10000,0
117720,10000,10000
117724,10000,0
118465,0,10000
118470,0,0
122194,10000,0
122939,0,10000
122942,0,0
123682,10000,0
123683,20000,0
124427,10000,10000
124433,10000,0
125172,0,10000
125176,0,0
128896,10000,0
129641,10000,10000
129645,10000,0
130386,0,10000
130390,0,0
134114,10000,0
134859,0,10000
134863,0,0
135603,10000,0
136348,0,10000
136350,10000,10000
136351,20000,10000
136354,20000,0
137095,10000,10000
137098,10000,0
137840,0,10000
137842,0,0
141567,10000,0
142312,0,10000
142315,0,0
151996,10000,0
152741,10000,10000
152745,10000,0
153486,0,10000
153489,0,0
155723,10000,0
156468,0,10000
156472,0,0
165407,10000,0
165408,20000,0
166152,20000,10000
166156,20000,0
166897,10000,10000
166901,10000,0
167642,0,10000
167645,0,0
177330,10000,0
177331,20000,0
178073,30000,0
178075,20000,10000
178078,20000,0
178820,10000,10000
178823,10000,0
179565,0,10000
179571,0,0
188504,10000,0
189249,10000,10000
189253,10000,0
189994,0,10000
189997,0,0
190737,10000,0
190738,20000,0
191482,10000,10000
191485,10000,0
192227,0,10000
192231,0,0
202660,10000,0
203405,10000,10000
203409,10000,0
204150,0,10000
204153,0,0
218306,10000,0
219051,10000,10000
219052,20000,10000
219055,20000,0
219796,10000,10000
219799,10000,0
220541,0,10000
220543,0,0
230974,10000,0
231719,10000,10000
231723,10000,0
232464,0,10000
232467,0,0
243637,10000,0
244382,10000,10000
244386,10000,0
245127,0,10000
245130,0,0
258538,10000,0
259283,0,10000
259287,0,0
273440,10000,0
273441,20000,0
274186,10000,10000
274189,10000,0
274931,0,10000
274933,0,0
283126,10000,0
283870,20000,0
283871,10000,10000
283874,10000,0
284616,0,10000
284619,0,0
295047,10000,0
295048,20000,0
295791,30000,0
295792,20000,10000
295795,20000,0
296537,10000,10000
296540,10000,0
297282,0,10000
297284,0,0
309950,10000,0
310692,20000,0
310693,30000,0
310695,20000,10000
310698,20000,0
311436,30000,0
311440,20000,10000
311443,20000,0
312185,10000,10000
312188,10000,0
312931,0,10000
312934,0,0
321869,10000,0
322613,20000,0
322614,10000,10000
322617,10000,0
323359,0,10000
323362,0,0
333789,10000,0
333790,20000,0
334534,20000,10000
334538,20000,0
335279,10000,10000
335282,10000,0
336024,0,10000
336027,0,0
342730,10000,0
343475,10000,10000
343479,10000,0
344219,20000,0
344220,20000,10000
344223,20000,0
344965,10000,10000
344968,10000,0
345710,0,10000
345713,0,0
353161,10000,0
353906,10000,10000
353910,10000,0
354650,20000,0
354651,10000,10000
354654,10000,0
355396,0,10000
355399,0,0
