Time,from_ingress_queue_size,to_ingress_queue_size
2984.31,1,nan
2984.38,0,0
7454.66,1,0
7454.73,0,0
8942.77,1,0
8942.85,0,0
17139.4,1,0
17139.5,0,0
18628.5,1,0
18628.6,0,0
19377.6,1,0
19377.7,0,0
20122.6,1,0
20122.7,0,0
30551.5,1,0
30551.5,0,0
32043.6,1,0
32043.6,0,0
32785.6,1,0
32785.7,0,0
33533.7,1,0
33533.8,0,0
35019.8,1,0
35019.9,0,0
43962.5,1,0
43962.6,0,0
44706.6,1,0
44706.6,0,0
46195.7,1,0
46195.7,0,0
47685.8,1,0
47685.9,0,0
54393.3,1,0
54393.4,0,0
55138.4,1,0
55138.4,0,0
56626.5,1,0
56626.6,0,0
57370.5,1,0
57370.6,0,0
65568.2,1,0
65568.3,0,0
66314.2,1,0
66314.3,0,0
67057.3,1,0
67057.4,0,0
68547.4,1,0
68547.5,0,0
70037.5,1,0
70037.6,0,0
78982.2,1,0
78982.3,0,0
79725.3,1,0
79725.4,0,0
80468.3,1,0
80468.4,0,0
81213.4,1,0
81213.5,0,0
82703.5,1,0
82703.6,0,0
84193.6,1,0
84193.7,0,0
93136.3,1,0
93136.4,0,0
93881.4,1,0
93881.5,0,0
94626.4,1,0
94626.5,0,0
95373.5,1,0
95373.6,0,0
96118.6,1,0
96118.6,0,0
96863.6,1,0
96863.7,0,0
97604.7,1,0
97604.8,0,0
107292,1,0
107293,0,0
108037,1,0
108038,0,0
108785,1,0
108785,0,0
110271,1,0
110271,0,0
118467,1,0
118467,0,0
119956,1,0
119956,0,0
120704,1,0
120705,0,0
128898,1,0
128898,0,0
130387,1,0
130387,0,0
131135,1,0
131135,0,0
131881,1,0
131881,0,0
142310,1,0
142310,0,0
143798,1,0
143798,0,0
144546,1,0
144546,0,0
145292,1,0
145292,0,0
146779,1,0
146779,0,0
157956,1,0
157956,0,0
159446,1,0
159447,0,0
160194,1,0
160194,0,0
160935,1,0
160935,0,0
170622,1,0
170622,0,0
171367,1,0
171368,0,0
172110,1,0
172111,0,0
181053,1,0
181053,0,0
181798,1,0
181798,0,0
182541,1,0
182541,0,0
184031,1,0
184031,0,0
194464,1,0
194464,0,0
195209,1,0
195209,0,0
195952,1,0
195952,0,0
196697,1,0
196697,0,0
197442,1,0
197443,0,0
207875,1,0
207875,0,0
208620,1,0
208620,0,0
209363,1,0
209363,0,0
210108,1,0
210109,0,0
210854,1,0
210854,0,0
212344,1,0
212344,0,0
219798,1,0
219798,0,0
220541,1,0
220541,0,0
221288,1,0
221288,0,0
222033,1,0
222033,0,0
222778,1,0
222779,0,0
224265,1,0
224265,0,0
225013,1,0
225013,0,0
230227,1,0
230227,0,0
230972,1,0
230972,0,0
232460,1,0
232460,0,0
233954,1,0
233954,0,0
240658,1,0
240658,0,0
241403,1,0
241403,0,0
242891,1,0
242891,0,0
243639,1,0
243639,0,0
245874,1,0
245874,0,0
253324,1,0
253324,0,0
254069,1,0
254069,0,0
255557,1,0
255557,0,0
256306,1,0
256306,0,0
257051,1,0
257051,0,0
259285,1,0
259285,0,0
267480,1,0
267480,0,0
268225,1,0
268225,0,0
268970,1,0
268970,0,0
269717,1,0
269717,0,0
