Time,from_ingress_queue_size,to_ingress_queue_size
4172.36,1,nan
4172.44,0,0
7893.66,1,0
7893.73,0,0
13110.1,1,0
13110.1,0,0
14604.6,1,0
14604.7,0,0
24288.9,1,0
24289,0,0
25780,1,0
25780.1,0,0
28013.2,1,0
28013.3,0,0
30995.5,1,0
30995.5,0,0
38444,1,0
38444.1,0,0
39932.2,1,0
39932.2,0,0
41422.3,1,0
41422.3,0,0
50367,1,0
50367,0,0
52599.1,1,0
52599.2,0,0
54089.3,1,0
54089.3,0,0
54834.3,1,0
54834.4,0,0
62286.9,1,0
62287,0,0
64519.1,1,0
64519.1,0,0
66755.2,1,0
66755.3,0,0
67500.3,1,0
67500.4,0,0
74952.9,1,0
74953,0,0
76440,1,0
76440.1,0,0
77934.1,1,0
77934.2,0,0
80911.3,1,0
80911.4,0,0
81656.4,1,0
81656.5,0,0
89110,1,0
89110.1,0,0
92087.2,1,0
92087.3,0,0
92832.3,1,0
92832.3,0,0
99539.8,1,0
99539.9,0,0
103263,1,0
103263,0,0
104008,1,0
104008,0,0
112206,1,0
112206,0,0
116674,1,0
116674,0,0
117419,1,0
117419,0,0
118163,1,0
118163,0,0
124873,1,0
124873,0,0
130085,1,0
130085,0,0
130830,1,0
130830,0,0
131574,1,0
131574,0,0
132319,1,0
132319,0,0
138283,1,0
138283,0,0
143496,1,0
143496,0,0
144241,1,0
144241,0,0
144985,1,0
144985,0,0
145730,1,0
145730,0,0
146475,1,0
146476,0,0
153183,1,0
153183,0,0
158397,1,0
158397,0,0
159142,1,0
159143,0,0
159887,1,0
159888,0,0
160632,1,0
160632,0,0
174792,1,0
174792,0,0
175534,1,0
175534,0,0
176279,1,0
176279,0,0
177027,1,0
177027,0,0
187455,1,0
187455,0,0
188200,1,0
188200,0,0
188944,1,0
188944,0,0
197885,1,0
197886,0,0
198631,1,0
198631,0,0
199375,1,0
199375,0,0
209061,1,0
209061,0,0
209806,1,0
209806,0,0
222472,1,0
222472,0,0
223217,1,0
223218,0,0
223962,1,0
223963,0,0
239612,1,0
239612,0,0
240357,1,0
240357,0,0
250040,1,0
250040,0,0
261218,1,0
261218,0,0
261963,1,0
261964,0,0
273881,1,0
273881,0,0
274626,1,0
274627,0,0
285802,1,0
285802,0,0
286547,1,0
286547,0,0
287291,1,0
287292,0,0
299213,1,0
299213,0,0
299958,1,0
299958,0,0
300703,1,0
300704,0,0
301452,1,0
301452,0,0
315605,1,0
315605,0,0
316350,1,0
316350,0,0
317094,1,0
317094,0,0
331996,1,0
331996,0,0
332741,1,0
332741,0,0
333485,1,0
333485,0,0
334230,1,0
334230,0,0
349877,1,0
349877,0,0
350625,1,0
350625,0,0
351370,1,0
351370,0,0
352115,1,0
352116,0,0
352861,1,0
352861,0,0
361799,1,0
361799,0,0
362544,1,0
362544,0,0
368505,1,0
368505,0,0
369250,1,0
369250,0,0
369993,1,0
369993,0,0
374465,1,0
374465,0,0
375210,1,0
375210,0,0
375953,1,0
375953,0,0
376698,1,0
376698,0,0
380426,1,0
380426,0,0
381171,1,0
381171,0,0
381916,1,0
381916,0,0
