Time,from_ingress_queue_size,to_ingress_queue_size
3052.5,1,nan
3053.25,0,0
9158.02,1,0
9158.76,0,1
9159.76,0,0
10684.9,1,0
10685.6,0,1
10687.6,0,0
18318.8,1,0
18319.5,0,1
18320.5,0,0
19844.7,1,0
19845.4,0,1
19847.4,0,0
21371.5,1,0
21372.3,0,1
21374.3,0,0
22896.4,1,0
22897.2,0,1
22899.2,0,0
33577.6,1,0
33578.3,0,1
33579.3,0,0
35104.5,1,0
35105.2,0,1
35107.2,0,0
36629.3,1,0
36630.1,0,1
36632.1,0,0
47310.5,1,0
47311.2,0,1
47312.2,0,0
48836.4,1,0
48837.1,0,1
48839.1,0,0
50363.2,1,0
50364,0,1
50366,0,0
51888.1,1,0
51888.9,0,1
51890.9,0,0
56465.8,1,0
56466.5,0,1
56467.5,0,0
57991.6,1,0
57992.4,0,1
57994.4,0,0
59518.5,1,0
59519.3,0,1
59521.3,0,0
61043.4,1,0
61044.1,0,1
61046.1,0,0
65621,1,0
65621.8,0,1
65622.8,0,0
67146.9,1,0
67147.7,0,1
67149.7,0,0
68672.8,1,0
68673.5,0,1
68675.5,0,0
70199.7,1,0
70200.4,0,1
70202.4,0,0
71724.5,1,0
71725.3,0,1
71727.3,0,0
76302.2,1,0
76302.9,0,1
76303.9,0,0
77828.1,1,0
77828.8,0,1
77830.8,0,0
79354.9,1,0
79355.7,0,1
79357.7,0,0
80879.8,1,0
80880.6,0,1
80882.6,0,0
85457.5,1,0
85458.2,0,1
85459.2,0,0
90035.1,1,0
90035.8,0,1
90036.8,0,0
91561,1,0
91561.7,0,1
91563.7,0,0
93086.8,1,0
93087.6,0,1
93089.6,0,0
94612.7,1,0
94613.5,0,1
94615.5,0,0
96138.6,1,0
96139.4,0,1
96141.4,0,0
97664.5,1,0
97665.2,0,1
97667.2,0,0
99190.4,1,0
99191.1,0,1
99193.1,0,0
100716,1,0
100717,0,1
100719,0,0
102242,1,0
102243,0,1
102245,0,0
103768,1,0
103769,0,1
103771,0,0
105294,1,0
105295,0,1
105297,0,0
106820,1,0
106821,0,1
106823,0,0
108346,1,0
108346,0,1
108348,0,0
109872,1,0
109872,0,1
109874,0,0
111397,1,0
111398,0,1
111400,0,0
112923,1,0
112924,0,1
112926,0,0
114450,1,0
114451,0,1
114453,0,0
115976,1,0
115977,0,1
115979,0,0
135403,1,0
135403,0,1
135404,0,0
136928,1,0
136929,0,1
136931,0,0
138454,1,0
138455,0,1
138457,0,0
139980,1,0
139981,0,1
139983,0,0
141506,1,0
141507,0,1
141509,0,0
143032,1,0
143033,0,1
143035,0,0
144558,1,0
144559,0,1
144561,0,0
146085,1,0
146085,0,1
146087,0,0
169585,1,0
169586,0,1
169587,0,0
171111,1,0
171112,0,1
171114,0,0
172637,1,0
172638,0,1
172640,0,0
174163,1,0
174164,0,1
174166,0,0
175689,1,0
175690,0,1
175692,0,0
177215,1,0
177215,0,1
177217,0,0
178741,1,0
178741,0,1
178743,0,0
180267,1,0
180268,0,1
180270,0,0
204289,1,0
204290,0,1
204291,0,0
205815,1,0
205815,0,1
205817,0,0
207341,1,0
207341,0,1
207343,0,0
208866,1,0
208867,0,1
208869,0,0
210392,1,0
210393,0,1
210395,0,0
211918,1,0
211919,0,1
211921,0,0
213444,1,0
213445,0,1
213447,0,0
214971,1,0
214972,0,1
214974,0,0
241029,1,0
241030,0,1
241031,0,0
242555,1,0
242556,0,1
242558,0,0
244081,1,0
244082,0,1
244084,0,0
245607,1,0
245607,0,1
245609,0,0
247134,1,0
247134,0,1
247136,0,0
248659,1,0
248660,0,1
248662,0,0
279025,1,0
279026,0,1
279027,0,0
280551,1,0
280552,0,1
280554,0,0
282078,1,0
282079,0,1
282081,0,0
283604,1,0
283605,0,1
283607,0,0
336987,1,0
336988,0,1
336989,0,0
338513,1,0
338514,0,1
338516,0,0
340039,1,0
340040,0,1
340042,0,0
341565,1,0
341566,0,1
341568,0,0
343091,1,0
343091,0,1
343093,0,0
344617,1,0
344617,0,1
344619,0,0
346142,1,0
346143,0,1
346145,0,0
347669,1,0
347670,0,1
347672,0,0
368324,1,0
368324,0,1
368325,0,0
369850,1,0
369850,0,1
369852,0,0
371375,1,0
371376,0,1
371378,0,0
372901,1,0
372902,0,1
372904,0,0
374427,1,0
374428,0,1
374430,0,0
375953,1,0
375954,0,1
375956,0,0
377479,1,0
377480,0,1
377482,0,0
379006,1,0
379007,0,1
379009,0,0
402565,1,0
402566,0,1
402567,0,0
404091,1,0
404092,0,1
404094,0,0
405617,1,0
405618,0,1
405620,0,0
407143,1,0
407144,0,1
407146,0,0
408669,1,0
408670,0,1
408672,0,0
410195,1,0
410195,0,1
410197,0,0
411721,1,0
411721,0,1
411723,0,0
413247,1,0
413248,0,1
413250,0,0
437163,1,0
437164,0,1
437165,0,0
438689,1,0
438690,0,1
438692,0,0
440215,1,0
440216,0,1
440218,0,0
441741,1,0
441742,0,1
441744,0,0
443267,1,0
443268,0,1
443270,0,0
444793,1,0
444793,0,1
444795,0,0
446319,1,0
446319,0,1
446321,0,0
447845,1,0
447846,0,1
447848,0,0
471818,1,0
471819,0,1
471820,0,0
473344,1,0
473345,0,1
473347,0,0
474870,1,0
474871,0,1
474873,0,0
476396,1,0
476397,0,1
476399,0,0
477922,1,0
477923,0,1
477925,0,0
479448,1,0
479449,0,1
479451,0,0
480974,1,0
480974,0,1
480976,0,0
482501,1,0
482501,0,1
482503,0,0
506483,1,0
506484,0,1
506485,0,0
508009,1,0
508010,0,1
508012,0,0
509535,1,0
509536,0,1
509538,0,0
511061,1,0
511061,0,1
511063,0,0
512587,1,0
512587,0,1
512589,0,0
514112,1,0
514113,0,1
514115,0,0
515638,1,0
515639,0,1
515641,0,0
517165,1,0
517166,0,1
517168,0,0
541815,1,0
541816,0,1
541817,0,0
543341,1,0
543342,0,1
543344,0,0
544867,1,0
544868,0,1
544870,0,0
546393,1,0
546394,0,1
546396,0,0
547919,1,0
547920,0,1
547922,0,0
549445,1,0
549446,0,1
549448,0,0
550971,1,0
550972,0,1
550974,0,0
552498,1,0
552498,0,1
552500,0,0
579678,1,0
579678,0,1
579679,0,0
581204,1,0
581204,0,1
581206,0,0
582729,1,0
582730,0,1
582732,0,0
584255,1,0
584256,0,1
584258,0,0
585782,1,0
585783,0,1
585785,0,0
587308,1,0
587309,0,1
587311,0,0
617622,1,0
617623,0,1
617624,0,0
619148,1,0
619149,0,1
619151,0,0
620675,1,0
620676,0,1
620678,0,0
622201,1,0
622202,0,1
622204,0,0
655600,1,0
655601,0,1
655602,0,0
657127,1,0
657128,0,1
657130,0,0
679783,1,0
679784,0,1
679786,0,0
681310,1,0
681311,0,1
681313,0,0
682836,1,0
682837,0,1
682839,0,0
684362,1,0
684363,0,1
684365,0,0
685888,1,0
685889,0,1
685891,0,0
687414,1,0
687414,0,1
687416,0,0
688940,1,0
688940,0,1
688942,0,0
690466,1,0
690467,0,1
690469,0,0
712243,1,0
712243,0,1
712245,0,0
713770,1,0
713770,0,1
713772,0,0
715295,1,0
715296,0,1
715298,0,0
716821,1,0
716822,0,1
716824,0,0
718347,1,0
718348,0,1
718350,0,0
719873,1,0
719874,0,1
719876,0,0
721399,1,0
721400,0,1
721402,0,0
722926,1,0
722927,0,1
722929,0,0
747102,1,0
747103,0,1
747104,0,0
748628,1,0
748628,0,1
748630,0,0
750154,1,0
750154,0,1
750156,0,0
751679,1,0
751680,0,1
751682,0,0
753205,1,0
753206,0,1
753208,0,0
754731,1,0
754732,0,1
754734,0,0
756257,1,0
756258,0,1
756260,0,0
757784,1,0
757785,0,1
757787,0,0
781812,1,0
781812,0,1
781813,0,0
783337,1,0
783338,0,1
783340,0,0
784863,1,0
784864,0,1
784866,0,0
786389,1,0
786390,0,1
786392,0,0
787915,1,0
787916,0,1
787918,0,0
789441,1,0
789442,0,1
789444,0,0
790967,1,0
790968,0,1
790970,0,0
792494,1,0
792494,0,1
792496,0,0
816486,1,0
816486,0,1
816487,0,0
818012,1,0
818012,0,1
818014,0,0
819537,1,0
819538,0,1
819540,0,0
821063,1,0
821064,0,1
821066,0,0
822589,1,0
822590,0,1
822592,0,0
824115,1,0
824116,0,1
824118,0,0
825641,1,0
825642,0,1
825644,0,0
827168,1,0
827169,0,1
827171,0,0
851153,1,0
851154,0,1
851155,0,0
852679,1,0
852680,0,1
852682,0,0
854205,1,0
854206,0,1
854208,0,0
855731,1,0
855732,0,1
855734,0,0
857257,1,0
857258,0,1
857260,0,0
858783,1,0
858784,0,1
858786,0,0
860309,1,0
860309,0,1
860311,0,0
861836,1,0
861836,0,1
861838,0,0
885820,1,0
885821,0,1
885822,0,0
887346,1,0
887347,0,1
887349,0,0
888872,1,0
888873,0,1
888875,0,0
890398,1,0
890399,0,1
890401,0,0
891924,1,0
891924,0,1
891926,0,0
893450,1,0
893450,0,1
893452,0,0
894975,1,0
894976,0,1
894978,0,0
896502,1,0
896503,0,1
896505,0,0
920487,1,0
920488,0,1
920489,0,0
922013,1,0
922013,0,1
922015,0,0
923539,1,0
923539,0,1
923541,0,0
925064,1,0
925065,0,1
925067,0,0
926590,1,0
926591,0,1
926593,0,0
928116,1,0
928117,0,1
928119,0,0
929642,1,0
929643,0,1
929645,0,0
931169,1,0
931170,0,1
931172,0,0
955153,1,0
955154,0,1
955155,0,0
956679,1,0
956680,0,1
956682,0,0
958205,1,0
958206,0,1
958208,0,0
959731,1,0
959732,0,1
959734,0,0
961257,1,0
961258,0,1
961260,0,0
962783,1,0
962783,0,1
962785,0,0
964309,1,0
964309,0,1
964311,0,0
965835,1,0
965836,0,1
965838,0,0
989820,1,0
989821,0,1
989822,0,0
991346,1,0
991346,0,1
991348,0,0
992872,1,0
992872,0,1
992874,0,0
994397,1,0
994398,0,1
994400,0,0
995923,1,0
995924,0,1
995926,0,0
997449,1,0
997450,0,1
997452,0,0
998975,1,0
998976,0,1
998978,0,0
1.0005e+06,1,0
1.0005e+06,0,1
1.0005e+06,0,0
1.02449e+06,1,0
1.02449e+06,0,1
1.02449e+06,0,0
1.02601e+06,1,0
1.02601e+06,0,1
1.02602e+06,0,0
1.02754e+06,1,0
1.02754e+06,0,1
1.02754e+06,0,0
1.02906e+06,1,0
1.02906e+06,0,1
1.02907e+06,0,0
1.03059e+06,1,0
1.03059e+06,0,1
1.03059e+06,0,0
1.03212e+06,1,0
1.03212e+06,0,1
1.03212e+06,0,0
1.03364e+06,1,0
1.03364e+06,0,1
1.03364e+06,0,0
1.03517e+06,1,0
1.03517e+06,0,1
1.03517e+06,0,0
1.05915e+06,1,0
1.05915e+06,0,1
1.05915e+06,0,0
1.06068e+06,1,0
1.06068e+06,0,1
1.06068e+06,0,0
1.0622e+06,1,0
1.06221e+06,0,1
1.06221e+06,0,0
1.06373e+06,1,0
1.06373e+06,0,1
1.06373e+06,0,0
1.06526e+06,1,0
1.06526e+06,0,1
1.06526e+06,0,0
1.06678e+06,1,0
1.06678e+06,0,1
1.06679e+06,0,0
1.06831e+06,1,0
1.06831e+06,0,1
1.06831e+06,0,0
1.06984e+06,1,0
