Time,from_ingress_queue_size,to_ingress_queue_size
0,2048,nan
1,6144,nan
1525.88,4096,0
4577.64,0,4096
4579.64,0,0
4583.87,2048,0
4584.87,4096,0
6109.75,2048,2048
6111.75,2048,0
7635.63,0,2048
7637.63,0,0
10691.4,4096,0
10692.4,8192,0
12218.3,10240,0
12219.3,12288,0
13743.1,8192,0
13745.1,10240,0
13746.1,12288,0
16794.9,8192,4096
16796.9,8192,0
18320.8,6144,2048
18322.8,6144,0
19846.7,4096,2048
19848.7,4096,0
19854.9,8192,0
19855.9,12288,0
21372.5,10240,0
22898.4,8192,2048
22900.4,8192,0
22909.7,12288,0
22910.7,16384,0
24435.5,16384,0
24436.5,16384,0
25950.2,12288,0
25962.4,14336,0
25963.4,16384,0
27488.3,16384,0
27489.3,16384,0
29001.9,12288,4096
29003.9,12288,0
29014.2,14336,0
29015.2,16384,0
32053.7,12288,4096
32055.7,12288,0
32063.9,16384,0
32064.9,16384,0
35105.5,12288,0
35116.7,16384,0
35117.7,16384,0
36631.3,14336,0
38157.2,12288,2048
38159.2,12288,0
38168.4,16384,0
38169.4,16384,0
39683.1,14336,0
41209,12288,2048
41211,12288,0
41220.2,16384,0
41221.2,16384,0
42746.1,16384,0
44260.7,12288,0
44273,14336,0
45798.8,16384,0
47312.5,12288,4096
47314.5,12288,0
47324.7,14336,0
50364.2,10240,4096
50366.2,10240,0
50374.5,14336,0
52450.2,16384,0
52451.2,16384,0
53416,12288,0
53427.2,16384,0
54941.9,14336,0
56467.8,12288,2048
56469.8,12288,0
56479,16384,0
57993.6,14336,0
58642.1,14336,0
59530.7,14336,0
59531.7,14336,0
59532.7,14336,0
59533.7,14336,0
59534.7,14336,0
59535.7,14336,0
59536.7,14336,0
59537.7,14336,0
59538.7,14336,0
59539.7,14336,0
59540.7,14336,0
59541.7,14336,0
59542.7,14336,0
59543.7,14336,0
59544.7,14336,0
59545.7,14336,0
59546.7,14336,0
59547.7,14336,0
59548.7,14336,0
59549.7,14336,0
59550.7,14336,0
59551.7,14336,0
59552.7,14336,0
59553.7,14336,0
59554.7,14336,0
59555.7,14336,0
59556.7,14336,0
59557.7,14336,0
59558.7,14336,0
59559.7,14336,0
59560.7,14336,0
59561.7,14336,0
59562.7,14336,0
59563.7,14336,0
59564.7,14336,0
59565.7,14336,0
59566.7,14336,0
59567.7,14336,0
59568.7,14336,0
59569.7,14336,0
59570.7,14336,0
59571.7,14336,0
59572.7,14336,0
59573.7,14336,0
59574.7,14336,0
59575.7,14336,0
59576.7,14336,0
59577.7,14336,0
59578.7,14336,0
59579.7,14336,0
59580.7,14336,0
59581.7,14336,0
59582.7,14336,0
59583.7,14336,0
59584.7,14336,0
59585.7,14336,0
59586.7,14336,0
59587.7,14336,0
59588.7,14336,0
59589.7,14336,0
59590.7,14336,0
59591.7,14336,0
59592.7,14336,0
59593.7,14336,0
59594.7,14336,0
59595.7,14336,0
59596.7,14336,0
59597.7,14336,0
59598.7,14336,0
59599.7,14336,0
59600.7,14336,0
59601.7,14336,0
59602.7,14336,0
59603.7,14336,0
59604.7,14336,0
59605.7,14336,0
59606.7,14336,0
59607.7,14336,0
59608.7,14336,0
59609.7,14336,0
59610.7,14336,0
59611.7,14336,0
59612.7,14336,0
59613.7,14336,0
59614.7,14336,0
59615.7,14336,0
59616.7,14336,0
59617.7,14336,0
59618.7,14336,0
59619.7,14336,0
59620.7,14336,0
59621.7,14336,0
59622.7,14336,0
59623.7,14336,0
59624.7,14336,0
59625.7,14336,0
59626.7,14336,0
59627.7,14336,0
59628.7,14336,0
59629.7,14336,0
59630.7,14336,0
59631.7,14336,0
59632.7,14336,0
59633.7,14336,0
59634.7,14336,0
59635.7,14336,0
59636.7,14336,0
59637.7,14336,0
59638.7,14336,0
59639.7,14336,0
59640.7,14336,0
59641.7,14336,0
59642.7,14336,0
59643.7,14336,0
59644.7,14336,0
59645.7,14336,0
59646.7,14336,0
59647.7,14336,0
59648.7,14336,0
59649.7,14336,0
59650.7,14336,0
59651.7,14336,0
59652.7,14336,0
59653.7,14336,0
59654.7,14336,0
59655.7,14336,0
59656.7,14336,0
59657.7,14336,0
59658.7,14336,0
59659.7,14336,0
59660.7,14336,0
59661.7,14336,0
59662.7,14336,0
59663.7,14336,0
59664.7,14336,0
59665.7,14336,0
59666.7,14336,0
59667.7,14336,0
59668.7,14336,0
59669.7,14336,0
59670.7,14336,0
59671.7,14336,0
59672.7,14336,0
59673.7,14336,0
59674.7,14336,0
59675.7,14336,0
59676.7,14336,0
59677.7,14336,0
59678.7,14336,0
59679.7,14336,0
59680.7,14336,0
59681.7,14336,0
59682.7,14336,0
59683.7,14336,0
59684.7,14336,0
59685.7,14336,0
59686.7,14336,0
59687.7,14336,0
59688.7,14336,0
59689.7,14336,0
59690.7,14336,0
59691.7,14336,0
59692.7,14336,0
59693.7,14336,0
59694.7,14336,0
59695.7,14336,0
59696.7,14336,0
59697.7,14336,0
59698.7,14336,0
59699.7,14336,0
59700.7,14336,0
59701.7,14336,0
59702.7,14336,0
59703.7,14336,0
59704.7,14336,0
59705.7,14336,0
59706.7,14336,0
59707.7,14336,0
59708.7,14336,0
59709.7,14336,0
59710.7,14336,0
59711.7,14336,0
61045.4,10240,0
61056.6,12288,0
61057.6,14336,0
61058.6,16384,0
61059.6,16384,0
61060.6,16384,0
61061.6,16384,0
61062.6,16384,0
61063.6,16384,0
61064.6,16384,0
61065.6,16384,0
61066.6,16384,0
61067.6,16384,0
61068.6,16384,0
61069.6,16384,0
61070.6,16384,0
61071.6,16384,0
61072.6,16384,0
61073.6,16384,0
61074.6,16384,0
61075.6,16384,0
61076.6,16384,0
61077.6,16384,0
61078.6,16384,0
61079.6,16384,0
61080.6,16384,0
61081.6,16384,0
61082.6,16384,0
61083.6,16384,0
61084.6,16384,0
61085.6,16384,0
61086.6,16384,0
61087.6,16384,0
61088.6,16384,0
61089.6,16384,0
61090.6,16384,0
61091.6,16384,0
61092.6,16384,0
61093.6,16384,0
61094.6,16384,0
61095.6,16384,0
61096.6,16384,0
61097.6,16384,0
61098.6,16384,0
61099.6,16384,0
61100.6,16384,0
61101.6,16384,0
61102.6,16384,0
61103.6,16384,0
61104.6,16384,0
61105.6,16384,0
61106.6,16384,0
61107.6,16384,0
61108.6,16384,0
61109.6,16384,0
61110.6,16384,0
61111.6,16384,0
61112.6,16384,0
61113.6,16384,0
61114.6,16384,0
61115.6,16384,0
61116.6,16384,0
61117.6,16384,0
61118.6,16384,0
61119.6,16384,0
61120.6,16384,0
61121.6,16384,0
61122.6,16384,0
61123.6,16384,0
61124.6,16384,0
61125.6,16384,0
61126.6,16384,0
61127.6,16384,0
61128.6,16384,0
61129.6,16384,0
61130.6,16384,0
61131.6,16384,0
61132.6,16384,0
61133.6,16384,0
61134.6,16384,0
61135.6,16384,0
61136.6,16384,0
61137.6,16384,0
61138.6,16384,0
61139.6,16384,0
61140.6,16384,0
61141.6,16384,0
61142.6,16384,0
61143.6,16384,0
61144.6,16384,0
61145.6,16384,0
61146.6,16384,0
61147.6,16384,0
61148.6,16384,0
61149.6,16384,0
61150.6,16384,0
61151.6,16384,0
61152.6,16384,0
61153.6,16384,0
61154.6,16384,0
61155.6,16384,0
61156.6,16384,0
61157.6,16384,0
61158.6,16384,0
61159.6,16384,0
61160.6,16384,0
61161.6,16384,0
61162.6,16384,0
61163.6,16384,0
61164.6,16384,0
61165.6,16384,0
61166.6,16384,0
61167.6,16384,0
61168.6,16384,0
61169.6,16384,0
61170.6,16384,0
61171.6,16384,0
61172.6,16384,0
61173.6,16384,0
61174.6,16384,0
61175.6,16384,0
61176.6,16384,0
61177.6,16384,0
61178.6,16384,0
61179.6,16384,0
61180.6,16384,0
61181.6,16384,0
61182.6,16384,0
61183.6,16384,0
61184.6,16384,0
61185.6,16384,0
61186.6,16384,0
61187.6,16384,0
61188.6,16384,0
61189.6,16384,0
61190.6,16384,0
61191.6,16384,0
61192.6,16384,0
61193.6,16384,0
61194.6,16384,0
61195.6,16384,0
61196.6,16384,0
61197.6,16384,0
61198.6,16384,0
61199.6,16384,0
61200.6,16384,0
61201.6,16384,0
61202.6,16384,0
61203.6,16384,0
61204.6,16384,0
61205.6,16384,0
61206.6,16384,0
61207.6,16384,0
61208.6,16384,0
61209.6,16384,0
61210.6,16384,0
61211.6,16384,0
61212.6,16384,0
61213.6,16384,0
61214.6,16384,0
61215.6,16384,0
61216.6,16384,0
61217.6,16384,0
61218.6,16384,0
61219.6,16384,0
61220.6,16384,0
61221.6,16384,0
61222.6,16384,0
61223.6,16384,0
61224.6,16384,0
61225.6,16384,0
61226.6,16384,0
61227.6,16384,0
61228.6,16384,0
61229.6,16384,0
61230.6,16384,0
61231.6,16384,0
61232.6,16384,0
61233.6,16384,0
61234.6,16384,0
61235.6,16384,0
61236.6,16384,0
61237.6,16384,0
61238.6,16384,0
61239.6,16384,0
61240.6,16384,0
61241.6,16384,0
61242.6,16384,0
61243.6,16384,0
61244.6,16384,0
61245.6,16384,0
61246.6,16384,0
61247.6,16384,0
61248.6,16384,0
61249.6,16384,0
61250.6,16384,0
61251.6,16384,0
61252.6,16384,0
61253.6,16384,0
61254.6,16384,0
61255.6,16384,0
61256.6,16384,0
61257.6,16384,0
61258.6,16384,0
61259.6,16384,0
61260.6,16384,0
61261.6,16384,0
61262.6,16384,0
61263.6,16384,0
61264.6,16384,0
61265.6,16384,0
61266.6,16384,0
61267.6,16384,0
61268.6,16384,0
61269.6,16384,0
61270.6,16384,0
61271.6,16384,0
61272.6,16384,0
61273.6,16384,0
61274.6,16384,0
61275.6,16384,0
61276.6,16384,0
61277.6,16384,0
61278.6,16384,0
61279.6,16384,0
61280.6,16384,0
61281.6,16384,0
61282.6,16384,0
61283.6,16384,0
61284.6,16384,0
61285.6,16384,0
61286.6,16384,0
61287.6,16384,0
61288.6,16384,0
61289.6,16384,0
61290.6,16384,0
61291.6,16384,0
61292.6,16384,0
61293.6,16384,0
61294.6,16384,0
61295.6,16384,0
61296.6,16384,0
61297.6,16384,0
61298.6,16384,0
61299.6,16384,0
61300.6,16384,0
61301.6,16384,0
61302.6,16384,0
61303.6,16384,0
61304.6,16384,0
61305.6,16384,0
61306.6,16384,0
61307.6,16384,0
61308.6,16384,0
61309.6,16384,0
61310.6,16384,0
61311.6,16384,0
61312.6,16384,0
61313.6,16384,0
61314.6,16384,0
61315.6,16384,0
61316.6,16384,0
61317.6,16384,0
61318.6,16384,0
61319.6,16384,0
61320.6,16384,0
61321.6,16384,0
61322.6,16384,0
61323.6,16384,0
61324.6,16384,0
61325.6,16384,0
61326.6,16384,0
61327.6,16384,0
61328.6,16384,0
61329.6,16384,0
61330.6,16384,0
61331.6,16384,0
61332.6,16384,0
