Time,from_ingress_queue_size,to_ingress_queue_size
1525.88,2048,nan
3051.76,0,0
4577.64,4096,0
6104.52,6144,0
7629.39,2048,4096
7630.39,4096,4096
7631.39,4096,0
9155.27,2048,2048
9157.27,2048,0
10681.2,0,2048
10683.2,0,0
10685.9,4096,0
13737.7,0,4096
13738.4,4096,4096
13739.7,4096,0
15264.3,6144,0
16790.2,4096,4096
16792.2,4096,0
18316,4096,2048
18318,4096,0
19840.9,6144,0
19841.9,4096,2048
19843.9,4096,0
21367.8,2048,2048
21369.8,2048,0
22892.7,6144,0
22893.7,4096,2048
22895.7,4096,0
25944.4,8192,0
25945.4,4096,4096
25947.4,4096,0
28997.2,4096,4096
28999.2,4096,0
30523.1,6144,0
32048.9,4096,4096
32050.9,4096,0
33574.8,4096,2048
33576.8,4096,0
35100.7,2048,2048
35102.7,2048,0
36625.6,6144,0
36626.6,4096,2048
36628.6,4096,0
39677.3,8192,0
39678.3,4096,4096
39680.3,4096,0
42730.1,4096,4096
42732.1,4096,0
44256,6144,0
45781.9,4096,4096
45783.9,4096,0
47307.7,4096,2048
47309.7,4096,0
48832.6,6144,0
48833.6,4096,2048
48835.6,4096,0
50358.5,6144,0
50359.5,4096,2048
50361.5,4096,0
51884.4,6144,0
51885.4,4096,2048
51887.4,4096,0
53410.3,6144,0
53411.3,4096,2048
53413.3,4096,0
54936.1,6144,0
54937.1,4096,2048
54939.1,4096,0
56463,2048,2048
56465,2048,0
57987.9,6144,0
57988.9,4096,2048
57990.9,4096,0
59513.8,6144,0
61040.6,4096,4096
61042.6,4096,0
62566.5,4096,2048
62568.5,4096,0
64091.4,6144,0
64092.4,4096,2048
64094.4,4096,0
65617.3,6144,0
65618.3,4096,2048
65620.3,4096,0
67143.2,6144,0
67144.2,4096,2048
67146.2,4096,0
68670,2048,2048
68672,2048,0
70194.9,6144,0
70195.9,4096,2048
70197.9,4096,0
71720.8,6144,0
73247.7,4096,4096
73249.7,4096,0
74773.6,4096,2048
74775.6,4096,0
76298.4,6144,0
76299.4,4096,2048
76301.4,4096,0
