Time,from_ingress_queue_size,to_ingress_queue_size
3728.36,1,nan
3728.44,0,0
9687.83,1,0
9687.9,0,0
11176.9,1,0
11177,0,0
20863.7,1,0
20863.8,0,0
22352.8,1,0
22352.9,0,0
23842.9,1,0
23843,0,0
24592,1,0
24592.1,0,0
34278.7,1,0
34278.8,0,0
35763.9,1,0
35763.9,0,0
37259,1,0
37259.1,0,0
38749.1,1,0
38749.2,0,0
44705.6,1,0
44705.6,0,0
45450.6,1,0
45450.7,0,0
46939.7,1,0
46939.8,0,0
48434.8,1,0
48434.9,0,0
55136.4,1,0
55136.4,0,0
55881.4,1,0
55881.5,0,0
57370.5,1,0
57370.6,0,0
59609.7,1,0
59609.8,0,0
61099.8,1,0
61099.9,0,0
67802.4,1,0
67802.4,0,0
68547.4,1,0
68547.5,0,0
70036.5,1,0
70036.6,0,0
79723.3,1,0
79723.4,0,0
81212.4,1,0
81212.5,0,0
82702.5,1,0
82702.6,0,0
93134.3,1,0
93134.4,0,0
95373.5,1,0
95373.6,0,0
96118.6,1,0
96118.6,0,0
108035,1,0
108036,0,0
108781,1,0
108781,0,0
109525,1,0
109525,0,0
118466,1,0
118466,0,0
119211,1,0
119211,0,0
119955,1,0
119955,0,0
121446,1,0
121446,0,0
130387,1,0
130387,0,0
131132,1,0
131132,0,0
131876,1,0
131876,0,0
133366,1,0
133367,0,0
134116,1,0
134116,0,0
143802,1,0
143802,0,0
144543,1,0
144543,0,0
145287,1,0
145287,0,0
146783,1,0
146783,0,0
147527,1,0
147527,0,0
157954,1,0
157954,0,0
158703,1,0
158704,0,0
160194,1,0
160194,0,0
166895,1,0
166895,0,0
167640,1,0
167640,0,0
168384,1,0
168384,0,0
169874,1,0
169874,0,0
177326,1,0
177326,0,0
178071,1,0
178071,0,0
178815,1,0
178815,0,0
180305,1,0
180305,0,0
181800,1,0
181800,0,0
191486,1,0
191486,0,0
192231,1,0
192231,0,0
192971,1,0
192971,0,0
194461,1,0
194461,0,0
195210,1,0
195210,0,0
197445,1,0
197446,0,0
207128,1,0
207128,0,0
207873,1,0
207873,0,0
208617,1,0
208617,0,0
210107,1,0
210108,0,0
210857,1,0
210857,0,0
213092,1,0
213092,0,0
213837,1,0
213837,0,0
222029,1,0
222029,0,0
222774,1,0
222775,0,0
223518,1,0
223519,0,0
231715,1,0
231715,0,0
232460,1,0
232460,0,0
233204,1,0
233204,0,0
234694,1,0
234694,0,0
243636,1,0
243636,0,0
244381,1,0
244381,0,0
245125,1,0
245125,0,0
246615,1,0
246615,0,0
247365,1,0
247365,0,0
259286,1,0
259286,0,0
260027,1,0
260027,0,0
260771,1,0
260771,0,0
261516,1,0
261517,0,0
262262,1,0
262262,0,0
263007,1,0
263007,0,0
273438,1,0
273438,0,0
274183,1,0
274184,0,0
274932,1,0
274933,0,0
275678,1,0
275678,0,0
286849,1,0
286850,0,0
287594,1,0
287595,0,0
288339,1,0
288339,0,0
289084,1,0
289084,0,0
301006,1,0
301006,0,0
301751,1,0
301751,0,0
302496,1,0
302496,0,0
303245,1,0
303245,0,0
