Time,from_ingress_queue_size,to_ingress_queue_size
4473.42,1,nan
4473.5,0,0
10432.9,1,0
10433,0,0
12667.1,1,0
12667.1,0,0
21608.8,1,0
21608.8,0,0
23097.9,1,0
23097.9,0,0
25333,1,0
25333.1,0,0
26828.2,1,0
26828.2,0,0
35019.8,1,0
35019.9,0,0
36512.9,1,0
36513,0,0
37259,1,0
37259.1,0,0
39489.2,1,0
39489.2,0,0
44705.6,1,0
44705.6,0,0
46939.7,1,0
46939.8,0,0
54391.3,1,0
54391.4,0,0
57370.5,1,0
57370.6,0,0
65567.2,1,0
65567.3,0,0
67060.3,1,0
67060.4,0,0
70036.5,1,0
70036.6,0,0
78982.2,1,0
78982.3,0,0
80471.3,1,0
80471.4,0,0
81217.4,1,0
81217.5,0,0
83447.6,1,0
83447.7,0,0
92391.3,1,0
92391.3,0,0
94628.4,1,0
94628.5,0,0
95369.5,1,0
95369.6,0,0
96862.6,1,0
96862.7,0,0
97603.7,1,0
97603.8,0,0
102821,1,0
102821,0,0
105055,1,0
105055,0,0
105800,1,0
105800,0,0
107293,1,0
107294,0,0
116980,1,0
116980,0,0
117721,1,0
117721,0,0
119214,1,0
119214,0,0
128897,1,0
128897,0,0
130390,1,0
130390,0,0
131880,1,0
131880,0,0
132621,1,0
132621,0,0
140073,1,0
140073,0,0
141563,1,0
141563,0,0
143056,1,0
143056,0,0
143802,1,0
143802,0,0
144546,1,0
144546,0,0
151996,1,0
151996,0,0
154229,1,0
154229,0,0
156463,1,0
156463,0,0
157208,1,0
157208,0,0
157953,1,0
157953,0,0
159447,1,0
159448,0,0
166151,1,0
166151,0,0
168389,1,0
168389,0,0
171364,1,0
171365,0,0
172859,1,0
172859,0,0
173605,1,0
173605,0,0
175095,1,0
175095,0,0
176585,1,0
176585,0,0
183290,1,0
183290,0,0
185526,1,0
185526,0,0
187761,1,0
187761,0,0
188501,1,0
188501,0,0
196699,1,0
196699,0,0
199678,1,0
199678,0,0
200422,1,0
200422,0,0
201917,1,0
201917,0,0
209363,1,0
209363,0,0
213833,1,0
213833,0,0
215327,1,0
215327,0,0
223519,1,0
223520,0,0
226504,1,0
226504,0,0
227993,1,0
227993,0,0
237678,1,0
237678,0,0
239170,1,0
239170,0,0
239915,1,0
239915,0,0
251832,1,0
251832,0,0
252577,1,0
252577,0,0
254070,1,0
254070,0,0
265243,1,0
265243,0,0
266736,1,0
266736,0,0
268967,1,0
268967,0,0
280889,1,0
280889,0,0
282383,1,0
282383,0,0
283128,1,0
283128,0,0
299519,1,0
299519,0,0
313672,1,0
313672,0,0
314417,1,0
314417,0,0
330063,1,0
330063,0,0
330808,1,0
330808,0,0
339749,1,0
339749,0,0
347203,1,0
347203,0,0
348692,1,0
348692,0,0
353906,1,0
353906,0,0
354651,1,0
354651,0,0
360611,1,0
360611,0,0
361356,1,0
361356,0,0
362101,1,0
362101,0,0
368062,1,0
368062,0,0
369554,1,0
369554,0,0
370297,1,0
370297,0,0
371044,1,0
371044,0,0
374767,1,0
374767,0,0
376257,1,0
376257,0,0
