Time,from_ingress_queue_size,to_ingress_queue_size
469,10000,nan
1214.06,0,0
2469,10000,0
3214.06,0,0
3424.38,10000,0
3425.38,20000,0
4169.44,10000,10000
4174.36,10000,0
4914.5,0,10000
4919.42,0,0
9335.14,10000,0
9336.14,20000,0
10080.2,10000,10000
10082.2,10000,0
10825.3,0,10000
10826.3,0,0
10877,10000,0
11622,0,10000
11624.9,0,0
12365.1,10000,0
13110.1,0,10000
13112.1,0,0
23544.9,10000,0
24290,0,10000
24291.9,0,0
26524.2,10000,0
26525.2,20000,0
27269.2,10000,10000
27271.2,10000,0
28014.3,0,10000
28015.3,0,0
33972.8,10000,0
34717.8,0,10000
34723.8,0,0
36209.9,10000,0
36955,10000,10000
36956,20000,10000
36956.9,20000,0
37700.1,10000,10000
37701.1,10000,0
38445.1,0,10000
38446,0,0
43661.5,10000,0
44406.6,0,10000
44408.5,0,0
45895.7,10000,0
46640.7,10000,10000
46642.7,10000,0
47385.8,10000,10000
47387.7,10000,0
48130.9,0,10000
48131.9,0,0
55577.4,10000,0
55578.4,20000,0
56322.5,10000,10000
56324.4,10000,0
57067.6,0,10000
57072.5,0,0
57815.6,10000,0
58560.7,0,10000
58563.6,0,0
59305.7,10000,0
60050.8,0,10000
60052.8,10000,10000
60054.7,10000,0
60797.9,0,10000
60798.9,0,0
71972.7,10000,0
72717.8,10000,10000
72719.7,10000,0
73462.8,10000,10000
73464.8,10000,0
74207.9,0,10000
74208.9,0,0
84639.7,10000,0
85384.8,0,10000
85385.8,0,0
86127.8,10000,0
86872.9,0,10000
86875.8,0,0
95070.5,10000,0
95815.6,0,10000
95816.6,0,0
96558.6,10000,0
97303.7,0,10000
97306.6,0,0
105496,10000,0
106241,0,10000
106243,0,0
107736,10000,0
107737,20000,0
108481,10000,10000
108482,10000,0
109226,0,10000
109227,0,0
117421,10000,0
118166,0,10000
118169,0,0
120401,10000,0
121147,10000,10000
121148,20000,10000
121148,20000,0
121892,10000,10000
121893,10000,0
122637,0,10000
122638,0,0
131577,10000,0
132322,0,10000
132324,0,0
134558,10000,0
135303,0,10000
135304,10000,10000
135306,10000,0
136047,20000,0
136049,10000,10000
136050,10000,0
136794,0,10000
136795,0,0
144239,10000,0
144240,20000,0
144984,10000,10000
144990,10000,0
145729,0,10000
145734,0,0
146479,10000,0
147224,0,10000
147226,0,0
156165,10000,0
156909,20000,0
156910,10000,10000
156911,10000,0
157655,0,10000
157656,0,0
159145,10000,0
159890,0,10000
159891,0,0
167341,10000,0
168086,10000,10000
168087,20000,10000
168088,20000,0
168831,10000,10000
168832,10000,0
169576,0,10000
169577,0,0
171065,10000,0
171811,0,10000
171812,0,0
177767,10000,0
178512,10000,10000
178514,10000,0
179257,0,10000
179260,10000,10000
179261,20000,10000
179262,20000,0
180005,10000,10000
180007,10000,0
180750,0,10000
180752,0,0
182241,10000,0
182986,0,10000
182988,0,0
188943,10000,0
189688,10000,10000
189690,10000,0
190433,10000,10000
190435,10000,0
191178,0,10000
191183,0,0
191926,10000,0
192671,0,10000
192674,0,0
194907,10000,0
194908,20000,0
195652,10000,10000
195654,10000,0
196397,0,10000
196398,0,0
200119,10000,0
200864,0,10000
200866,0,0
201612,10000,0
202357,0,10000
202359,10000,10000
202361,10000,0
203104,0,10000
203105,0,0
203847,10000,0
204592,0,10000
204595,0,0
207573,10000,0
208318,0,10000
208319,10000,10000
208320,20000,10000
208321,20000,0
209064,10000,10000
209065,10000,0
209809,0,10000
209815,0,0
214275,10000,0
215020,0,10000
215022,0,0
216515,10000,0
217260,10000,10000
217262,10000,0
218005,0,10000
218006,0,0
218748,10000,0
219493,0,10000
219497,0,0
221729,10000,0
222474,0,10000
222476,0,0
232156,10000,0
232901,0,10000
232902,0,0
232906,10000,0
232907,20000,0
233651,10000,10000
233653,10000,0
234396,0,10000
234397,0,0
235885,10000,0
236631,0,10000
236632,0,0
244077,10000,0
244822,0,10000
244823,0,0
244827,10000,0
245572,0,10000
245574,0,0
246315,10000,0
247060,0,10000
247063,0,0
248551,10000,0
248552,20000,0
249297,10000,10000
249298,10000,0
250042,0,10000
250043,0,0
257488,10000,0
258233,0,10000
258235,0,0
263454,10000,0
263455,20000,0
264199,10000,10000
264201,10000,0
264944,0,10000
264945,0,0
272389,10000,0
273134,0,10000
273135,0,0
276119,10000,0
276864,10000,10000
276866,10000,0
277609,0,10000
277611,0,0
285059,10000,0
285804,0,10000
285806,0,0
286548,10000,0
287294,0,10000
287296,0,0
297726,10000,0
297727,20000,0
298471,10000,10000
298473,10000,0
299216,0,10000
299217,0,0
306662,10000,0
307407,0,10000
307411,10000,10000
307413,10000,0
308156,0,10000
308157,0,0
319332,10000,0
319333,20000,0
320077,10000,10000
320079,10000,0
320822,0,10000
320824,0,0
330508,10000,0
331253,0,10000
331255,0,0
331997,10000,0
332742,0,10000
332745,0,0
342429,10000,0
343174,0,10000
343176,0,0
344664,10000,0
344665,20000,0
345409,10000,10000
345411,10000,0
346154,0,10000
346155,0,0
