Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.063, 20.4495, 364341

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.415, 20.7912, 358352

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.942, 19.3612, 384821

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.2943, 20.6741, 360382

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.5936, 19.8015, 376263
