Time,from_ingress_queue_size,to_ingress_queue_size
0,2048,nan
1,6144,nan
1525.88,4096,0
3053.25,6144,0
3054.25,8192,0
4577.64,4096,0
6103.52,2048,2048
6104.52,2048,0
7629.39,0,2048
7630.39,0,0
7633.88,4096,0
7634.88,8192,0
9159.74,10240,0
9160.74,12288,0
9161.74,14336,0
10685.6,10240,4096
10685.9,10240,0
10687.6,12288,0
13737.4,8192,4096
13738.4,8192,0
13742.1,12288,0
13743.1,16384,0
15263.3,14336,2048
15264.3,14336,0
16789.2,12288,2048
16790.2,12288,0
16796.6,16384,0
16797.6,16384,0
18315,14336,2048
18316,14336,0
19840.9,12288,0
21374.3,14336,0
22892.7,10240,0
22899.2,12288,0
22900.2,14336,0
25944.4,10240,0
25949.9,14336,0
25950.9,14336,0
28996.2,10240,4096
28997.2,10240,0
29003.7,14336,0
29004.7,14336,0
30522.1,12288,2048
30523.1,12288,0
32047.9,10240,2048
32048.9,10240,0
32055.4,14336,0
32056.4,14336,0
33573.8,12288,2048
33574.8,12288,0
33579.3,14336,0
35107.2,16384,0
36277,16384,0
36625.6,12288,0
36632.1,14336,0
36633.1,16384,0
39677.3,12288,0
42729.1,8192,4096
42730.1,8192,0
44255,6144,2048
44256,6144,0
45780.9,4096,2048
45781.9,4096,0
47306.7,2048,2048
47307.7,2048,0
47312.2,4096,0
48832.6,2048,0
48839.1,4096,0
50358.5,2048,0
50365,4096,0
51884.4,2048,0
51890.9,4096,0
52007.6,8192,0
53410.3,6144,0
53416.7,8192,0
53417.7,10240,0
54936.1,8192,0
54942.6,10240,0
56469.5,12288,0
57987.9,8192,0
57994.4,10240,0
59513.8,8192,0
61039.6,6144,2048
61040.6,6144,0
62565.5,4096,2048
62566.5,4096,0
62571,6144,0
63179.9,10240,0
64091.4,8192,0
64097.9,10240,0
64098.9,12288,0
65617.3,10240,0
65623.8,12288,0
67143.2,10240,0
67149.7,12288,0
68676.5,14336,0
70009.7,14336,0
70194.9,10240,0
70201.4,12288,0
71720.8,10240,0
73246.7,8192,2048
73247.7,8192,0
74231.3,12288,0
74772.6,10240,2048
74773.6,10240,0
74778,12288,0
76298.4,10240,0
76304.9,12288,0
76305.9,14336,0
77824.3,12288,0
77830.8,14336,0
79350.2,12288,0
79356.7,14336,0
80883.6,16384,0
82402,12288,0
82408.4,14336,0
83927.8,12288,0
85453.7,10240,2048
85454.7,10240,0
85459.2,14336,0
86979.6,12288,2048
86980.6,12288,0
86985.1,14336,0
88505.5,12288,0
88512,14336,0
90031.3,12288,0
90037.8,14336,0
91557.2,12288,0
91563.7,14336,0
91564.7,16384,0
93083.1,14336,0
93089.6,16384,0
94616.5,16384,0
96134.9,12288,0
96141.4,14336,0
97660.7,12288,0
99186.6,10240,2048
99187.6,10240,0
99192.1,14336,0
100712,12288,2048
100713,12288,0
100718,14336,0
102238,12288,0
102245,14336,0
103764,12288,0
103771,14336,0
105290,12288,0
105297,14336,0
106356,14336,0
106816,12288,0
106823,14336,0
106824,16384,0
108349,16384,0
109868,12288,0
109874,14336,0
111394,12288,0
112920,10240,2048
112921,10240,0
112925,14336,0
114445,12288,2048
114446,12288,0
114451,14336,0
115971,12288,0
115978,14336,0
117497,12288,0
117504,14336,0
119023,12288,0
119030,14336,0
120549,12288,0
120555,14336,0
122082,16384,0
123601,12288,0
123607,14336,0
125127,12288,0
126453,14336,0
126652,12288,2048
126653,12288,0
126658,16384,0
128178,14336,2048
128179,14336,0
129704,12288,0
131230,10240,0
132756,8192,0
134282,6144,0
134288,8192,0
135808,6144,0
135814,8192,0
137341,10240,0
138859,6144,0
138866,8192,0
140385,6144,0
140478,10240,0
141525,12288,0
141911,10240,2048
141912,10240,0
141917,14336,0
143437,12288,2048
143438,12288,0
144963,10240,0
146496,12288,0
148015,8192,0
148021,10240,0
149541,8192,0
151072,12288,0
152592,8192,4096
152593,8192,0
152598,10240,0
154118,8192,0
155644,6144,2048
155645,6144,0
155650,10240,0
157176,12288,0
157177,14336,0
158696,10240,0
158702,12288,0
160222,10240,0
161753,14336,0
161754,14336,0
163274,10240,4096
163275,10240,0
163279,12288,0
164799,10240,0
166325,8192,2048
166326,8192,0
166331,12288,0
167851,10240,2048
167852,10240,0
167857,12288,0
169385,14336,0
169386,16384,0
170903,12288,0
170909,14336,0
172429,12288,0
173960,16384,0
175481,12288,4096
175482,12288,0
175486,14336,0
177006,12288,0
178532,10240,2048
178533,10240,0
178538,14336,0
178539,14336,0
180058,12288,2048
180059,12288,0
180064,14336,0
181584,12288,0
181591,14336,0
183117,16384,0
184636,12288,0
184642,14336,0
184643,16384,0
186162,14336,0
187693,14336,0
189213,10240,4096
189214,10240,0
189219,12288,0
190739,10240,0
192265,8192,2048
192266,8192,0
192271,12288,0
193791,10240,2048
193792,10240,0
193797,12288,0
195317,10240,0
195323,12288,0
195362,16384,0
196843,14336,0
196849,16384,0
198369,14336,0
198375,16384,0
199902,16384,0
199903,16384,0
201421,12288,0
201427,14336,0
202946,12288,0
204472,10240,2048
204473,10240,0
206004,12288,0
207524,8192,0
207531,10240,0
209050,8192,0
209530,12288,0
210576,10240,2048
210577,10240,0
212102,8192,2048
212103,8192,0
212107,10240,0
213628,8192,0
213634,10240,0
215153,8192,0
215160,10240,0
216687,12288,0
216688,14336,0
218205,10240,0
218212,12288,0
219290,16384,0
219731,14336,0
221257,12288,2048
221258,12288,0
221262,16384,0
222783,14336,2048
222784,14336,0
222788,16384,0
224309,14336,0
224315,16384,0
225835,14336,0
225841,16384,0
227360,14336,0
227367,16384,0
228894,16384,0
230412,12288,0
230419,14336,0
232388,16384,0
232389,16384,0
233464,12288,0
233469,16384,0
234990,14336,2048
234991,14336,0
236516,12288,2048
236517,12288,0
236523,16384,0
236524,16384,0
238042,14336,2048
238043,14336,0
239567,12288,0
241093,10240,0
242619,8192,0
242626,10240,0
244153,12288,0
245671,8192,0
245677,10240,0
248723,6144,0
248728,10240,0
250249,8192,2048
250250,8192,0
251775,6144,2048
251776,6144,0
251782,10240,0
253300,8192,2048
253301,8192,0
253306,10240,0
254834,12288,0
256352,8192,0
256359,10240,0
258338,12288,0
259404,8192,0
259409,12288,0
259410,16384,0
260930,14336,2048
260931,14336,0
261502,16384,0
262456,14336,2048
262457,14336,0
262463,14336,0
263982,12288,2048
263983,12288,0
265507,10240,0
267041,12288,0
268559,8192,0
268566,10240,0
270579,14336,0
271611,10240,0
273137,8192,2048
273138,8192,0
274663,6144,2048
274664,6144,0
274670,10240,0
276189,8192,2048
276190,8192,0
276194,10240,0
277722,12288,0
277723,14336,0
279240,10240,0
279247,12288,0
282292,8192,0
282298,12288,0
283818,10240,2048
283819,10240,0
285344,8192,2048
285345,8192,0
285351,12288,0
286870,10240,2048
286871,10240,0
286875,12288,0
288396,10240,0
288402,12288,0
289929,14336,0
289930,16384,0
291447,12288,0
291454,14336,0
294499,10240,0
294505,14336,0
296025,12288,2048
296026,12288,0
297461,16384,0
297551,14336,2048
297552,14336,0
299077,12288,2048
299078,12288,0
299082,14336,0
300603,12288,0
300609,14336,0
302129,12288,0
302135,14336,0
303662,16384,0
305180,12288,0
305187,14336,0
305188,16384,0
308232,12288,0
308238,16384,0
309758,14336,2048
309759,14336,0
311284,12288,2048
311285,12288,0
311291,16384,0
312810,14336,2048
312811,14336,0
312815,16384,0
314336,14336,0
314342,16384,0
315861,14336,0
315868,16384,0
317387,14336,0
317394,16384,0
318921,16384,0
320439,12288,0
320446,14336,0
320447,16384,0
323491,12288,0
323496,16384,0
323497,16384,0
325017,14336,2048
325018,14336,0
326543,12288,2048
326544,12288,0
326550,16384,0
328068,14336,2048
328069,14336,0
328074,16384,0
329594,14336,0
329601,16384,0
331120,14336,0
331127,16384,0
332646,14336,0
332653,16384,0
334179,16384,0
335698,12288,0
335704,14336,0
338750,10240,0
338755,14336,0
340275,12288,2048
340276,12288,0
341801,10240,2048
341802,10240,0
341809,14336,0
341810,14336,0
343327,12288,2048
343328,12288,0
343333,14336,0
343334,16384,0
344853,14336,0
344860,16384,0
346379,14336,0
346385,16384,0
347912,16384,0
349431,12288,0
349437,14336,0
349478,16384,0
352483,12288,0
352488,16384,0
354008,14336,2048
354009,14336,0
355534,12288,2048
355535,12288,0
355542,16384,0
357060,14336,2048
357061,14336,0
357192,14336,0
358586,12288,0
360112,10240,0
361638,8192,0
361644,10240,0
363171,12288,0
364690,8192,0
364696,10240,0
367492,12288,0
367741,8192,0
369267,6144,2048
369268,6144,0
370793,4096,2048
370794,4096,0
370801,8192,0
372319,6144,2048
372320,6144,0
373845,4096,0
375378,6144,0
376897,2048,0
376903,4096,0
376921,8192,0
378422,6144,0
379948,4096,2048
379949,4096,0
380942,6144,0
383000,2048,0
383007,4096,0
384526,2048,0
386052,0,2048
386053,0,0
386057,4096,0
387583,6144,0
389109,2048,4096
389109,2048,0
389111,4096,0
389112,6144,0
390635,4096,2048
390636,4096,0
390732,8192,0
392161,6144,2048
392162,6144,0
392166,10240,0
393687,8192,2048
393688,8192,0
393691,10240,0
395219,12288,0
396738,8192,0
396744,10240,0
396745,12288,0
399790,8192,0
399795,12288,0
401316,10240,2048
401317,10240,0
402842,8192,2048
402843,8192,0
402849,12288,0
404368,10240,2048
404369,10240,0
404373,12288,0
405894,10240,0
405900,12288,0
407426,14336,0
408946,10240,0
408951,12288,0
411997,8192,0
412002,12288,0
412003,16384,0
413523,14336,2048
413524,14336,0
415049,12288,2048
415050,12288,0
415056,16384,0
416575,14336,2048
416576,14336,0
416580,16384,0
416581,16384,0
418101,14336,0
418107,16384,0
419633,16384,0
421153,12288,0
421158,14336,0
424204,10240,0
424209,14336,0
427256,10240,4096
427257,10240,0
427263,14336,0
427264,14336,0
428782,12288,2048
428783,12288,0
430308,10240,2048
430309,10240,0
430315,14336,0
431834,12288,2048
431835,12288,0
431839,14336,0
433367,16384,0
433368,16384,0
434885,12288,0
434892,14336,0
437937,10240,0
437943,14336,0
440989,10240,4096
440990,10240,0
440996,14336,0
442515,12288,2048
442516,12288,0
444041,10240,2048
444042,10240,0
444048,14336,0
445567,12288,2048
445568,12288,0
445572,14336,0
447100,16384,0
447773,16384,0
448618,12288,0
451064,14336,0
451670,10240,0
451676,14336,0
451677,14336,0
454722,10240,4096
454723,10240,0
454729,14336,0
456248,12288,2048
456249,12288,0
457774,10240,2048
457775,10240,0
457781,14336,0
459300,12288,2048
459301,12288,0
460833,14336,0
462351,10240,0
462358,12288,0
462923,16384,0
465403,12288,0
468455,8192,4096
468456,8192,0
469888,10240,0
469981,8192,2048
469982,8192,0
471507,6144,2048
471508,6144,0
471514,10240,0
474558,6144,0
474565,8192,0
476084,6144,0
477616,10240,0
479136,6144,4096
479137,6144,0
479141,8192,0
480662,6144,0
