Time,from_ingress_queue_size,to_ingress_queue_size
4473.42,1,nan
4473.5,0,0
10432.9,1,0
10433,0,0
12667.1,1,0
12667.1,0,0
21608.8,1,0
21608.8,0,0
23097.9,1,0
23097.9,0,0
25338,1,0
25338.1,0,0
26827.2,1,0
26827.2,0,0
37254,1,0
37254.1,0,0
38749.1,1,0
38749.2,0,0
39489.2,1,0
39489.2,0,0
48429.8,1,0
48429.9,0,0
49924,1,0
49924,0,0
51414.1,1,0
51414.2,0,0
60350.8,1,0
60350.9,0,0
62591,1,0
62591,0,0
64080.1,1,0
64080.1,0,0
64826.1,1,0
64826.2,0,0
75256.9,1,0
75257,0,0
77491.1,1,0
77491.2,0,0
78232.2,1,0
78232.2,0,0
78981.2,1,0
78981.3,0,0
88663,1,0
88663.1,0,0
90153.1,1,0
90153.2,0,0
91647.2,1,0
91647.3,0,0
92392.3,1,0
92392.3,0,0
93137.3,1,0
93137.4,0,0
104314,1,0
104314,0,0
106549,1,0
106549,0,0
108038,1,0
108039,0,0
108785,1,0
108785,0,0
109529,1,0
109529,0,0
110274,1,0
110274,0,0
119210,1,0
119210,0,0
120705,1,0
120706,0,0
122196,1,0
122196,0,0
122941,1,0
122941,0,0
123686,1,0
123686,0,0
124430,1,0
124430,0,0
134112,1,0
134112,0,0
134857,1,0
134857,0,0
135606,1,0
135606,0,0
136351,1,0
136351,0,0
146778,1,0
146778,0,0
147523,1,0
147523,0,0
148268,1,0
148268,0,0
149017,1,0
149017,0,0
149762,1,0
149762,0,0
160935,1,0
160935,0,0
162428,1,0
162428,0,0
163174,1,0
163174,0,0
163918,1,0
163918,0,0
164663,1,0
164663,0,0
165408,1,0
165408,0,0
173601,1,0
173601,0,0
175094,1,0
175094,0,0
175840,1,0
175840,0,0
176585,1,0
176585,0,0
177330,1,0
177330,0,0
178075,1,0
178075,0,0
179564,1,0
179564,0,0
188502,1,0
188502,0,0
190741,1,0
190741,0,0
191481,1,0
191481,0,0
192975,1,0
192975,0,0
202658,1,0
202658,0,0
204897,1,0
204897,0,0
205637,1,0
205637,0,0
207131,1,0
207131,0,0
207874,1,0
207874,0,0
216814,1,0
216814,0,0
219793,1,0
219793,0,0
220538,1,0
220538,0,0
232459,1,0
232459,0,0
233953,1,0
233953,0,0
235443,1,0
235443,0,0
246620,1,0
246620,0,0
248105,1,0
248105,0,0
249600,1,0
249600,0,0
250346,1,0
250346,0,0
258541,1,0
258541,0,0
260771,1,0
260771,0,0
261516,1,0
261517,0,0
271947,1,0
271947,0,0
272692,1,0
272692,0,0
273437,1,0
273437,0,0
284613,1,0
284613,0,0
286103,1,0
286103,0,0
286848,1,0
286849,0,0
287597,1,0
287598,0,0
301005,1,0
301005,0,0
303244,1,0
303244,0,0
312925,1,0
312926,0,0
314420,1,0
314420,0,0
316651,1,0
316651,0,0
324101,1,0
324101,0,0
334537,1,0
334537,0,0
336026,1,0
336026,0,0
343474,1,0
343474,0,0
344219,1,0
344219,0,0
352415,1,0
352415,0,0
353160,1,0
353160,0,0
