Time,from_ingress_queue_size,to_ingress_queue_size
1495.19,1,nan
1495.27,0,0
5216.48,1,0
5216.56,0,0
5964.54,1,0
5964.61,0,0
11922,1,0
11922.1,0,0
13412.1,1,0
13412.2,0,0
14160.2,1,0
14160.3,0,0
15650.3,1,0
15650.4,0,0
26078.1,1,0
26078.2,0,0
27573.2,1,0
27573.3,0,0
29061.3,1,0
29061.4,0,0
40979.3,1,0
40979.3,0,0
42472.4,1,0
42472.5,0,0
43219.4,1,0
43219.5,0,0
51415.1,1,0
51415.2,0,0
52159.1,1,0
52159.2,0,0
52903.2,1,0
52903.3,0,0
54393.3,1,0
54393.4,0,0
63336,1,0
63336.1,0,0
64080.1,1,0
64080.1,0,0
64824.1,1,0
64824.2,0,0
66314.2,1,0
66314.3,0,0
75251.9,1,0
75252,0,0
76001,1,0
76001.1,0,0
76747.1,1,0
76747.1,0,0
87921.9,1,0
87922,0,0
88668,1,0
88668.1,0,0
89411,1,0
89411.1,0,0
101333,1,0
101333,0,0
102074,1,0
102074,0,0
113254,1,0
113254,0,0
113995,1,0
113995,0,0
128155,1,0
128155,0,0
128896,1,0
128896,0,0
129646,1,0
129646,0,0
146037,1,0
146038,0,0
146783,1,0
146783,0,0
157953,1,0
157953,0,0
168388,1,0
168388,0,0
169133,1,0
169133,0,0
181055,1,0
181055,0,0
190740,1,0
190740,0,0
192229,1,0
192229,0,0
200422,1,0
200422,0,0
202661,1,0
202661,0,0
212348,1,0
212348,0,0
213092,1,0
213092,0,0
216072,1,0
216072,0,0
225758,1,0
225758,0,0
226503,1,0
226503,0,0
227992,1,0
227992,0,0
230229,1,0
230229,0,0
241404,1,0
241404,0,0
242149,1,0
242149,0,0
243638,1,0
243638,0,0
244384,1,0
244384,0,0
245128,1,0
245128,0,0
252580,1,0
252580,0,0
254069,1,0
254069,0,0
255559,1,0
255559,0,0
256305,1,0
256305,0,0
257049,1,0
257049,0,0
257794,1,0
257794,0,0
265246,1,0
265246,0,0
267481,1,0
267481,0,0
268970,1,0
268970,0,0
269717,1,0
269717,0,0
270460,1,0
270460,0,0
271205,1,0
271205,0,0
271950,1,0
271950,0,0
280892,1,0
280892,0,0
282381,1,0
282381,0,0
283126,1,0
283126,0,0
283871,1,0
283871,0,0
284616,1,0
284616,0,0
285361,1,0
285361,0,0
286106,1,0
286106,0,0
296534,1,0
296534,0,0
298028,1,0
298028,0,0
298774,1,0
298774,0,0
299519,1,0
299519,0,0
300264,1,0
300265,0,0
301010,1,0
301010,0,0
301755,1,0
301755,0,0
302498,1,0
302498,0,0
312929,1,0
312930,0,0
313675,1,0
313675,0,0
314420,1,0
314420,0,0
315164,1,0
315164,0,0
316656,1,0
316656,0,0
326341,1,0
326341,0,0
327830,1,0
327830,0,0
329320,1,0
329320,0,0
336771,1,0
336771,0,0
338260,1,0
338261,0,0
339751,1,0
339751,0,0
345712,1,0
345712,0,0
347202,1,0
347202,0,0
347947,1,0
347947,0,0
349436,1,0
349436,0,0
353163,1,0
353163,0,0
355398,1,0
355398,0,0
356143,1,0
356143,0,0
356888,1,0
356888,0,0
