Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
749.058,0,0
3728.44,10000,0
3729.44,20000,0
4473.5,10000,10000
4478.42,10000,0
5218.56,0,10000
5222.56,0,0
9687.9,10000,0
9688.9,20000,0
10433,10000,10000
10437.9,10000,0
11177,20000,0
11178,20000,10000
11182,20000,0
11923.1,10000,10000
11927.1,10000,0
12668.1,0,10000
12672.1,0,0
20863.8,10000,0
20864.8,20000,0
21608.8,10000,10000
21613.8,10000,0
22028.2,20000,0
22353.9,10000,10000
22358.8,10000,0
23098.9,0,10000
23102.9,0,0
24592.1,10000,0
25337.1,0,10000
25343,0,0
34274.8,10000,0
35019.9,0,10000
35024.8,0,0
36510,10000,0
37255.1,0,10000
37260,0,0
39494.2,10000,0
39495.2,20000,0
40239.3,10000,10000
40244.2,10000,0
40984.3,0,10000
40988.3,0,0
49179,10000,0
49180,20000,0
49924,10000,10000
49925,20000,10000
49930,20000,0
50669.1,10000,10000
50673.1,10000,0
51414.2,0,10000
51416.2,0,0
57371.6,10000,0
58116.7,0,10000
58118.6,0,0
58119.7,10000,0
58864.7,0,10000
58870.7,0,0
59605.8,10000,0
59606.8,20000,0
60350.9,10000,10000
60352.8,10000,0
61095.9,0,10000
61097.8,0,0
67805.4,10000,0
68550.5,10000,10000
68555.4,10000,0
69295.5,0,10000
69299.5,0,0
70036.6,10000,0
70781.7,0,10000
70783.6,0,0
71531.7,10000,0
71532.7,20000,0
72276.8,10000,10000
72279.7,10000,0
73021.8,0,10000
73023.8,0,0
83452.7,10000,0
84197.7,0,10000
84202.6,0,0
85687.8,10000,0
86432.9,0,10000
86437.8,0,0
87172.9,10000,0
87918,0,10000
87918.9,0,0
96118.6,10000,0
96862.7,20000,0
96863.7,20000,10000
96867.7,20000,0
97608.8,10000,10000
97612.8,10000,0
98348.8,20000,0
98353.8,10000,10000
98354.8,10000,0
99098.9,0,10000
99102.9,0,0
108039,10000,0
108784,0,10000
108785,10000,10000
108790,10000,0
109530,0,10000
109534,0,0
110270,10000,0
110271,20000,0
111015,10000,10000
111019,10000,0
111020,20000,0
111760,10000,10000
111764,10000,0
112505,0,10000
112509,0,0
120705,10000,0
121450,0,10000
121454,0,0
122941,10000,0
123686,10000,10000
123691,10000,0
124431,0,10000
124435,0,0
134113,10000,0
134858,10000,10000
134863,10000,0
135602,20000,0
135603,20000,10000
135607,20000,0
136348,10000,10000
136352,10000,0
137093,0,10000
137097,0,0
146782,10000,0
147524,20000,0
147527,10000,10000
147531,10000,0
148268,20000,0
148272,10000,10000
148276,10000,0
149017,0,10000
149021,0,0
149758,10000,0
149759,20000,0
150503,10000,10000
150505,10000,0
151248,0,10000
151252,0,0
160938,10000,0
161683,0,10000
161687,0,0
163919,10000,0
164662,20000,0
164664,10000,10000
164668,10000,0
165409,0,10000
165413,0,0
174349,10000,0
175094,0,10000
175098,0,0
176583,10000,0
177328,10000,10000
177333,10000,0
178073,0,10000
178077,0,0
189251,10000,0
189994,20000,0
189996,10000,10000
190000,10000,0
190741,0,10000
190745,0,0
199680,10000,0
200425,10000,10000
200426,20000,10000
200430,20000,0
201170,10000,10000
201174,10000,0
201915,0,10000
201917,0,0
210856,10000,0
211601,10000,10000
211606,10000,0
212346,0,10000
212350,0,0
213088,10000,0
213089,20000,0
213833,10000,10000
213837,10000,0
214578,0,10000
214582,0,0
224267,10000,0
225012,10000,10000
225017,10000,0
225754,20000,0
225757,10000,10000
225761,10000,0
226499,20000,0
226502,10000,10000
226506,10000,0
227247,0,10000
227251,0,0
236933,10000,0
236934,20000,0
237678,20000,10000
237683,20000,0
238420,30000,0
238423,20000,10000
238427,20000,0
239165,30000,0
239168,20000,10000
239172,20000,0
239913,10000,10000
239917,10000,0
240658,0,10000
240660,0,0
252579,10000,0
253324,0,10000
253329,0,0
254816,10000,0
255561,0,10000
255566,0,0
256301,10000,0
257046,0,10000
257048,0,0
269715,10000,0
270460,10000,10000
270465,10000,0
271205,0,10000
271209,0,0
271947,10000,0
271948,20000,0
272692,10000,10000
272694,10000,0
273437,0,10000
273441,0,0
280891,10000,0
281636,10000,10000
281641,10000,0
282381,0,10000
282385,0,0
283123,10000,0
283868,0,10000
283870,0,0
293557,10000,0
293558,20000,0
294302,10000,10000
294303,10000,0
295047,0,10000
295048,0,0
295049,10000,0
295794,0,10000
295798,0,0
306225,10000,0
306970,10000,10000
306975,10000,0
307715,0,10000
307719,0,0
308455,10000,0
308456,20000,0
309200,10000,10000
309204,10000,0
309945,0,10000
309949,0,0
317397,10000,0
318142,0,10000
318144,0,0
318145,10000,0
318890,0,10000
318891,10000,10000
318896,10000,0
319631,20000,0
319632,30000,0
319636,20000,10000
319640,20000,0
320381,10000,10000
320385,10000,0
321126,0,10000
321127,0,0
330067,10000,0
330811,20000,0
330812,10000,10000
330816,10000,0
331552,20000,0
331557,10000,10000
331561,10000,0
332297,20000,0
332302,10000,10000
332306,10000,0
333047,0,10000
333051,0,0
