Time,from_ingress_queue_size,to_ingress_queue_size
4473.42,1,nan
4473.5,0,0
10432.9,1,0
10433,0,0
12667.1,1,0
12667.1,0,0
21608.8,1,0
21608.8,0,0
23097.9,1,0
23097.9,0,0
25338,1,0
25338.1,0,0
26828.2,1,0
26828.2,0,0
35763.9,1,0
35763.9,0,0
37258,1,0
37258.1,0,0
38749.1,1,0
38749.2,0,0
40239.2,1,0
40239.3,0,0
46939.7,1,0
46939.8,0,0
55880.4,1,0
55880.5,0,0
57374.5,1,0
57374.6,0,0
67801.4,1,0
67801.4,0,0
69295.5,1,0
69295.5,0,0
78237.2,1,0
78237.2,0,0
78977.2,1,0
78977.3,0,0
80471.3,1,0
80471.4,0,0
89409,1,0
89409.1,0,0
90153.1,1,0
90153.2,0,0
91647.2,1,0
91647.3,0,0
92388.3,1,0
92388.3,0,0
102820,1,0
102820,0,0
103564,1,0
103564,0,0
105058,1,0
105058,0,0
106548,1,0
106548,0,0
107294,1,0
107295,0,0
119956,1,0
119956,0,0
120700,1,0
120701,0,0
122196,1,0
122196,0,0
124430,1,0
124430,0,0
134857,1,0
134857,0,0
136347,1,0
136347,0,0
137841,1,0
137841,0,0
147528,1,0
147528,0,0
149758,1,0
149758,0,0
151253,1,0
151253,0,0
151998,1,0
151998,0,0
160190,1,0
160190,0,0
163169,1,0
163169,0,0
163914,1,0
163914,0,0
173601,1,0
173601,0,0
177325,1,0
177325,0,0
178815,1,0
178815,0,0
188506,1,0
188506,0,0
189995,1,0
189995,0,0
193721,1,0
193721,0,0
195211,1,0
195211,0,0
201169,1,0
201169,0,0
206382,1,0
206382,0,0
213090,1,0
213090,0,0
213835,1,0
213835,0,0
219793,1,0
219793,0,0
228736,1,0
228736,0,0
229481,1,0
229481,0,0
236189,1,0
236190,0,0
237680,1,0
237680,0,0
245127,1,0
245127,0,0
250342,1,0
250342,0,0
251836,1,0
251836,0,0
258541,1,0
258541,0,0
265988,1,0
265988,0,0
271204,1,0
271204,0,0
280146,1,0
280146,0,0
280890,1,0
280890,0,0
292067,1,0
292067,0,0
292811,1,0
292811,0,0
305480,1,0
305480,0,0
306969,1,0
306969,0,0
318144,1,0
318144,0,0
320378,1,0
320378,0,0
330810,1,0
330810,0,0
333047,1,0
333047,0,0
333792,1,0
333792,0,0
346456,1,0
346456,0,0
347203,1,0
347203,0,0
347947,1,0
347947,0,0
348692,1,0
348692,0,0
357634,1,0
357634,0,0
358379,1,0
358379,0,0
362102,1,0
362102,0,0
362847,1,0
362847,0,0
363593,1,0
363593,0,0
366573,1,0
366573,0,0
367320,1,0
367320,0,0
368064,1,0
368064,0,0
368809,1,0
368809,0,0
371044,1,0
371044,0,0
371790,1,0
371790,0,0
372534,1,0
372534,0,0
373279,1,0
373279,0,0
374024,1,0
374024,0,0
374769,1,0
374769,0,0
375514,1,0
375514,0,0
376259,1,0
376259,0,0
377004,1,0
377005,0,0
377750,1,0
377750,0,0
378496,1,0
378496,0,0
379241,1,0
379241,0,0
379986,1,0
379986,0,0
