Time,from_ingress_queue_size,to_ingress_queue_size
3052.76,4096,nan
6104.52,0,4096
6105.52,0,0
9161.76,4096,0
12213.5,4096,4096
12214.5,4096,0
15265.3,0,4096
15266.3,0,0
15269.8,4096,0
18321.5,4096,4096
18322,4096,0
21373.3,4096,4096
21373.8,4096,0
24425,4096,4096
24425.6,4096,0
27476.8,4096,4096
27477.3,4096,0
30528.6,4096,4096
30529.1,4096,0
33580.3,4096,4096
33580.8,4096,0
36632.1,4096,4096
36632.6,4096,0
39683.8,4096,4096
39684.3,4096,0
42735.6,4096,4096
42736.1,4096,0
45787.3,4096,4096
45787.9,4096,0
48839.1,4096,4096
48839.6,4096,0
51890.9,4096,4096
51891.4,4096,0
54942.6,4096,4096
54943.1,4096,0
57994.4,4096,4096
57994.9,4096,0
61046.1,4096,4096
61046.6,4096,0
64097.9,4096,4096
64098.4,4096,0
67149.7,4096,4096
67150.2,4096,0
70201.4,4096,4096
70201.9,4096,0
73253.2,4096,4096
73253.7,4096,0
76304.9,4096,4096
76305.4,4096,0
79356.7,4096,4096
79357.2,4096,0
82408.4,4096,4096
82409,4096,0
85460.2,4096,4096
85460.7,4096,0
88512,4096,4096
88512.5,4096,0
91563.7,4096,4096
91564.2,4096,0
94615.5,4096,4096
94616,4096,0
97667.2,4096,4096
97667.7,4096,0
100719,4096,4096
100719,4096,0
103771,4096,4096
103771,4096,0
106823,4096,4096
106823,4096,0
109874,4096,4096
109875,4096,0
112926,4096,4096
112927,4096,0
115978,4096,4096
115978,4096,0
119030,4096,4096
119030,4096,0
122081,4096,4096
122082,4096,0
125133,4096,4096
125134,4096,0
128185,4096,4096
128185,4096,0
131237,4096,4096
131237,4096,0
134288,4096,4096
134289,4096,0
137340,4096,4096
137341,4096,0
140392,4096,4096
140392,4096,0
143444,4096,4096
143444,4096,0
146495,4096,4096
146496,4096,0
149547,4096,4096
149548,4096,0
152599,4096,4096
152599,4096,0
155651,4096,4096
155651,4096,0
158702,4096,4096
158703,4096,0
161754,4096,4096
161755,4096,0
164806,4096,4096
164806,4096,0
167858,4096,4096
167858,4096,0
170909,4096,4096
170910,4096,0
173961,4096,4096
173962,4096,0
177013,4096,4096
177013,4096,0
180065,4096,4096
180065,4096,0
183116,4096,4096
183117,4096,0
186168,4096,4096
186169,4096,0
189220,4096,4096
