Time,from_ingress_queue_size,to_ingress_queue_size
366,1,nan
367,0,0
966,1,0
967,0,0
1366,1,0
1367,0,0
1846,1,0
1847,0,0
2566,1,0
2567,0,0
3046,1,0
3047,0,0
3766,1,0
3767,0,0
4245,1,0
4246,0,0
4846,1,0
4847,0,0
5566,1,0
5567,0,0
6161,1,0
6162,0,0
6641,1,0
6642,0,0
7366,1,0
7367,0,0
7966,1,0
7967,0,0
8566,1,0
8567,0,0
9046,1,0
9047,0,0
9766,1,0
9767,0,0
10366,1,0
10367,0,0
10846,1,0
10847,0,0
11566,1,0
11567,0,0
12161,1,0
12162,0,0
12766,1,0
12767,0,0
13246,1,0
13247,0,0
13966,1,0
13967,0,0
14566,1,0
14567,0,0
15046,1,0
15047,0,0
15766,1,0
15767,0,0
16245,1,0
16246,0,0
16966,1,0
16967,0,0
17446,1,0
17447,0,0
18165,1,0
18166,0,0
18645,1,0
18646,0,0
19246,1,0
19247,0,0
19846,1,0
19847,0,0
20446,1,0
20447,0,0
20806,1,0
20807,0,0
21286,1,0
21287,0,0
21886,1,0
21887,0,0
22366,1,0
22367,0,0
22846,1,0
22847,0,0
23566,1,0
23567,0,0
23926,1,0
23927,0,0
24526,1,0
24527,0,0
25006,1,0
25007,0,0
25486,1,0
25487,0,0
26201,1,0
26202,0,0
26566,1,0
26567,0,0
27161,1,0
27162,0,0
27641,1,0
27642,0,0
28366,1,0
28367,0,0
28846,1,0
28847,0,0
29926,1,0
29927,0,0
30286,1,0
30287,0,0
30886,1,0
30887,0,0
31366,1,0
31367,0,0
31846,1,0
31847,0,0
32326,1,0
32327,0,0
33286,1,0
33287,0,0
33766,1,0
33767,0,0
34125,1,0
34126,0,0
34721,1,0
34722,0,0
35326,1,0
35327,0,0
35806,1,0
35807,0,0
36286,1,0
36287,0,0
36886,1,0
36887,0,0
37366,1,0
37367,0,0
38086,1,0
38087,0,0
38566,1,0
38567,0,0
38926,1,0
38927,0,0
39645,1,0
39646,0,0
40006,1,0
40007,0,0
40606,1,0
40607,0,0
41086,1,0
41087,0,0
42046,1,0
42047,0,0
42526,1,0
42527,0,0
43486,1,0
43487,0,0
43966,1,0
43967,0,0
44446,1,0
44447,0,0
44926,1,0
44927,0,0
46006,1,0
46007,0,0
46366,1,0
46367,0,0
46846,1,0
46847,0,0
47446,1,0
47447,0,0
47806,1,0
47807,0,0
48286,1,0
48287,0,0
49725,1,0
49726,0,0
