Time,from_ingress_queue_size,to_ingress_queue_size
7631.39,1024,nan
15260.8,0,nan
15261.8,0,0
15262.8,1024,0
22890.2,2048,0
22892.2,1024,0
22893.2,1024,0
30519.6,2048,0
30521.6,1024,0
30522.6,1024,0
38149,2048,0
38151,1024,0
38152,1024,0
45778.4,2048,0
45780.4,1024,0
45781.4,1024,0
53407.8,2048,0
53409.8,1024,0
53410.8,1024,0
61037.2,2048,0
61039.2,1024,0
61040.2,1024,0
68666.6,2048,0
68668.6,1024,0
68669.6,1024,0
76295.9,2048,0
76297.9,1024,0
76298.9,1024,0
83925.3,2048,0
83927.3,1024,0
83928.3,1024,0
91554.7,2048,0
91556.7,1024,0
91557.7,1024,0
99184.1,2048,0
99186.1,1024,0
99187.1,1024,0
