Time,from_ingress_queue_size,to_ingress_queue_size
964.125,1,nan
971.575,0,nan
972.575,0,0
2167.12,1,0
2174.58,0,0
2175.58,0,0
2766.12,1,0
2773.58,0,0
2774.58,0,0
3365.12,1,0
3372.58,0,0
3373.58,0,0
3966.12,1,0
3973.58,0,0
3974.58,0,0
4567.12,1,0
4574.58,0,0
4575.58,0,0
5166.12,1,0
5173.58,0,0
5174.58,0,0
5764.12,1,0
5771.58,0,0
5772.58,0,0
6366.12,1,0
6373.58,0,0
6374.58,0,0
6967.12,1,0
6974.58,0,0
6975.58,0,0
7566.12,1,0
7573.58,0,0
7574.58,0,0
8165.12,1,0
8172.58,0,0
8173.58,0,0
8767.12,1,0
8774.58,0,0
8775.58,0,0
9366.12,1,0
9373.58,0,0
9374.58,0,0
9967.12,1,0
9974.58,0,0
9975.58,0,0
10567.1,1,0
10574.6,0,0
10575.6,0,0
11166.1,1,0
11173.6,0,0
11174.6,0,0
11767.1,1,0
11774.6,0,0
11775.6,0,0
12366.1,1,0
12373.6,0,0
12374.6,0,0
12965.1,1,0
12972.6,0,0
12973.6,0,0
13567.1,1,0
13574.6,0,0
13575.6,0,0
14166.1,1,0
14173.6,0,0
14174.6,0,0
14767.1,1,0
14774.6,0,0
14775.6,0,0
15367.1,1,0
15374.6,0,0
15375.6,0,0
15966.1,1,0
15973.6,0,0
15974.6,0,0
16567.1,1,0
16574.6,0,0
16575.6,0,0
17166.1,1,0
17173.6,0,0
17174.6,0,0
17765.1,1,0
17772.6,0,0
17773.6,0,0
18367.1,1,0
18374.6,0,0
18375.6,0,0
18966.1,1,0
18973.6,0,0
18974.6,0,0
19567.1,1,0
19574.6,0,0
19575.6,0,0
20167.1,1,0
20174.6,0,0
20175.6,0,0
20766.1,1,0
20773.6,0,0
20774.6,0,0
21367.1,1,0
21374.6,0,0
21375.6,0,0
21966.1,1,0
21973.6,0,0
21974.6,0,0
22565.1,1,0
22572.6,0,0
22573.6,0,0
23167.1,1,0
23174.6,0,0
23175.6,0,0
23766.1,1,0
23773.6,0,0
23774.6,0,0
24368.1,1,0
24375.6,0,0
24376.6,0,0
24967.1,1,0
24974.6,0,0
24975.6,0,0
25566.1,1,0
25573.6,0,0
25574.6,0,0
26167.1,1,0
26174.6,0,0
26175.6,0,0
26767.1,1,0
26774.6,0,0
26775.6,0,0
27366.1,1,0
27373.6,0,0
27374.6,0,0
27967.1,1,0
27974.6,0,0
27975.6,0,0
28566.1,1,0
28573.6,0,0
28574.6,0,0
29165.1,1,0
29172.6,0,0
29173.6,0,0
29767.1,1,0
29774.6,0,0
29775.6,0,0
30366.1,1,0
30373.6,0,0
30374.6,0,0
30967.1,1,0
30974.6,0,0
30975.6,0,0
31567.1,1,0
31574.6,0,0
31575.6,0,0
32166.1,1,0
32173.6,0,0
32174.6,0,0
32767.1,1,0
32774.6,0,0
32775.6,0,0
33366.1,1,0
33373.6,0,0
33374.6,0,0
33965.1,1,0
33972.6,0,0
33973.6,0,0
34567.1,1,0
34574.6,0,0
34575.6,0,0
35166.1,1,0
35173.6,0,0
35174.6,0,0
35767.1,1,0
35774.6,0,0
35775.6,0,0
36367.1,1,0
36374.6,0,0
36375.6,0,0
36966.1,1,0
36973.6,0,0
36974.6,0,0
37567.1,1,0
37574.6,0,0
37575.6,0,0
38166.1,1,0
38173.6,0,0
38174.6,0,0
38765.1,1,0
38772.6,0,0
38773.6,0,0
39367.1,1,0
39374.6,0,0
39375.6,0,0
39966.1,1,0
39973.6,0,0
39974.6,0,0
40567.1,1,0
40574.6,0,0
40575.6,0,0
41167.1,1,0
41174.6,0,0
41175.6,0,0
41766.1,1,0
41773.6,0,0
41774.6,0,0
42367.1,1,0
42374.6,0,0
42375.6,0,0
42967.1,1,0
42974.6,0,0
42975.6,0,0
43566.1,1,0
43573.6,0,0
43574.6,0,0
44167.1,1,0
44174.6,0,0
44175.6,0,0
44766.1,1,0
44773.6,0,0
44774.6,0,0
45365.1,1,0
45372.6,0,0
45373.6,0,0
45967.1,1,0
45974.6,0,0
45975.6,0,0
46566.1,1,0
46573.6,0,0
46574.6,0,0
47167.1,1,0
47174.6,0,0
47175.6,0,0
47767.1,1,0
47774.6,0,0
47775.6,0,0
48366.1,1,0
48373.6,0,0
48374.6,0,0
48967.1,1,0
48974.6,0,0
48975.6,0,0
49566.1,1,0
49573.6,0,0
49574.6,0,0
50165.1,1,0
50172.6,0,0
50173.6,0,0
50767.1,1,0
50774.6,0,0
50775.6,0,0
51366.1,1,0
51373.6,0,0
51374.6,0,0
51967.1,1,0
51974.6,0,0
51975.6,0,0
52567.1,1,0
52574.6,0,0
52575.6,0,0
53166.1,1,0
53173.6,0,0
53174.6,0,0
53767.1,1,0
53774.6,0,0
53775.6,0,0
54366.1,1,0
54373.6,0,0
54374.6,0,0
54965.1,1,0
54972.6,0,0
54973.6,0,0
55567.1,1,0
55574.6,0,0
55575.6,0,0
56166.1,1,0
56173.6,0,0
56174.6,0,0
56767.1,1,0
56774.6,0,0
56775.6,0,0
57367.1,1,0
57374.6,0,0
57375.6,0,0
57966.1,1,0
57973.6,0,0
57974.6,0,0
58567.1,1,0
58574.6,0,0
58575.6,0,0
59165.1,1,0
59172.6,0,0
59173.6,0,0
59765.1,1,0
59772.6,0,0
59773.6,0,0
60367.1,1,0
60374.6,0,0
60375.6,0,0
60966.1,1,0
60973.6,0,0
60974.6,0,0
