Time,from_ingress_queue_size,to_ingress_queue_size
381.47,256,nan
572.205,0,0
956.674,512,0
1147.41,768,0
1338.14,512,512
1341.14,512,0
1528.88,256,256
1531.88,256,0
1719.61,0,256
1722.61,0,0
2109.57,512,0
2491.04,0,512
2492.04,512,512
2494.04,512,0
2681.78,768,0
2873.51,512,512
2876.51,512,0
3063.25,768,0
3064.25,512,256
3067.25,512,0
3254.98,512,256
3257.98,512,0
3445.72,256,256
3448.72,256,0
3636.45,512,256
3639.45,512,0
4017.92,512,512
4020.92,512,0
4398.39,1024,0
4399.39,512,512
4402.39,512,0
4779.86,1024,0
4780.86,512,512
4783.86,512,0
4970.6,768,0
5162.33,512,512
5165.33,512,0
5352.07,768,0
5353.07,512,256
5356.07,512,0
5543.8,512,256
5546.8,512,0
5734.54,512,256
5737.54,512,0
5925.27,512,256
5928.27,512,0
6116.01,512,256
6119.01,512,0
6306.74,512,256
6309.74,512,0
6497.48,256,256
6500.48,256,0
6688.21,512,256
6691.21,512,0
7069.68,512,512
7072.68,512,0
7450.15,1024,0
7451.15,512,512
7454.15,512,0
7831.62,1024,0
7832.62,512,512
7835.62,512,0
8213.09,1024,0
8214.09,512,512
8217.09,512,0
8594.56,1024,0
8595.56,512,512
8598.56,512,0
8976.03,1024,0
8977.03,512,512
8980.03,512,0
9357.5,1024,0
9358.5,512,512
9361.5,512,0
9548.23,768,0
9739.97,512,512
9742.97,512,0
9929.7,768,0
9930.7,512,256
9933.7,512,0
10121.4,512,256
10124.4,512,0
10312.2,512,256
10315.2,512,0
10502.9,512,256
10505.9,512,0
10693.6,512,256
10696.6,512,0
10884.4,512,256
10887.4,512,0
11075.1,256,256
11078.1,256,0
11265.8,512,256
11268.8,512,0
11647.3,512,512
11650.3,512,0
12027.8,1024,0
12028.8,512,512
12031.8,512,0
12409.3,1024,0
12410.3,512,512
12413.3,512,0
12790.7,1024,0
12791.7,512,512
12794.7,512,0
13172.2,1024,0
13173.2,512,512
13176.2,512,0
13553.7,1024,0
13554.7,512,512
13557.7,512,0
13935.1,1024,0
13936.1,512,512
13939.1,512,0
14125.9,768,0
14317.6,512,512
14320.6,512,0
14507.3,768,0
14508.3,512,256
14511.3,512,0
14699.1,512,256
14702.1,512,0
14889.8,512,256
14892.8,512,0
15080.5,512,256
15083.5,512,0
15271.3,256,256
15274.3,256,0
15462,512,256
15465,512,0
15843.5,512,512
15846.5,512,0
16224,1024,0
16225,512,512
16228,512,0
16414.7,768,0
16606.4,256,512
16609.4,256,0
16797.2,0,256
16800.2,0,0
17377.6,512,0
17569.3,768,0
17759.1,256,512
17760.1,512,512
17762.1,512,0
17949.8,256,256
17952.8,256,0
18140.5,0,256
18143.5,0,0
18530.5,512,0
18912,0,512
18913,512,512
18915,512,0
19102.7,768,0
19294.4,512,512
19297.4,512,0
19484.2,768,0
19485.2,512,256
19488.2,512,0
19675.9,512,256
19678.9,512,0
19866.6,256,256
19869.6,256,0
20057.4,512,256
20060.4,512,0
20438.8,512,512
20441.8,512,0
20819.3,1024,0
20820.3,512,512
20823.3,512,0
21200.8,1024,0
21201.8,512,512
21204.8,512,0
21391.5,768,0
21583.3,512,512
21586.3,512,0
21773,768,0
21774,512,256
21777,512,0
21964.7,512,256
21967.7,512,0
22155.5,512,256
22158.5,512,0
22346.2,256,256
22349.2,256,0
22536.9,512,256
22539.9,512,0
22918.4,512,512
22921.4,512,0
23298.9,1024,0
23299.9,512,512
23302.9,512,0
23680.3,1024,0
23681.3,512,512
23684.3,512,0
24061.8,1024,0
24062.8,512,512
24065.8,512,0
24252.5,768,0
24444.3,512,512
24447.3,512,0
24634,768,0
24635,512,256
24638,512,0
24825.7,512,256
24828.7,512,0
25016.5,512,256
25019.5,512,0
25207.2,512,256
25210.2,512,0
25398,256,256
25401,256,0
25588.7,512,256
25591.7,512,0
25970.2,512,512
25973.2,512,0
26350.6,1024,0
26351.6,512,512
26354.6,512,0
26732.1,1024,0
26733.1,512,512
26736.1,512,0
27113.6,1024,0
27114.6,512,512
27117.6,512,0
27495,1024,0
