Time,from_ingress_queue_size,to_ingress_queue_size
1525.88,2048,nan
3051.76,0,0
4582.13,2048,0
6108.01,2048,0
7633.88,0,0
7639.37,2048,0
9165.25,2048,2048
9166.25,2048,0
10691.1,2048,2048
10692.1,2048,0
12217,2048,2048
12218,2048,0
13742.9,2048,2048
13743.9,2048,0
15268.8,2048,2048
15269.8,2048,0
16794.6,2048,2048
16795.6,2048,0
18320.5,2048,0
19846.4,2048,0
21372.3,2048,0
22898.2,0,0
24429.5,2048,0
25955.4,0,0
27486.8,2048,0
29012.7,0,0
30544,2048,0
32069.9,0,0
33601.3,2048,0
35127.2,0,0
36658.5,2048,0
38184.4,0,0
39715.8,2048,0
41241.7,0,2048
41241.9,0,0
42774.3,2048,0
44300.2,0,0
45831.5,2048,0
47357.4,0,0
48888.8,2048,0
50414.7,2048,0
51940.5,0,0
51946,2048,0
53471.9,2048,0
54997.8,0,0
55002.3,2048,0
56528.1,2048,2048
56529.4,2048,0
58054,2048,2048
58055.3,2048,0
59579.9,2048,2048
59581.2,2048,0
61105.8,2048,2048
61107,2048,0
62631.7,2048,2048
62632.9,2048,0
64157.5,2048,2048
64158.8,2048,0
65683.4,0,2048
65684.7,0,0
67217,2048,0
68742.9,0,0
70274.3,2048,0
71800.2,0,0
73331.5,2048,0
74857.4,0,0
76387.8,2048,0
77913.7,2048,0
79439.5,0,2048
79441.5,0,0
79444,2048,0
80969.9,0,2048
80972.2,0,0
80974.9,2048,0
82500.8,0,0
82504.5,2048,0
84030.4,2048,0
85556.3,2048,0
87082.2,2048,0
88608.1,2048,0
90133.9,2048,0
91659.8,2048,0
93185.7,0,0
94717.1,2048,0
96242.9,0,0
97774.3,2048,0
99300.2,0,0
