Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1040000, 1000000, 0, 40000, 4, 26.2622, 25.2521, 295048

conn2_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 19.9224, 19.3421, 385200

conn3_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 21.4134, 20.7897, 358378

conn4_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 19.961, 19.3796, 384455

conn5_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.3959, 19.8018, 376257
