Time,from_ingress_queue_size,to_ingress_queue_size
1935.19,1,nan
1935.27,0,0
5659.48,1,0
5659.56,0,0
8642.71,1,0
8642.79,0,0
15348.7,1,0
15348.7,0,0
16839.4,1,0
16839.4,0,0
17584.4,1,0
17584.5,0,0
19819.6,1,0
19819.7,0,0
20564.6,1,0
20564.7,0,0
28758.3,1,0
28758.4,0,0
32481.6,1,0
32481.6,0,0
40678.2,1,0
40678.3,0,0
42913.4,1,0
42913.5,0,0
52598.1,1,0
52598.2,0,0
54832.3,1,0
54832.4,0,0
63774,1,0
63774.1,0,0
65263.1,1,0
65263.2,0,0
66758.2,1,0
66758.3,0,0
77189.1,1,0
77189.1,0,0
79421.2,1,0
79421.3,0,0
87616.9,1,0
87616.9,0,0
90599.1,1,0
90599.2,0,0
98791.7,1,0
98791.8,0,0
100286,1,0
100286,0,0
103263,1,0
103263,0,0
109223,1,0
109223,0,0
110712,1,0
110712,0,0
112207,1,0
112207,0,0
115187,1,0
115187,0,0
121143,1,0
121144,0,0
122633,1,0
122633,0,0
124125,1,0
124125,0,0
125618,1,0
125618,0,0
127103,1,0
127103,0,0
133809,1,0
133810,0,0
135300,1,0
135300,0,0
136794,1,0
136794,0,0
138284,1,0
138284,0,0
139026,1,0
139026,0,0
139774,1,0
139774,0,0
145730,1,0
145730,0,0
149457,1,0
149457,0,0
150202,1,0
150202,0,0
150945,1,0
150945,0,0
156161,1,0
156161,0,0
159886,1,0
159887,0,0
160633,1,0
160633,0,0
161376,1,0
161376,0,0
162871,1,0
162871,0,0
168082,1,0
168082,0,0
173299,1,0
173299,0,0
174044,1,0
174044,0,0
180003,1,0
180003,0,0
185965,1,0
185965,0,0
186710,1,0
186710,0,0
192669,1,0
192669,0,0
198631,1,0
198631,0,0
199376,1,0
199376,0,0
200864,1,0
200864,0,0
207570,1,0
207570,0,0
212042,1,0
212042,0,0
213530,1,0
213530,0,0
214277,1,0
214277,0,0
215022,1,0
215022,0,0
223216,1,0
223217,0,0
225456,1,0
225456,0,0
226946,1,0
226946,0,0
228433,1,0
228433,0,0
229178,1,0
229178,0,0
230666,1,0
230666,0,0
241099,1,0
241099,0,0
241844,1,0
241844,0,0
243332,1,0
243332,0,0
244827,1,0
244827,0,0
252275,1,0
252275,0,0
253763,1,0
253763,0,0
263451,1,0
263451,0,0
264939,1,0
264939,0,0
266434,1,0
266434,0,0
277607,1,0
277607,0,0
279097,1,0
279097,0,0
280590,1,0
280590,0,0
291763,1,0
291763,0,0
293251,1,0
293251,0,0
304429,1,0
304429,0,0
305917,1,0
305917,0,0
314860,1,0
314860,0,0
316350,1,0
316350,0,0
317096,1,0
317096,0,0
327529,1,0
327529,0,0
328272,1,0
328272,0,0
334234,1,0
334234,0,0
340193,1,0
340193,0,0
341680,1,0
341680,0,0
347643,1,0
347643,0,0
349130,1,0
349130,0,0
355839,1,0
355839,0,0
357326,1,0
357326,0,0
358075,1,0
358075,0,0
366270,1,0
366270,0,0
367757,1,0
367757,0,0
368506,1,0
368506,0,0
369252,1,0
369252,0,0
378936,1,0
378936,0,0
380428,1,0
380428,0,0
