Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.2355, 19.6461, 379240

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9237, 19.3434, 385174

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 23.1203, 22.4468, 331921

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 23.8042, 23.1109, 322384

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.3917, 19.6074, 379989
