Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.6678, 20.0659, 371306

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.3886, 19.7947, 376393

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.9559, 20.3455, 366203

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 23.8526, 22.9352, 324853

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9376, 19.3569, 384906
