Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
746.058,0,0
1495.27,10000,0
1496.27,20000,0
2240.32,10000,10000
2243.25,10000,0
2985.38,0,10000
2986.38,0,0
4485.8,10000,0
4486.8,20000,0
5216.56,30000,0
5230.85,20000,10000
5232.85,20000,0
5964.61,30000,0
5975.91,20000,0
6720.97,10000,10000
6721.97,10000,0
7466.03,0,10000
7470.03,0,0
13079.5,10000,0
13824.6,0,0
14160.3,10000,0
14905.3,0,10000
14908.2,0,0
15650.4,10000,0
16395.4,0,10000
16396.4,0,0
27573.3,10000,0
28318.4,0,10000
28319.4,0,0
40979.3,10000,0
40980.3,20000,0
41724.4,10000,10000
41725.3,10000,0
42469.5,0,10000
42470.4,0,0
48433.9,10000,0
49179,0,10000
49180,10000,10000
49181.9,10000,0
49925,0,10000
49926,0,0
58864.7,10000,0
58865.7,20000,0
59609.8,20000,10000
59611.7,20000,0
60354.9,10000,10000
60355.9,10000,0
61099.9,0,10000
61100.8,0,0
72271.8,10000,0
73016.8,0,10000
73020.8,10000,10000
73021.8,20000,10000
73022.8,20000,0
73764.9,30000,0
73765.9,20000,10000
73766.9,20000,0
74511,10000,10000
74512,10000,0
75256,0,10000
75257,0,0
86432.9,10000,0
87177.9,10000,10000
87179.9,10000,0
87921,20000,0
87923,10000,10000
87924,10000,0
88666.1,20000,0
88667.1,30000,0
88668.1,20000,10000
88669.1,20000,0
89413.1,10000,10000
89414.1,10000,0
90158.2,0,10000
90164.1,0,0
101334,10000,0
102074,20000,0
102079,10000,10000
102080,10000,0
102822,20000,0
102824,10000,10000
102825,10000,0
103567,20000,0
103569,10000,10000
103570,10000,0
104314,0,10000
104315,0,0
105057,10000,0
105058,20000,0
105802,10000,10000
105803,10000,0
106547,0,10000
106549,0,0
115489,10000,0
116234,0,10000
116235,10000,10000
116237,10000,0
116978,20000,0
116980,10000,10000
116981,10000,0
117725,0,10000
117726,0,0
127411,10000,0
127412,20000,0
128155,30000,0
128156,20000,10000
128157,20000,0
128899,30000,0
128901,20000,10000
128902,20000,0
129646,10000,10000
129647,10000,0
130391,0,10000
130397,0,0
137841,10000,0
138586,10000,10000
138588,10000,0
139331,10000,10000
139332,20000,10000
139333,20000,0
140076,10000,10000
140077,10000,0
140820,20000,0
140821,10000,10000
140822,10000,0
141566,0,10000
141567,0,0
150508,10000,0
151253,0,10000
151254,0,0
151996,10000,0
152741,0,10000
152742,10000,10000
152744,10000,0
153486,20000,0
153487,20000,10000
153488,20000,0
154232,10000,10000
154233,10000,0
154977,0,10000
154978,0,0
166153,10000,0
166898,0,10000
166899,10000,10000
166900,20000,10000
166901,20000,0
167642,30000,0
167644,20000,10000
167645,20000,0
168389,10000,10000
168390,10000,0
169134,0,10000
169140,0,0
178819,10000,0
179564,10000,10000
179566,10000,0
180309,10000,10000
180311,10000,0
181054,0,10000
181055,0,0
189996,10000,0
189997,20000,0
190740,30000,0
190741,20000,10000
190742,20000,0
191486,10000,10000
191487,10000,0
192231,0,10000
192237,0,0
201171,10000,0
201916,0,10000
201918,0,0
203407,10000,0
204152,0,10000
204153,0,0
215327,10000,0
216072,0,10000
216074,0,0
216817,10000,0
217562,0,10000
217563,0,0
227993,10000,0
227994,20000,0
228738,10000,10000
228740,10000,0
229483,0,10000
229484,0,0
230227,10000,0
230972,0,10000
230973,0,0
242149,10000,0
242894,0,10000
242896,0,0
243638,10000,0
243639,20000,0
244383,10000,10000
244387,10000,0
245128,10000,10000
245130,10000,0
245873,0,10000
245874,0,0
258540,10000,0
259285,10000,10000
259287,10000,0
260030,10000,10000
260032,10000,0
260775,0,10000
260776,0,0
261520,10000,0
261521,20000,0
262265,10000,10000
262269,10000,0
263010,0,10000
263012,0,0
276423,10000,0
277168,10000,10000
277170,10000,0
277913,0,10000
277914,0,0
287598,10000,0
287599,20000,0
288343,20000,10000
288345,20000,0
289088,10000,10000
289089,10000,0
289833,0,10000
289834,0,0
296538,10000,0
297283,10000,10000
297285,10000,0
298027,20000,0
298028,20000,10000
298029,20000,0
298773,10000,10000
298774,10000,0
299518,0,10000
299519,0,0
306969,10000,0
307714,10000,10000
307716,10000,0
308458,20000,0
308459,10000,10000
308460,10000,0
309203,20000,0
309204,20000,10000
309205,20000,0
309949,10000,10000
309950,10000,0
310694,0,10000
310695,0,0
320380,10000,0
321125,10000,10000
321127,10000,0
321870,10000,10000
321872,10000,0
322614,20000,0
322615,10000,10000
322616,10000,0
323359,20000,0
323360,10000,10000
323361,10000,0
324105,0,10000
324106,0,0
333791,10000,0
334536,0,10000
334537,10000,10000
334539,10000,0
335280,20000,0
335282,10000,10000
335283,10000,0
336027,0,10000
336028,0,0
344222,10000,0
344967,0,10000
344969,0,0
345711,10000,0
346456,0,10000
346460,0,0
355398,10000,0
356143,10000,10000
356145,10000,0
356888,0,10000
356889,0,0
364340,10000,0
365085,0,10000
365087,0,0
