Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
751.058,0,0
4473.5,10000,0
4474.5,20000,0
5218.56,10000,0
5963.61,0,10000
5965.54,0,0
10433,10000,0
10434,20000,0
11178,10000,0
11923.1,0,0
12667.1,10000,0
12668.1,20000,0
13412.2,10000,10000
13413.1,10000,0
14157.3,0,10000
14161.2,0,0
21608.8,10000,0
21609.8,20000,0
22353.9,10000,10000
22354.8,10000,0
22632.5,20000,0
23098.9,10000,0
23844,0,0
26828.2,10000,0
27573.3,0,10000
27574.2,0,0
35763.9,10000,0
36509,0,10000
36514.9,0,0
37258.1,10000,0
38003.1,0,0
40239.3,10000,0
40240.3,20000,0
40984.3,10000,10000
40985.3,10000,0
41729.4,0,0
46940.8,10000,0
47685.9,0,0
48433.9,10000,0
49179,0,10000
49180,10000,10000
49180.9,10000,0
49924,20000,0
49925,20000,0
50670.1,10000,0
51415.2,0,10000
51421.1,0,0
58116.7,10000,0
58861.7,0,0
59609.8,10000,0
60354.9,0,10000
60355.9,10000,10000
60356.8,10000,0
61099.9,20000,0
61100.9,10000,0
61846,0,0
71526.7,10000,0
72271.8,10000,10000
72272.7,10000,0
73016.8,0,10000
73020.8,10000,10000
73021.8,10000,0
73765.9,0,10000
73766.8,0,0
81957.5,10000,0
82702.6,10000,10000
82703.5,10000,0
82703.6,20000,0
83447.7,10000,10000
83451.7,20000,10000
83452.6,20000,0
84192.7,10000,10000
84197.6,10000,0
84937.8,0,10000
84942.7,0,0
94623.5,10000,0
95368.6,10000,10000
95369.5,10000,0
96113.6,10000,10000
96114.6,10000,0
96114.6,20000,0
96858.7,10000,10000
96862.7,20000,10000
96863.6,20000,0
97603.8,10000,10000
97608.7,10000,0
98348.8,0,10000
98353.7,0,0
108035,10000,0
108780,0,10000
108781,0,0
109525,10000,0
110270,10000,10000
110271,10000,0
111015,0,10000
111020,0,0
124427,10000,0
125172,0,10000
125177,0,0
127406,10000,0
128151,0,10000
128152,0,0
137093,10000,0
137838,0,10000
137839,0,0
140072,10000,0
140817,0,10000
140818,0,0
147524,10000,0
147525,20000,0
148269,10000,10000
148270,10000,0
149014,0,10000
149018,0,0
151248,10000,0
151993,0,10000
151994,0,0
158704,10000,0
159449,0,10000
159449,0,0
160193,10000,0
160194,20000,0
160938,10000,0
161683,0,10000
161684,0,0
163914,10000,0
164659,0,10000
164660,0,0
171367,10000,0
172112,0,0
172859,10000,0
173604,0,10000
173606,0,0
186268,10000,0
186269,20000,0
187013,10000,0
187758,0,10000
187761,0,0
188505,10000,0
189250,0,10000
189252,0,0
202659,10000,0
203403,20000,0
203404,10000,0
204148,20000,0
204149,20000,0
204894,10000,10000
204897,10000,0
205639,0,10000
205642,0,0
215325,10000,0
216070,0,0
216817,10000,0
217562,0,10000
217563,10000,10000
217564,10000,0
218307,20000,0
218308,20000,0
219053,10000,0
219798,0,10000
219804,0,0
230974,10000,0
231719,0,10000
231720,0,0
232463,10000,0
233208,0,10000
233210,0,0
242147,10000,0
242892,10000,10000
242893,10000,0
242893,20000,0
243637,10000,10000
243640,10000,0
244382,0,10000
244385,0,0
251833,10000,0
252578,10000,10000
252579,10000,0
253323,0,10000
253325,10000,10000
253326,10000,0
254070,0,10000
254071,0,0
263009,10000,0
263010,20000,0
263754,10000,10000
263757,20000,10000
263758,20000,0
264499,10000,10000
264501,20000,10000
264502,20000,0
265244,10000,10000
265247,10000,0
265989,0,10000
265992,0,0
275676,10000,0
276420,20000,0
276421,20000,0
277165,30000,0
277166,20000,0
277911,10000,10000
277912,20000,10000
277913,20000,0
278656,10000,10000
278658,10000,0
279401,0,10000
279403,0,0
291322,10000,0
292067,0,0
292813,10000,0
293556,20000,0
293558,10000,0
294303,10000,10000
294304,10000,0
294304,20000,0
295048,20000,10000
295049,20000,0
295793,10000,10000
295794,10000,0
296538,0,10000
296539,0,0
307713,10000,0
308458,0,0
311440,10000,0
312185,10000,10000
312186,10000,0
312186,20000,0
312931,10000,0
313676,0,10000
313682,0,0
321124,10000,0
321869,0,0
323358,10000,0
324103,10000,10000
324104,10000,0
324848,0,10000
324849,0,0
336024,10000,0
336025,20000,0
336769,10000,10000
336770,10000,0
337514,0,10000
337516,10000,10000
337517,10000,0
338262,0,10000
338266,0,0
347945,10000,0
348690,10000,10000
348691,10000,0
349435,0,10000
349438,0,0
350925,10000,0
350926,20000,0
351671,10000,10000
351674,10000,0
352416,0,10000
352419,0,0
