Time,from_ingress_queue_size,to_ingress_queue_size
4579.38,1,nan
4580.13,0,1
4582.13,0,0
12214.8,1,0
12215.5,0,1
12217.5,0,0
13740.7,1,0
13741.4,0,1
13743.4,0,0
24432,1,0
24432.8,0,1
24434.8,0,0
25957.9,1,0
25958.7,0,1
25960.7,0,0
27483.8,1,0
27484.5,0,1
27486.5,0,0
29009.7,1,0
29010.4,0,1
29012.4,0,0
42742.6,1,0
42743.3,0,1
42745.3,0,0
44268.5,1,0
44269.2,0,1
44271.2,0,0
45794.3,1,0
45795.1,0,1
45797.1,0,0
47320.2,1,0
47321,0,1
47323,0,0
61053.1,1,0
61053.9,0,1
61055.9,0,0
62579,1,0
62579.8,0,1
62581.8,0,0
64104.9,1,0
64105.6,0,1
64107.6,0,0
68682.5,1,0
68683.3,0,1
68685.3,0,0
76311.9,1,0
76312.7,0,1
76314.7,0,0
77837.8,1,0
77838.5,0,1
77840.5,0,0
82415.4,1,0
82416.2,0,1
82418.2,0,0
90044.8,1,0
90045.6,0,1
90047.6,0,0
91570.7,1,0
91571.5,0,1
91573.5,0,0
99200.1,1,0
99200.9,0,1
99202.9,0,0
100726,1,0
100727,0,1
100729,0,0
108368,1,0
108368,0,1
108370,0,0
109893,1,0
109894,0,1
109896,0,0
111419,1,0
111420,0,1
111422,0,0
119049,1,0
119050,0,1
119052,0,0
120575,1,0
120575,0,1
120577,0,0
128216,1,0
128217,0,1
128219,0,0
129742,1,0
129743,0,1
129745,0,0
131268,1,0
131269,0,1
131271,0,0
141949,1,0
141950,0,1
141952,0,0
143475,1,0
143476,0,1
143478,0,0
145001,1,0
145002,0,1
145004,0,0
146527,1,0
146528,0,1
146530,0,0
160260,1,0
160260,0,1
160262,0,0
161786,1,0
161786,0,1
161788,0,0
163311,1,0
163312,0,1
163314,0,0
164837,1,0
164838,0,1
164840,0,0
178570,1,0
178571,0,1
178573,0,0
180096,1,0
180097,0,1
180099,0,0
181622,1,0
181623,0,1
181625,0,0
192303,1,0
192304,0,1
192306,0,0
193829,1,0
193830,0,1
193832,0,0
207562,1,0
207563,0,1
207565,0,0
209088,1,0
209089,0,1
209091,0,0
213665,1,0
213666,0,1
213668,0,0
221295,1,0
221296,0,1
221298,0,0
225873,1,0
225873,0,1
225875,0,0
233502,1,0
233503,0,1
233505,0,0
235028,1,0
235029,0,1
235031,0,0
239605,1,0
239606,0,1
239608,0,0
247235,1,0
247236,0,1
247238,0,0
248761,1,0
248761,0,1
248763,0,0
250287,1,0
250287,0,1
250289,0,0
254864,1,0
254865,0,1
254867,0,0
262494,1,0
262494,0,1
262496,0,0
264020,1,0
264020,0,1
264022,0,0
265545,1,0
265546,0,1
265548,0,0
270123,1,0
270124,0,1
270126,0,0
271649,1,0
271650,0,1
271652,0,0
279278,1,0
279279,0,1
279281,0,0
280804,1,0
280805,0,1
280807,0,0
282330,1,0
282331,0,1
282333,0,0
286908,1,0
286908,0,1
286910,0,0
288434,1,0
288434,0,1
288436,0,0
289959,1,0
289960,0,1
289962,0,0
294537,1,0
294538,0,1
294540,0,0
296063,1,0
296064,0,1
296066,0,0
300641,1,0
300641,0,1
300643,0,0
302166,1,0
302167,0,1
302169,0,0
303692,1,0
303693,0,1
303695,0,0
305218,1,0
305219,0,1
305221,0,0
306744,1,0
306745,0,1
306747,0,0
308270,1,0
308271,0,1
308273,0,0
309796,1,0
309797,0,1
309799,0,0
314374,1,0
314374,0,1
314376,0,0
315899,1,0
315900,0,1
315902,0,0
320477,1,0
320478,0,1
320480,0,0
322003,1,0
322004,0,1
322006,0,0
323529,1,0
323530,0,1
323532,0,0
325055,1,0
325055,0,1
325057,0,0
326581,1,0
326581,0,1
326583,0,0
328106,1,0
328107,0,1
328109,0,0
329632,1,0
329633,0,1
329635,0,0
334210,1,0
334211,0,1
334213,0,0
338788,1,0
338788,0,1
338790,0,0
340313,1,0
340314,0,1
340316,0,0
341839,1,0
341840,0,1
341842,0,0
343365,1,0
343366,0,1
343368,0,0
344891,1,0
344892,0,1
344894,0,0
346417,1,0
346418,0,1
346420,0,0
350995,1,0
350995,0,1
350997,0,0
355572,1,0
355573,0,1
355575,0,0
357098,1,0
357099,0,1
357101,0,0
358624,1,0
358625,0,1
358627,0,0
360150,1,0
360151,0,1
360153,0,0
361676,1,0
361676,0,1
361678,0,0
363202,1,0
363202,0,1
363204,0,0
367779,1,0
367780,0,1
367782,0,0
369305,1,0
369306,0,1
369308,0,0
373883,1,0
373884,0,1
373886,0,0
375409,1,0
375409,0,1
375411,0,0
376935,1,0
376935,0,1
376937,0,0
378460,1,0
378461,0,1
378463,0,0
379986,1,0
379987,0,1
379989,0,0
384564,1,0
384565,0,1
384567,0,0
389142,1,0
389142,0,1
389144,0,0
390667,1,0
390668,0,1
390670,0,0
395245,1,0
395246,0,1
395248,0,0
396771,1,0
396772,0,1
396774,0,0
398297,1,0
398298,0,1
398300,0,0
402874,1,0
402875,0,1
402877,0,0
404400,1,0
404401,0,1
404403,0,0
408978,1,0
408979,0,1
408981,0,0
410504,1,0
410505,0,1
410507,0,0
412030,1,0
412031,0,1
412033,0,0
416607,1,0
416608,0,1
416610,0,0
421185,1,0
421186,0,1
421188,0,0
422711,1,0
422712,0,1
422714,0,0
424237,1,0
424238,0,1
424240,0,0
428814,1,0
428815,0,1
428817,0,0
430340,1,0
430341,0,1
430343,0,0
434918,1,0
434919,0,1
