Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
746.058,0,0
1495.27,10000,0
1496.27,20000,0
2240.32,10000,10000
2243.25,10000,0
2985.38,0,10000
2986.38,0,0
4485.8,10000,0
4486.8,20000,0
5216.56,30000,0
5230.85,20000,10000
5232.85,20000,0
5964.61,30000,0
5975.91,20000,0
6720.97,10000,10000
6721.97,10000,0
7466.03,0,10000
7470.03,0,0
13079.5,10000,0
13824.6,0,0
14160.3,10000,0
14905.3,0,10000
14908.2,0,0
15650.4,10000,0
16395.4,0,10000
16396.4,0,0
27573.3,10000,0
28318.4,0,10000
28319.4,0,0
29061.4,10000,0
29062.4,20000,0
29806.5,10000,10000
29807.5,10000,0
30551.5,0,10000
30553.5,0,0
40979.3,10000,0
41724.4,0,10000
41730.3,0,0
42472.5,10000,0
43217.5,0,10000
43218.5,0,0
49925,10000,0
50670.1,0,10000
50671.1,0,0
51413.2,10000,0
52158.2,0,10000
52159.2,0,0
62591,10000,0
62592,20000,0
63336.1,10000,10000
63338,10000,0
64081.1,0,10000
64082.1,0,0
74507,10000,0
75252,0,10000
75256,10000,10000
75257.9,10000,0
76001.1,0,10000
76002.1,0,0
87177.9,10000,0
87178.9,20000,0
87923,20000,10000
87924.9,20000,0
88668.1,10000,10000
88669.1,10000,0
89413.1,0,10000
89419,0,0
96114.6,10000,0
96859.7,0,10000
96862.7,10000,10000
96863.7,20000,10000
96864.6,20000,0
97607.8,10000,10000
97608.8,10000,0
98351.8,20000,0
98352.8,10000,10000
98353.7,10000,0
99097.9,0,10000
99098.9,0,0
107291,10000,0
108036,0,10000
108039,10000,10000
108040,10000,0
108784,10000,10000
108786,10000,0
109529,0,10000
109530,0,0
110273,10000,0
110274,20000,0
111018,10000,10000
111019,10000,0
111763,0,10000
111765,0,0
119211,10000,0
119956,0,10000
119961,0,0
120704,10000,0
121449,0,10000
121450,10000,10000
121452,10000,0
122195,0,10000
122196,0,0
122939,10000,0
123683,20000,0
123684,20000,10000
123685,20000,0
124429,10000,10000
124431,10000,0
125174,0,10000
125176,0,0
139332,10000,0
140074,20000,0
140075,30000,0
140077,20000,10000
140078,20000,0
140820,30000,0
140822,20000,10000
140823,20000,0
141567,10000,10000
141568,10000,0
142312,0,10000
142318,0,0
152742,10000,0
153485,20000,0
153487,10000,10000
153488,10000,0
154230,20000,0
154232,10000,10000
154233,10000,0
154977,0,10000
154978,0,0
165409,10000,0
165410,20000,0
166151,30000,0
166154,20000,10000
166155,20000,0
166899,10000,10000
166900,10000,0
167644,0,10000
167650,0,0
175092,10000,0
175837,10000,10000
175839,10000,0
176582,0,10000
176585,0,0
177328,10000,0
177329,20000,0
178073,10000,10000
178074,10000,0
178818,0,10000
178820,0,0
188506,10000,0
189251,0,10000
189253,0,0
191483,10000,0
192228,0,10000
192230,0,0
202657,10000,0
202658,20000,0
203402,10000,10000
203408,10000,0
204147,0,10000
204152,0,0
204895,10000,0
205640,0,10000
205644,0,0
216813,10000,0
217558,0,10000
217562,10000,10000
217564,10000,0
218307,0,10000
218308,0,0
232464,10000,0
233208,20000,0
233209,10000,10000
233210,10000,0
233954,0,10000
233955,0,0
245129,10000,0
245130,20000,0
245874,10000,10000
245877,10000,0
246619,0,10000
246620,0,0
255560,10000,0
256305,10000,10000
256307,10000,0
257050,0,10000
257051,0,0
268972,10000,0
268973,20000,0
269717,10000,10000
269718,10000,0
270462,0,10000
270463,0,0
283872,10000,0
284617,0,10000
284619,0,0
296538,10000,0
296539,20000,0
297283,10000,10000
297285,10000,0
298028,0,10000
298029,0,0
310694,10000,0
311439,10000,10000
311441,10000,0
312184,0,10000
312186,0,0
324105,10000,0
324106,20000,0
324850,10000,10000
324852,10000,0
325595,20000,0
325596,10000,10000
325597,10000,0
326341,0,10000
326342,0,0
333791,10000,0
334536,0,10000
334538,0,0
335280,10000,0
335281,20000,0
336025,10000,10000
336028,10000,0
336770,10000,10000
336772,10000,0
337515,0,10000
337518,0,0
343477,10000,0
344222,0,10000
344224,0,0
344966,10000,0
345711,0,10000
345712,10000,10000
345714,10000,0
346457,0,10000
346458,0,0
347947,10000,0
347948,20000,0
348692,10000,10000
348694,10000,0
349437,0,10000
349438,0,0
353908,10000,0
354653,0,10000
354655,0,0
355398,10000,0
356143,10000,10000
356145,10000,0
356888,0,10000
356889,0,0
358378,10000,0
359123,10000,10000
359124,20000,10000
359125,20000,0
359868,10000,10000
359869,10000,0
360613,0,10000
360614,0,0
361357,10000,0
362102,0,10000
362105,0,0
363593,10000,0
364339,0,10000
364340,10000,10000
364341,10000,0
365085,0,10000
365086,0,0
366575,10000,0
367320,10000,10000
367322,10000,0
368065,0,10000
368066,0,0
368808,10000,0
368809,20000,0
369553,10000,10000
369557,10000,0
370298,0,10000
370300,0,0
371043,10000,0
371788,0,10000
371792,0,0
372533,10000,0
373278,0,10000
373280,10000,10000
373282,10000,0
374023,20000,0
374025,10000,10000
374026,10000,0
374768,20000,0
374770,10000,10000
374771,10000,0
375515,0,10000
375516,0,0
