Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
747.058,0,0
2984.38,10000,0
2985.38,20000,0
3729.44,10000,10000
3731.44,10000,0
4474.5,0,10000
4476.42,0,0
7454.73,10000,0
7455.73,20000,0
8199.79,10000,10000
8201.71,10000,0
8942.85,20000,0
8943.85,30000,0
8944.85,20000,10000
8945.77,20000,0
9689.9,10000,10000
9691.9,10000,0
10435,0,10000
10435.9,0,0
16676.1,10000,0
16677.1,20000,0
17421.1,10000,0
18166.2,0,0
19376.7,10000,0
20121.7,10000,10000
20124.6,10000,0
20866.8,0,10000
20868.8,0,0
32785.7,10000,0
32786.7,20000,0
33530.8,10000,10000
33532.8,20000,10000
33535.7,20000,0
34275.8,10000,10000
34277.8,10000,0
35020.9,0,10000
35022.8,0,0
50667.1,10000,0
51412.2,0,10000
51414.2,10000,10000
51417.1,10000,0
52159.2,0,10000
52161.2,0,0
61098.9,10000,0
61843,20000,0
61844,20000,10000
61846,20000,0
62589,10000,10000
62591,10000,0
63334.1,0,10000
63335,0,0
73763.9,10000,0
74509,0,10000
74511,10000,10000
74513.9,10000,0
75256,0,10000
75258,0,0
88665.1,10000,0
88666.1,20000,0
89410.1,10000,10000
89413,10000,0
90155.2,0,10000
90157.2,0,0
99840.9,10000,0
100586,10000,10000
100589,10000,0
101331,0,10000
101333,0,0
112507,10000,0
113252,0,10000
113255,0,0
125173,10000,0
125174,20000,0
125918,10000,10000
125921,10000,0
126663,0,10000
126665,0,0
137096,10000,0
137841,0,10000
137844,0,0
138583,10000,0
139328,0,10000
139332,0,0
150506,10000,0
150507,20000,0
151251,10000,10000
151253,10000,0
151994,20000,0
151996,10000,10000
151997,10000,0
152741,0,10000
152743,0,0
164662,10000,0
165407,0,10000
165410,0,0
166150,10000,0
166151,20000,0
166895,10000,10000
166896,20000,10000
166899,20000,0
167640,10000,10000
167643,10000,0
168385,0,10000
168388,0,0
176582,10000,0
177327,0,10000
177331,0,0
180309,10000,0
180310,20000,0
181054,10000,10000
181056,10000,0
181799,0,0
189994,10000,0
190739,0,10000
190742,0,0
193718,10000,0
194463,0,10000
194466,0,0
199680,10000,0
200425,0,10000
200428,0,0
204149,10000,0
204894,0,10000
204897,0,0
211602,10000,0
211603,20000,0
212347,10000,10000
212350,10000,0
213092,0,10000
213094,0,0
216815,10000,0
217560,0,10000
217563,0,0
222773,10000,0
223518,0,10000
223518,0,0
223522,10000,0
223523,20000,0
224267,10000,10000
224270,10000,0
225012,0,10000
225014,0,0
228736,10000,0
229481,0,10000
229484,0,0
234698,10000,0
235443,0,10000
235445,0,0
236186,10000,0
236931,0,10000
236936,0,0
237676,10000,0
238421,0,10000
238425,0,0
242147,10000,0
242148,20000,0
242892,10000,10000
242895,10000,0
243637,0,10000
243639,0,0
257795,10000,0
257796,20000,0
258540,20000,10000
258543,20000,0
259285,10000,10000
259287,10000,0
260030,0,10000
260036,0,0
268224,10000,0
268969,10000,10000
268972,10000,0
269714,0,10000
269717,0,0
270459,10000,0
270460,20000,0
271204,10000,10000
271206,10000,0
271949,0,10000
271951,0,0
277910,10000,0
278655,0,10000
278658,0,0
283123,10000,0
283124,20000,0
283868,10000,10000
283874,10000,0
284613,0,10000
284617,0,0
291321,10000,0
292066,0,10000
292069,0,0
296538,10000,0
297283,0,10000
297285,0,0
306222,10000,0
306967,0,10000
306970,0,0
308455,10000,0
309200,0,10000
309206,0,0
321866,10000,0
321867,20000,0
322611,10000,10000
322617,10000,0
323356,0,10000
323360,0,0
332297,10000,0
333042,0,10000
333043,0,0
333046,10000,0
333791,0,10000
333794,0,0
340492,10000,0
340493,20000,0
341237,20000,10000
341240,20000,0
341982,10000,10000
341987,10000,0
342727,0,10000
342732,0,0
348692,10000,0
349437,10000,10000
349438,20000,10000
349440,20000,0
350179,30000,0
350182,20000,10000
350184,20000,0
350927,10000,10000
350929,10000,0
351673,0,10000
351675,0,0
358378,10000,0
359123,10000,10000
359126,10000,0
359868,0,10000
359870,0,0
363593,10000,0
363594,20000,0
364339,20000,10000
364341,20000,0
365084,10000,10000
365089,10000,0
365092,20000,0
365829,10000,10000
365831,10000,0
365836,20000,0
366574,10000,10000
366576,10000,0
366581,20000,0
366582,30000,0
367319,20000,10000
367321,20000,0
367326,30000,0
368064,20000,10000
368066,20000,0
368071,30000,0
368809,20000,10000
368811,20000,0
368816,30000,0
369554,20000,10000
369556,20000,0
369561,30000,0
369562,40000,0
370299,30000,10000
370301,30000,0
370306,40000,0
371044,30000,10000
371046,30000,0
371051,40000,0
371789,30000,10000
371791,30000,0
371796,40000,0
372534,30000,10000
372536,30000,0
372541,40000,0
373279,30000,10000
373281,30000,0
373286,40000,0
374024,30000,10000
374026,30000,0
374031,40000,0
374032,50000,0
374769,40000,10000
374771,40000,0
375514,30000,10000
375516,30000,0
376259,20000,10000
376261,20000,0
377005,10000,10000
377007,10000,0
377750,0,10000
377752,0,0
