Time,from_ingress_queue_size,to_ingress_queue_size
7632.14,1,nan
7632.88,0,0
16790.9,1,0
16791.6,0,0
18316.8,1,0
18317.5,0,1
18319.5,0,0
32049.7,1,0
32050.4,0,0
33575.6,1,0
33576.3,0,1
33578.3,0,0
47308.5,1,0
47309.2,0,0
48834.4,1,0
48835.1,0,1
48837.1,0,0
65626.5,1,0
65627.3,0,0
67153.4,1,0
67154.1,0,1
67156.1,0,0
75446.6,1,0
75447.3,0,0
76972.5,1,0
76973.2,0,1
76975.2,0,0
84601.9,1,0
84602.6,0,0
86128.7,1,0
86129.5,0,1
86131.5,0,0
87653.6,1,0
87654.4,0,1
87656.4,0,0
98334.8,1,0
98335.5,0,0
99860.6,1,0
99861.4,0,1
99863.4,0,0
101388,1,0
101388,0,1
101390,0,0
102912,1,0
102913,0,1
102915,0,0
113594,1,0
113594,0,0
115120,1,0
115121,0,1
115123,0,0
116645,1,0
116646,0,1
116648,0,0
127326,1,0
127327,0,0
128853,1,0
128854,0,1
128856,0,0
130378,1,0
130379,0,1
130381,0,0
141059,1,0
141060,0,0
142585,1,0
142586,0,1
142588,0,0
144112,1,0
144113,0,1
144115,0,0
145637,1,0
145638,0,1
145640,0,0
153266,1,0
153267,0,0
154793,1,0
154794,0,1
154796,0,0
156318,1,0
156319,0,1
156321,0,0
160896,1,0
160897,0,0
162423,1,0
162423,0,1
162425,0,0
163948,1,0
163948,0,1
163950,0,0
168525,1,0
168526,0,0
170051,1,0
170052,0,1
170054,0,0
174629,1,0
174629,0,0
176155,1,0
176155,0,1
176157,0,0
177681,1,0
177682,0,1
177684,0,0
179206,1,0
179207,0,1
179209,0,0
186836,1,0
186836,0,0
188362,1,0
188362,0,1
188364,0,0
189887,1,0
189888,0,1
189890,0,0
191414,1,0
191415,0,1
191417,0,0
192939,1,0
192940,0,1
192942,0,0
200569,1,0
200569,0,0
202095,1,0
202095,0,1
202097,0,0
203620,1,0
203621,0,1
203623,0,0
205147,1,0
205148,0,1
205150,0,0
206672,1,0
206673,0,1
206675,0,0
214302,1,0
214302,0,0
215827,1,0
215828,0,1
215830,0,0
217353,1,0
217354,0,1
217356,0,0
218880,1,0
218881,0,1
218883,0,0
220405,1,0
220406,0,1
220408,0,0
228034,1,0
228035,0,0
229560,1,0
229561,0,1
229563,0,0
231086,1,0
231087,0,1
231089,0,0
232613,1,0
232614,0,1
232616,0,0
234138,1,0
234139,0,1
234141,0,0
238716,1,0
238716,0,0
240242,1,0
240242,0,1
240244,0,0
241767,1,0
241768,0,1
241770,0,0
243293,1,0
243294,0,1
243296,0,0
244820,1,0
244821,0,1
244823,0,0
246345,1,0
246346,0,1
246348,0,0
250923,1,0
250923,0,0
252449,1,0
252449,0,1
252451,0,0
257026,1,0
257027,0,0
258552,1,0
258553,0,1
258555,0,0
260079,1,0
260080,0,1
260082,0,0
261604,1,0
261605,0,1
261607,0,0
266181,1,0
266182,0,0
270759,1,0
270760,0,0
272285,1,0
272286,0,1
272288,0,0
276863,1,0
276863,0,0
284492,1,0
284493,0,0
286018,1,0
286019,0,1
286021,0,0
290596,1,0
290596,0,0
298225,1,0
298226,0,0
299751,1,0
299752,0,1
299754,0,0
301278,1,0
301278,0,1
301280,0,0
302803,1,0
302803,0,1
302805,0,0
310432,1,0
310433,0,0
311959,1,0
311960,0,1
311962,0,0
313484,1,0
313484,0,1
313486,0,0
324165,1,0
324166,0,0
325691,1,0
325691,0,1
325693,0,0
327218,1,0
327218,0,1
327220,0,0
328742,1,0
328743,0,1
328745,0,0
336372,1,0
336373,0,0
337898,1,0
337898,0,1
337900,0,0
339424,1,0
339424,0,1
339426,0,0
340951,1,0
340951,0,1
340953,0,0
342475,1,0
342476,0,1
342478,0,0
350105,1,0
350106,0,0
351631,1,0
351631,0,1
351633,0,0
353157,1,0
353157,0,1
353159,0,0
354683,1,0
354684,0,1
354686,0,0
356208,1,0
356209,0,1
356211,0,0
360786,1,0
360787,0,0
362312,1,0
362313,0,1
362315,0,0
363838,1,0
363838,0,1
363840,0,0
365364,1,0
365364,0,1
365366,0,0
366890,1,0
366891,0,1
366893,0,0
368415,1,0
368416,0,1
368418,0,0
372993,1,0
372994,0,0
374519,1,0
374520,0,1
374522,0,0
376045,1,0
376045,0,1
376047,0,0
377571,1,0
377571,0,1
377573,0,0
379096,1,0
379097,0,1
379099,0,0
380623,1,0
380624,0,1
380626,0,0
382148,1,0
382149,0,1
382151,0,0
386726,1,0
386727,0,0
388252,1,0
388253,0,1
388255,0,0
389778,1,0
389778,0,1
389780,0,0
391304,1,0
391304,0,1
391306,0,0
392829,1,0
392830,0,1
392832,0,0
394355,1,0
394356,0,1
394358,0,0
395881,1,0
395882,0,1
395884,0,0
397407,1,0
397408,0,1
397410,0,0
398933,1,0
398934,0,1
398936,0,0
400459,1,0
400460,0,1
400462,0,0
401985,1,0
401985,0,1
401987,0,0
403511,1,0
403511,0,1
403513,0,0
405036,1,0
405037,0,1
405039,0,0
406562,1,0
406563,0,1
406565,0,0
408088,1,0
408089,0,1
408091,0,0
409614,1,0
409615,0,1
409617,0,0
411141,1,0
411142,0,1
411144,0,0
412666,1,0
412667,0,1
412669,0,0
417243,1,0
417244,0,0
418769,1,0
418770,0,1
418772,0,0
420295,1,0
420296,0,1
420298,0,0
421821,1,0
421822,0,1
421824,0,0
423348,1,0
423349,0,1
423351,0,0
424873,1,0
424874,0,1
424876,0,0
429450,1,0
429451,0,0
430976,1,0
430977,0,1
430979,0,0
432503,1,0
432504,0,1
432506,0,0
434028,1,0
434029,0,1
434031,0,0
438606,1,0
438607,0,0
440132,1,0
440132,0,1
440134,0,0
441658,1,0
441658,0,1
441660,0,0
443184,1,0
443185,0,1
443187,0,0
444709,1,0
444710,0,1
444712,0,0
449287,1,0
449288,0,0
453865,1,0
453865,0,0
455391,1,0
455392,0,1
455394,0,0
456916,1,0
456917,0,1
456919,0,0
461494,1,0
461495,0,0
466072,1,0
466072,0,0
467597,1,0
467598,0,1
467600,0,0
469124,1,0
469125,0,1
469127,0,0
470649,1,0
470650,0,1
470652,0,0
475227,1,0
475228,0,0
479804,1,0
479805,0,0
481330,1,0
481331,0,1
481333,0,0
482857,1,0
482858,0,1
482860,0,0
484382,1,0
484383,0,1
484385,0,0
488960,1,0
488961,0,0
493537,1,0
493538,0,0
495063,1,0
495064,0,1
495066,0,0
496590,1,0
496591,0,1
496593,0,0
498115,1,0
498116,0,1
498118,0,0
502693,1,0
502693,0,0
504219,1,0
504219,0,1
504221,0,0
508796,1,0
508797,0,0
510322,1,0
510323,0,1
510325,0,0
511849,1,0
511850,0,1
511852,0,0
513374,1,0
513375,0,1
513377,0,0
517951,1,0
517952,0,0
522529,1,0
522530,0,0
524056,1,0
524057,0,1
524059,0,0
525581,1,0
525582,0,1
525584,0,0
530158,1,0
530159,0,0
531685,1,0
531686,0,1
531688,0,0
533210,1,0
533211,0,1
533213,0,0
537788,1,0
537789,0,0
539314,1,0
539315,0,1
539317,0,0
543891,1,0
543892,0,0
548469,1,0
548470,0,0
549995,1,0
549996,0,1
549998,0,0
554573,1,0
554573,0,0
556098,1,0
556099,0,1
556101,0,0
563728,1,0
563729,0,0
568305,1,0
568306,0,0
569832,1,0
569833,0,1
569835,0,0
571357,1,0
571358,0,1
571360,0,0
575935,1,0
575936,0,0
580512,1,0
580513,0,0
582039,1,0
582040,0,1
582042,0,0
583564,1,0
583565,0,1
583567,0,0
588142,1,0
588143,0,0
589668,1,0
589669,0,1
589671,0,0
594245,1,0
594246,0,0
598823,1,0
598824,0,0
600349,1,0
600350,0,1
600352,0,0
607978,1,0
607979,0,0
609504,1,0
609505,0,1
609507,0,0
611031,1,0
611032,0,1
611034,0,0
612556,1,0
612557,0,1
612559,0,0
617134,1,0
617134,0,0
618659,1,0
618660,0,1
618662,0,0
620185,1,0
620186,0,1
620188,0,0
621712,1,0
621713,0,1
621715,0,0
623237,1,0
623238,0,1
623240,0,0
627815,1,0
627815,0,0
629341,1,0
629341,0,1
629343,0,0
630867,1,0
630867,0,1
630869,0,0
632392,1,0
632393,0,1
632395,0,0
633919,1,0
633920,0,1
633922,0,0
635444,1,0
635445,0,1
635447,0,0
640022,1,0
640023,0,0
641548,1,0
641548,0,1
641550,0,0
646125,1,0
646126,0,0
647651,1,0
647652,0,1
647654,0,0
649177,1,0
649178,0,1
649180,0,0
650704,1,0
650705,0,1
