Time,from_ingress_queue_size,to_ingress_queue_size
10688.6,1,nan
10689.4,0,0
22902.9,1,0
22903.7,0,0
24428.8,1,0
24429.5,0,1
24430.5,0,0
38169.9,1,0
38170.7,0,0
39695.8,1,0
39696.6,0,1
39697.6,0,0
41221.7,1,0
41222.4,0,1
41223.4,0,0
42747.6,1,0
42748.3,0,1
42749.3,0,0
56480.5,1,0
56481.2,0,0
58006.4,1,0
58007.1,0,1
58008.1,0,0
59532.2,1,0
59533,0,1
59534,0,0
61058.1,1,0
61058.9,0,1
61059.9,0,0
68687.5,1,0
68688.3,0,0
73265.1,1,0
73265.9,0,0
74791,1,0
74791.8,0,1
74792.8,0,0
76316.9,1,0
76317.7,0,1
76318.7,0,0
83946.3,1,0
83947,0,0
88523.9,1,0
88524.7,0,0
90049.8,1,0
90050.6,0,1
90051.6,0,0
91575.7,1,0
91576.4,0,1
91577.4,0,0
96153.3,1,0
96154.1,0,0
100731,1,0
100732,0,0
102257,1,0
102258,0,1
102259,0,0
103783,1,0
103783,0,1
103784,0,0
108360,1,0
108361,0,0
112938,1,0
112939,0,0
114464,1,0
114465,0,1
114466,0,0
115990,1,0
115991,0,1
115992,0,0
117516,1,0
117516,0,1
117517,0,0
122093,1,0
122094,0,0
126671,1,0
126672,0,0
128197,1,0
128198,0,1
128199,0,0
129723,1,0
129723,0,1
129724,0,0
137352,1,0
137353,0,0
141930,1,0
141930,0,0
143456,1,0
143456,0,1
143457,0,0
144981,1,0
144982,0,1
144983,0,0
155663,1,0
155663,0,0
157188,1,0
157189,0,1
157190,0,0
158714,1,0
158715,0,1
158716,0,0
160240,1,0
160241,0,1
160242,0,0
161766,1,0
161767,0,1
161768,0,0
172447,1,0
172448,0,0
173973,1,0
173974,0,1
173975,0,0
175499,1,0
175500,0,1
175501,0,0
177025,1,0
177026,0,1
177027,0,0
178551,1,0
178552,0,1
178553,0,0
189232,1,0
189233,0,0
190758,1,0
190759,0,1
190760,0,0
192284,1,0
192284,0,1
192285,0,0
193810,1,0
193810,0,1
193811,0,0
195335,1,0
195336,0,1
195337,0,0
196861,1,0
196862,0,1
196863,0,0
201439,1,0
201440,0,0
202965,1,0
202966,0,1
202967,0,0
204491,1,0
204491,0,1
204492,0,0
206017,1,0
206017,0,1
206018,0,0
207542,1,0
207543,0,1
207544,0,0
209068,1,0
209069,0,1
209070,0,0
210594,1,0
210595,0,1
210596,0,0
218224,1,0
218224,0,0
219750,1,0
219750,0,1
219751,0,0
221275,1,0
221276,0,1
221277,0,0
222801,1,0
222802,0,1
222803,0,0
230431,1,0
230431,0,0
231957,1,0
231957,0,1
231958,0,0
233482,1,0
233483,0,1
233484,0,0
235008,1,0
235009,0,1
235010,0,0
236534,1,0
236535,0,1
236536,0,0
247215,1,0
247216,0,0
248741,1,0
248742,0,1
248743,0,0
250267,1,0
250268,0,1
250269,0,0
251793,1,0
251794,0,1
251795,0,0
253319,1,0
253320,0,1
253321,0,0
264000,1,0
264001,0,0
265526,1,0
265527,0,1
265528,0,0
267052,1,0
267053,0,1
267054,0,0
268578,1,0
268578,0,1
268579,0,0
270104,1,0
270104,0,1
270105,0,0
280785,1,0
280785,0,0
282311,1,0
282311,0,1
282312,0,0
283836,1,0
283837,0,1
283838,0,0
297569,1,0
297570,0,0
299095,1,0
299096,0,1
299097,0,0
300621,1,0
300622,0,1
300623,0,0
302147,1,0
302148,0,1
302149,0,0
303673,1,0
303674,0,1
303675,0,0
311302,1,0
311303,0,0
312828,1,0
312829,0,1
312830,0,0
314354,1,0
314355,0,1
314356,0,0
325035,1,0
325036,0,0
326561,1,0
326562,0,1
326563,0,0
328087,1,0
328088,0,1
328089,0,0
329613,1,0
329614,0,1
329615,0,0
340294,1,0
340295,0,0
341820,1,0
341821,0,1
341822,0,0
343346,1,0
343346,0,1
343347,0,0
344872,1,0
344872,0,1
344873,0,0
346397,1,0
346398,0,1
346399,0,0
357079,1,0
357079,0,0
358605,1,0
358605,0,1
358606,0,0
360130,1,0
360131,0,1
360132,0,0
361656,1,0
361657,0,1
361658,0,0
363182,1,0
363183,0,1
363184,0,0
373863,1,0
373864,0,0
375389,1,0
375390,0,1
375391,0,0
376915,1,0
376916,0,1
376917,0,0
378441,1,0
378442,0,1
378443,0,0
379967,1,0
379968,0,1
379969,0,0
381493,1,0
381493,0,1
381494,0,0
392174,1,0
392175,0,0
393700,1,0
393700,0,1
393701,0,0
395226,1,0
395226,0,1
395227,0,0
396751,1,0
396752,0,1
396753,0,0
398277,1,0
398278,0,1
398279,0,0
399803,1,0
399804,0,1
399805,0,0
410484,1,0
410485,0,0
412010,1,0
412011,0,1
412012,0,0
413536,1,0
413537,0,1
413538,0,0
419649,1,0
419650,0,0
424229,1,0
424229,0,0
425754,1,0
425755,0,1
425756,0,0
427280,1,0
427281,0,1
427282,0,0
428806,1,0
428807,0,1
428808,0,0
433392,1,0
433393,0,0
434918,1,0
434919,0,1
434920,0,0
436444,1,0
436445,0,1
436446,0,0
445609,1,0
445610,0,0
447135,1,0
447136,0,1
447137,0,0
448661,1,0
448662,0,1
448663,0,0
450187,1,0
450188,0,1
450189,0,0
457816,1,0
457817,0,0
459342,1,0
459343,0,1
459344,0,0
460868,1,0
460869,0,1
460870,0,0
462394,1,0
462395,0,1
462396,0,0
463920,1,0
463921,0,1
463922,0,0
474601,1,0
474602,0,0
476127,1,0
476128,0,1
476129,0,0
477653,1,0
477654,0,1
477655,0,0
479179,1,0
479179,0,1
479180,0,0
480705,1,0
480705,0,1
480706,0,0
491386,1,0
491386,0,0
492912,1,0
492912,0,1
492913,0,0
494437,1,0
494438,0,1
494439,0,0
495963,1,0
495964,0,1
495965,0,0
497489,1,0
497490,0,1
497491,0,0
499015,1,0
499016,0,1
499017,0,0
509696,1,0
509697,0,0
511222,1,0
511223,0,1
511224,0,0
512748,1,0
512749,0,1
512750,0,0
514274,1,0
514275,0,1
514276,0,0
528007,1,0
528008,0,0
529533,1,0
529533,0,1
529534,0,0
531059,1,0
531059,0,1
531060,0,0
538688,1,0
538689,0,0
540214,1,0
540215,0,1
540216,0,0
541740,1,0
541740,0,1
541741,0,0
543266,1,0
543266,0,1
543267,0,0
544791,1,0
544792,0,1
544793,0,0
555473,1,0
555473,0,0
556998,1,0
556999,0,1
557000,0,0
558524,1,0
558525,0,1
558526,0,0
569205,1,0
569206,0,0
570731,1,0
570732,0,1
570733,0,0
575309,1,0
575310,0,0
582938,1,0
582939,0,0
584464,1,0
584465,0,1
584466,0,0
585990,1,0
585991,0,1
585992,0,0
590568,1,0
590569,0,0
598197,1,0
598198,0,0
599723,1,0
599724,0,1
599725,0,0
601249,1,0
601250,0,1
601251,0,0
605827,1,0
605827,0,0
610404,1,0
610405,0,0
614982,1,0
614983,0,0
622611,1,0
622612,0,0
627189,1,0
627190,0,0
631767,1,0
631767,0,0
633292,1,0
633293,0,1
633294,0,0
634818,1,0
634819,0,1
634820,0,0
636344,1,0
636345,0,1
