Time,from_ingress_queue_size,to_ingress_queue_size
112.759,1500,nan
113.759,3000,nan
114.759,4500,nan
115.759,6000,nan
117.759,7500,nan
224.517,6000,0
336.276,4500,0
343.351,6000,0
448.035,4500,0
453.184,6000,0
454.184,7500,0
559.794,6000,0
565.943,7500,0
570.943,9000,0
671.552,7500,0
677.627,9000,0
678.627,10500,0
783.311,9000,0
785.46,10500,0
789.46,12000,0
895.07,10500,0
897.144,12000,0
902.144,13500,0
1006.83,12000,0
1012.9,13500,0
1118.59,12000,0
1123.66,13500,0
1124.66,15000,0
1230.35,13500,0
1234.42,15000,0
1235.42,16500,0
1236.42,18000,0
1342.1,16500,0
1347.25,18000,0
1348.25,19500,0
1453.86,18000,0
1459.01,19500,0
1460.01,21000,0
1565.62,19500,0
1570.7,21000,0
1571.7,22500,0
1677.38,21000,0
1678.53,22500,0
1682.53,24000,0
1789.14,22500,0
1794.29,24000,0
1796.29,25500,0
1900.9,24000,0
1903.97,25500,0
1906.97,27000,0
2012.66,25500,0
2017.73,27000,0
2022.73,28500,0
2124.42,27000,0
2129.49,28500,0
2130.49,30000,0
2236.17,28500,0
2241.25,30000,0
2347.93,28500,0
2353.01,30000,0
2354.01,31500,0
2459.69,30000,0
2463.84,31500,0
2464.84,33000,0
2571.45,31500,0
2575.6,33000,0
2576.6,34500,0
2683.21,33000,0
2687.28,34500,0
2688.28,36000,0
2689.28,37500,0
2794.97,36000,0
2799.12,37500,0
2800.12,39000,0
2906.73,37500,0
2910.88,39000,0
2911.88,40500,0
3018.49,39000,0
3022.63,40500,0
3023.63,42000,0
3130.24,40500,0
3135.39,42000,0
3242,40500,0
3353.76,39000,0
3465.52,37500,0
3577.28,36000,0
3689.04,34500,0
3699.11,36000,0
3800.8,34500,0
3912.55,33000,0
3916.63,34500,0
4024.31,33000,0
4031.39,34500,0
4136.07,33000,0
4142.22,34500,0
4247.83,33000,0
4251.91,34500,0
4359.59,33000,0
4364.66,34500,0
4471.35,33000,0
4583.11,31500,0
4694.87,30000,0
4806.62,28500,0
4814.7,30000,0
4918.38,28500,0
5030.14,27000,0
5038.22,28500,0
5141.9,27000,0
5253.66,25500,0
5365.42,24000,0
5372.49,25500,0
5477.18,24000,0
5483.33,25500,0
5588.94,24000,0
5700.69,22500,0
5812.45,21000,0
5924.21,19500,0
6035.97,18000,0
6147.73,16500,0
6259.49,15000,0
6268.56,16500,0
6371.25,15000,0
6378.4,16500,0
6483.01,15000,0
6490.08,16500,0
6594.76,15000,0
6600.91,16500,0
6706.52,15000,0
6708.6,16500,0
6711.6,18000,0
6818.28,16500,0
6820.36,18000,0
6930.04,16500,0
6934.11,18000,0
6935.11,19500,0
7041.8,18000,0
7153.56,16500,0
7161.63,18000,0
7265.32,16500,0
7272.47,18000,0
7377.07,16500,0
7488.83,15000,0
7600.59,13500,0
7609.67,15000,0
7712.35,13500,0
7719.5,15000,0
7720.5,16500,0
7824.11,15000,0
7830.18,16500,0
7834.18,18000,0
7935.87,16500,0
7942.94,18000,0
8047.63,16500,0
8050.78,18000,0
8159.39,16500,0
8161.46,18000,0
8271.14,16500,0
8275.22,18000,0
8278.22,19500,0
8382.9,18000,0
8388.05,19500,0
8494.66,18000,0
8500.74,19500,0
8505.74,21000,0
8606.42,19500,0
8613.5,21000,0
8718.18,19500,0
8724.33,21000,0
8829.94,19500,0
8941.7,18000,0
9053.46,16500,0
9062.53,18000,0
9165.21,16500,0
9173.36,18000,0
9174.36,19500,0
9276.97,18000,0
9388.73,16500,0
9392.81,18000,0
9500.49,16500,0
9507.56,18000,0
9612.25,16500,0
9621.4,18000,0
9724.01,16500,0
9733.16,18000,0
9835.77,16500,0
9837.84,18000,0
9947.53,16500,0
9951.6,18000,0
10059.3,16500,0
10171,15000,0
10177.1,16500,0
10282.8,15000,0
10290,16500,0
10394.6,15000,0
10401.7,16500,0
10506.3,15000,0
10512.4,16500,0
10517.4,18000,0
10618.1,16500,0
10624.2,18000,0
10729.8,16500,0
10736,18000,0
10841.6,16500,0
10847.7,18000,0
10953.4,16500,0
10955.4,18000,0
11065.1,16500,0
11176.9,15000,0
11180.9,16500,0
11288.6,15000,0
11295.7,16500,0
11400.4,15000,0
11405.5,16500,0
11512.1,15000,0
11517.3,16500,0
11623.9,15000,0
11631,16500,0
11635,18000,0
11735.7,16500,0
11742.7,18000,0
11847.4,16500,0
11854.6,18000,0
11959.2,16500,0
11963.3,18000,0
11964.3,19500,0
12070.9,18000,0
12075.1,19500,0
12076.1,21000,0
12182.7,19500,0
12188.8,21000,0
12294.5,19500,0
12299.6,21000,0
12406.2,19500,0
12408.3,21000,0
12518,19500,0
12629.7,18000,0
12636.8,19500,0
12741.5,18000,0
12746.6,19500,0
12853.3,18000,0
12858.4,19500,0
12965,18000,0
12972.1,19500,0
12976.1,21000,0
13076.8,19500,0
13188.5,18000,0
13196.6,19500,0
13300.3,18000,0
13308.4,19500,0
13412,18000,0
13416.2,19500,0
13523.8,18000,0
13529.9,19500,0
13635.6,18000,0
13639.6,19500,0
13640.6,21000,0
13747.3,19500,0
13751.4,21000,0
13752.4,22500,0
13859.1,21000,0
13865.2,22500,0
13970.8,21000,0
13976,22500,0
14082.6,21000,0
14084.7,22500,0
14194.4,21000,0
14199.4,22500,0
14306.1,21000,0
14311.2,22500,0
14417.9,21000,0
14421.9,22500,0
14529.6,21000,0
14534.7,22500,0
14536.7,24000,0
14641.4,22500,0
14645.5,24000,0
14753.1,22500,0
14864.9,21000,0
14874,22500,0
14976.7,21000,0
15088.4,19500,0
15200.2,18000,0
15208.3,19500,0
15311.9,18000,0
15423.7,16500,0
15431.8,18000,0
15535.5,16500,0
15543.6,18000,0
15647.2,16500,0
15653.4,18000,0
15658.4,19500,0
15759,18000,0
15765.1,19500,0
15870.7,18000,0
15876.9,19500,0
15982.5,18000,0
16094.3,16500,0
16095.3,18000,0
16206,16500,0
16317.8,15000,0
16323.8,16500,0
16429.5,15000,0
16436.7,16500,0
16541.3,15000,0
16545.4,16500,0
16653,15000,0
16661.1,16500,0
16764.8,15000,0
16771,16500,0
16876.6,15000,0
16882.7,16500,0
16988.3,15000,0
16993.4,16500,0
16994.4,18000,0
17100.1,16500,0
17106.2,18000,0
17211.8,16500,0
17216,18000,0
17323.6,16500,0
17329.7,18000,0
17435.4,16500,0
17440.5,18000,0
17547.1,16500,0
17549.2,18000,0
17552.2,19500,0
17658.9,18000,0
17660,19500,0
17661,21000,0
17770.6,19500,0
17776.7,21000,0
17882.4,19500,0
17885.5,21000,0
17994.2,19500,0
17999.2,21000,0
18002.2,22500,0
18105.9,21000,0
18217.7,19500,0
18329.4,18000,0
18337.5,19500,0
18441.2,18000,0
18448.3,19500,0
18449.3,21000,0
18552.9,19500,0
18559.1,21000,0
18564.1,22500,0
18664.7,21000,0
18672.9,22500,0
18776.5,21000,0
18782.5,22500,0
18888.2,21000,0
18893.4,22500,0
19000,21000,0
19002.1,22500,0
19111.7,21000,0
19113.8,22500,0
19223.5,21000,0
19229.6,22500,0
19335.3,21000,0
19341.4,22500,0
19447,21000,0
19453.2,22500,0
19558.8,21000,0
19561.9,22500,0
19670.5,21000,0
19675.6,22500,0
19782.3,21000,0
19787.4,22500,0
19790.4,24000,0
19894.1,22500,0
19900.2,24000,0
