Time,from_ingress_queue_size,to_ingress_queue_size
478.837,64,nan
955.674,0,nan
956.674,0,0
1454.41,64,0
1930.25,128,0
1931.25,64,0
1932.25,64,0
2408.09,0,0
2409.09,0,0
2428.99,64,0
2903.83,128,0
2905.83,64,0
2906.83,64,0
3382.66,64,0
3383.66,64,0
3858.5,128,0
3859.5,64,0
3860.5,64,0
4336.34,64,0
4337.34,64,0
4812.17,128,0
4813.17,64,0
4814.17,64,0
5290.01,64,0
5291.01,64,0
5766.85,64,0
5767.85,64,0
6242.69,128,0
6243.69,64,0
6244.69,64,0
6720.52,64,0
6721.52,64,0
7196.36,128,0
7197.36,64,0
7198.36,64,0
7674.2,64,0
7675.2,64,0
8150.03,128,0
8151.03,64,0
8152.03,64,0
8627.87,64,0
8628.87,64,0
9103.71,128,0
9104.71,64,0
9105.71,64,0
9581.55,64,0
9582.55,64,0
10057.4,128,0
10058.4,64,0
10059.4,64,0
10535.2,64,0
10536.2,64,0
11011.1,128,0
11012.1,64,0
11013.1,64,0
11488.9,64,0
11489.9,64,0
11964.7,128,0
11965.7,64,0
11966.7,64,0
12442.6,64,0
12443.6,64,0
12918.4,128,0
12919.4,64,0
12920.4,64,0
13396.2,64,0
13397.2,64,0
13872.1,128,0
13873.1,64,0
13874.1,64,0
14349.9,64,0
14350.9,64,0
14825.8,128,0
14826.8,64,0
14827.8,64,0
15303.6,64,0
15304.6,64,0
15779.4,128,0
15780.4,64,0
15781.4,64,0
16257.3,64,0
16258.3,64,0
16733.1,128,0
16734.1,64,0
16735.1,64,0
17210.9,64,0
17211.9,64,0
17686.8,128,0
17687.8,64,0
17688.8,64,0
18164.6,64,0
18165.6,64,0
18641.5,0,0
18642.5,0,0
19140.2,64,0
19617,0,0
19618,0,0
20113.8,64,0
20590.6,0,0
20591.6,0,0
20592.6,64,0
21069.4,0,0
21070.4,0,0
21088.3,64,0
21565.2,0,0
21566.2,64,0
22041,128,0
22043,64,0
22044,64,0
22518.9,128,0
22519.9,64,0
22520.9,64,0
22993.7,128,0
22996.7,64,0
22997.7,64,0
23472.5,128,0
23473.5,64,0
23474.5,64,0
23948.4,128,0
23950.4,64,0
23951.4,64,0
24426.2,128,0
24427.2,64,0
24428.2,64,0
24903,128,0
24904,64,0
24905,64,0
25379.9,128,0
25380.9,64,0
25381.9,64,0
25856.7,128,0
25857.7,64,0
25858.7,64,0
26333.5,128,0
26334.5,64,0
26335.5,64,0
26810.4,128,0
26811.4,64,0
26812.4,64,0
27285.2,128,0
27288.2,64,0
27289.2,64,0
27764.1,128,0
27765.1,64,0
27766.1,64,0
28239.9,128,0
28241.9,64,0
28242.9,64,0
28717.7,128,0
28718.7,64,0
28719.7,64,0
29192.6,128,0
29195.6,64,0
29196.6,64,0
29671.4,128,0
29672.4,64,0
29673.4,64,0
30147.2,128,0
30149.2,64,0
30150.2,64,0
30625.1,128,0
30626.1,64,0
30627.1,64,0
31099.9,128,0
31102.9,64,0
31103.9,64,0
31578.8,128,0
31579.8,64,0
31580.8,64,0
32054.6,128,0
32056.6,64,0
32057.6,64,0
32532.4,128,0
32533.4,64,0
32534.4,64,0
33007.3,128,0
33010.3,64,0
33011.3,64,0
33486.1,128,0
33487.1,64,0
33488.1,64,0
33961.9,128,0
33963.9,64,0
33964.9,64,0
34439.8,128,0
34440.8,64,0
34441.8,64,0
34915.6,128,0
34917.6,64,0
34918.6,64,0
35393.5,128,0
35394.5,64,0
35395.5,64,0
35869.3,128,0
35871.3,64,0
35872.3,64,0
36347.1,128,0
36348.1,64,0
36349.1,64,0
36823,128,0
36825,64,0
36826,64,0
37300.8,128,0
37301.8,64,0
37302.8,64,0
37776.6,128,0
37778.6,64,0
37779.6,64,0
38254.5,128,0
38255.5,64,0
38256.5,64,0
38730.3,128,0
38732.3,64,0
38733.3,64,0
39208.2,128,0
39209.2,64,0
39210.2,64,0
39684,128,0
39686,64,0
39687,64,0
40161.8,128,0
40162.8,64,0
40163.8,64,0
40637.7,128,0
40639.7,64,0
40640.7,64,0
41115.5,128,0
41116.5,64,0
41117.5,64,0
41591.3,128,0
41593.3,64,0
41594.3,64,0
42069.2,128,0
42070.2,64,0
42071.2,64,0
42547,0,0
42548,0,0
43046.8,64,0
43523.6,0,0
43524.6,0,0
44023.3,64,0
44499.2,128,0
44500.2,64,0
44501.2,64,0
44977,0,0
44978,0,0
44997.9,64,0
45473.7,128,0
45474.7,64,0
45475.7,64,0
45951.6,64,0
45952.6,64,0
46427.4,128,0
46428.4,64,0
46429.4,64,0
46905.3,64,0
46906.3,64,0
47381.1,128,0
47382.1,64,0
47383.1,64,0
47858.9,64,0
47859.9,64,0
48334.8,128,0
48335.8,64,0
48336.8,64,0
48812.6,64,0
48813.6,64,0
49288.4,128,0
49289.4,64,0
49290.4,64,0
49766.3,64,0
49767.3,64,0
50242.1,128,0
50243.1,64,0
50244.1,64,0
50719.9,0,0
50720.9,0,0
