Time,from_ingress_queue_size,to_ingress_queue_size
572.205,1,nan
572.95,0,1
573.95,0,0
1531.88,1,0
1532.62,0,1
1533.62,0,0
1722.61,1,0
1723.36,0,1
1724.36,0,0
3067.25,1,0
3067.99,0,1
3068.99,0,0
3257.98,1,0
3258.73,0,1
3259.73,0,0
3448.72,1,0
3449.46,0,1
3450.46,0,0
3639.45,1,0
3640.2,0,1
3641.2,0,0
5356.07,1,0
5356.81,0,1
5357.81,0,0
5546.8,1,0
5547.55,0,1
5548.55,0,0
5737.54,1,0
5738.28,0,1
5739.28,0,0
5928.27,1,0
5929.02,0,1
5930.02,0,0
6119.01,1,0
6119.75,0,1
6120.75,0,0
6309.74,1,0
6310.49,0,1
6311.49,0,0
6500.48,1,0
6501.22,0,1
6502.22,0,0
6691.21,1,0
6691.96,0,1
6692.96,0,0
9933.7,1,0
9934.45,0,1
9935.45,0,0
10124.4,1,0
10125.2,0,1
10126.2,0,0
10315.2,1,0
10315.9,0,1
10316.9,0,0
10505.9,1,0
10506.7,0,1
10507.7,0,0
10696.6,1,0
10697.4,0,1
10698.4,0,0
10887.4,1,0
10888.1,0,1
10889.1,0,0
11078.1,1,0
11078.9,0,1
11079.9,0,0
11268.8,1,0
11269.6,0,1
11270.6,0,0
14511.3,1,0
14512.1,0,1
14513.1,0,0
14702.1,1,0
14702.8,0,1
14703.8,0,0
14892.8,1,0
14893.6,0,1
14894.6,0,0
15083.5,1,0
15084.3,0,1
15085.3,0,0
15274.3,1,0
15275,0,1
15276,0,0
15465,1,0
15465.8,0,1
15466.8,0,0
16800.2,1,0
16800.9,0,1
16801.9,0,0
17952.8,1,0
17953.5,0,1
17954.5,0,0
18143.5,1,0
18144.3,0,1
18145.3,0,0
19488.2,1,0
19488.9,0,1
19489.9,0,0
19678.9,1,0
19679.7,0,1
19680.7,0,0
19869.6,1,0
19870.4,0,1
19871.4,0,0
20060.4,1,0
20061.1,0,1
20062.1,0,0
21777,1,0
21777.7,0,1
21778.7,0,0
21967.7,1,0
21968.5,0,1
21969.5,0,0
22158.5,1,0
22159.2,0,1
22160.2,0,0
22349.2,1,0
