Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
747.058,0,0
2241.32,10000,0
2242.32,20000,0
2986.38,10000,10000
2987.38,10000,0
3731.44,0,10000
3737.44,0,0
6709.67,10000,0
6710.67,20000,0
6723.97,30000,0
7454.73,20000,10000
7457.66,20000,0
8199.79,10000,10000
8202.71,10000,0
8944.85,0,10000
8946.85,0,0
14906.3,10000,0
15651.4,0,10000
15653.4,0,0
16067,10000,0
16394.4,20000,0
16812,10000,0
17557.1,0,10000
17561.1,0,0
28317.4,10000,0
29062.4,0,10000
29064.4,0,0
31296.6,10000,0
32041.6,0,10000
32046.6,0,0
41728.4,10000,0
41729.4,20000,0
42473.5,10000,10000
42475.5,10000,0
43218.5,0,10000
43219.5,0,0
43961.6,10000,0
44706.6,0,10000
44710.6,0,0
51414.2,10000,0
52159.2,0,10000
52161.2,0,0
52902.3,10000,0
52903.3,20000,0
53647.3,10000,10000
53651.3,10000,0
54392.4,0,10000
54395.3,0,0
55137.4,10000,0
55882.5,0,10000
55886.4,0,0
63335.1,10000,0
64080.1,0,10000
64083.1,0,0
64823.2,10000,0
65568.3,0,10000
65574.2,0,0
66313.3,10000,0
67058.4,0,10000
67062.3,0,0
67804.4,10000,0
67805.4,20000,0
68549.5,10000,10000
68552.4,10000,0
69294.5,0,10000
69296.5,0,0
77492.2,10000,0
78236.2,20000,0
78237.2,10000,10000
78239.2,10000,0
78982.3,0,10000
78984.3,0,0
82705.6,10000,0
83450.7,0,10000
83455.6,0,0
88663.1,10000,0
89408.1,0,10000
89409,0,0
89412.1,10000,0
90157.2,0,10000
90160.1,0,0
91646.3,10000,0
92391.3,0,10000
92394.3,0,0
98348.8,10000,0
98349.8,20000,0
99093.9,10000,10000
99094.8,10000,0
99838.9,0,10000
99840.9,0,0
99843.9,10000,0
100589,0,10000
100591,0,0
110274,10000,0
110275,20000,0
111019,10000,10000
111023,10000,0
111764,0,10000
111766,0,0
112509,10000,0
113254,0,10000
113257,0,0
123681,10000,0
124426,0,10000
124427,0,0
124430,10000,0
125175,0,10000
125179,0,0
126665,10000,0
127410,0,10000
127413,0,0
140072,10000,0
140073,20000,0
140817,20000,10000
140820,20000,0
141562,10000,10000
141567,10000,0
142307,0,10000
142312,0,0
143054,10000,0
143799,0,10000
143805,0,0
156463,10000,0
157208,0,10000
157210,0,0
157213,10000,0
157214,20000,0
157958,10000,10000
157961,10000,0
158704,0,10000
158706,0,0
172111,10000,0
172855,20000,0
172856,10000,10000
172858,10000,0
173601,0,10000
173602,10000,10000
173605,10000,0
174347,0,10000
174350,0,0
183286,10000,0
184030,20000,0
184031,20000,10000
184033,20000,0
184777,10000,10000
184778,20000,10000
184780,20000,0
185522,10000,10000
185526,10000,0
186267,0,10000
186271,0,0
197447,10000,0
198192,0,10000
198194,0,0
200427,10000,0
200428,20000,0
201172,10000,10000
201175,10000,0
201917,0,10000
201919,0,0
212344,10000,0
213089,0,10000
213091,0,0
213835,10000,0
214580,0,10000
214586,0,0
215325,10000,0
216070,0,10000
216075,0,0
225014,10000,0
225015,20000,0
225759,10000,10000
225762,10000,0
226501,20000,0
226504,10000,10000
226506,10000,0
227249,0,10000
227251,0,0
227991,10000,0
228736,0,10000
228741,0,0
236930,10000,0
237675,10000,10000
237676,20000,10000
237678,20000,0
238420,10000,10000
238423,10000,0
239165,0,10000
239167,10000,10000
239170,10000,0
239912,0,10000
239915,0,0
240657,10000,0
241402,0,10000
241407,0,0
249596,10000,0
250341,0,10000
250344,0,0
251088,10000,0
251833,0,10000
251839,0,0
252578,10000,0
253321,20000,0
253322,30000,0
253323,20000,10000
253325,20000,0
254068,10000,10000
254070,10000,0
254813,10000,10000
254816,10000,0
255558,0,10000
255561,0,0
263007,10000,0
263752,0,10000
263755,0,0
264499,10000,0
265244,0,10000
265250,0,0
269717,10000,0
269718,20000,0
270462,10000,10000
270465,10000,0
271207,0,10000
271209,0,0
280144,10000,0
280889,0,10000
280891,0,0
281635,10000,0
282380,0,10000
282386,0,0
283125,10000,0
283868,20000,0
283870,10000,10000
283872,10000,0
284615,0,10000
284617,0,0
292065,10000,0
292066,20000,0
292810,10000,10000
292812,10000,0
293555,0,10000
293556,10000,10000
293559,10000,0
294301,0,10000
294304,0,0
305475,10000,0
305476,20000,0
306220,20000,10000
306223,20000,0
306965,10000,10000
306970,10000,0
307710,0,10000
307715,0,0
318886,10000,0
319631,10000,10000
319634,10000,0
320376,0,10000
320379,0,0
334537,10000,0
335282,0,10000
335285,0,0
345709,10000,0
345710,20000,0
346454,10000,10000
346455,10000,0
347199,0,10000
347200,0,0
353908,10000,0
354653,0,10000
354654,10000,10000
354657,10000,0
355399,0,10000
355401,0,0
361358,10000,0
361359,20000,0
362103,20000,10000
362106,20000,0
362848,10000,10000
362851,10000,0
363593,0,10000
363595,0,0
365829,10000,0
366574,0,10000
366577,0,0
367317,10000,0
367318,20000,0
368062,10000,10000
368064,20000,10000
368067,20000,0
368807,10000,10000
368810,10000,0
369552,0,10000
369555,0,0
371044,10000,0
371789,0,10000
371792,0,0
