Time,from_ingress_queue_size,to_ingress_queue_size
2572.2,1,nan
2572.95,0,nan
2953.67,1,nan
2954.42,0,nan
3572.95,0,1
3573.95,0,0
3954.42,0,1
3956.42,0,0
4574.2,1,0
4574.95,0,0
4955.67,1,0
4956.42,0,0
5574.95,0,1
5576.95,0,0
5956.42,0,1
5957.42,0,0
7146.9,1,0
7147.64,0,0
7529.37,1,0
7530.11,0,0
8147.64,0,1
8148.64,0,0
8530.11,0,1
8532.11,0,0
11835.4,1,0
11836.1,0,0
12221.4,1,0
12222.1,0,0
12836.1,0,1
12837.1,0,0
13222.1,0,1
13224.1,0,0
16637.8,1,0
16638.6,0,0
17029,1,0
17029.7,0,0
17638.6,0,1
17639.6,0,0
18029.7,0,1
18031.7,0,0
21554.4,1,0
21555.1,0,0
21952.4,1,0
21953.2,0,0
22555.1,0,1
22556.1,0,0
22953.2,0,1
22955.2,0,0
26585.2,1,0
26585.9,0,0
26991.7,1,0
26992.4,0,0
27585.9,0,1
27586.9,0,0
27992.4,0,1
27994.4,0,0
31730,1,0
31730.8,0,0
32146.8,1,0
32147.6,0,0
32730.8,0,1
32731.8,0,0
33147.6,0,1
33149.6,0,0
36988.9,1,0
36989.6,0,0
37417.7,1,0
37418.4,0,0
37989.6,0,1
37990.6,0,0
38418.4,0,1
38420.4,0,0
42361.5,1,0
42362.2,0,0
42804.1,1,0
42804.8,0,0
43362.2,0,1
43363.2,0,0
43804.8,0,1
43806.8,0,0
47847.6,1,0
47848.3,0,0
48305.7,1,0
48306.5,0,0
48848.3,0,1
48849.3,0,0
49306.5,0,1
49308.5,0,0
53446.7,1,0
53447.5,0,0
53922.3,1,0
53923,0,0
54447.5,0,1
54448.5,0,0
54923,0,1
54925,0,0
59158.4,1,0
59159.2,0,0
59653.3,1,0
59654,0,0
60159.2,0,1
60160.2,0,0
60654,0,1
60656,0,0
64982.2,1,0
64983,0,0
65498.2,1,0
65498.9,0,0
65983,0,1
65984,0,0
66498.9,0,1
66500.9,0,0
70917.4,1,0
70918.1,0,0
71456.4,1,0
71457.1,0,0
71918.1,0,1
71919.1,0,0
72457.1,0,1
72459.1,0,0
76963.3,1,0
76964,0,0
77527.2,1,0
77527.9,0,0
77964,0,1
77965,0,0
78527.9,0,1
