Time,from_ingress_queue_size,to_ingress_queue_size
1190.73,256,nan
1383.47,512,nan
1572.2,256,nan
1953.67,0,nan
2572.2,0,0
2953.67,0,0
3192.73,256,0
3383.47,512,0
3574.2,256,0
3955.67,0,0
4574.2,0,0
4955.67,0,0
5765.43,256,0
6146.9,0,0
6147.9,256,0
6529.37,0,0
7146.9,0,0
7529.37,0,0
10453.9,256,0
10835.4,0,0
10839.9,256,0
11221.4,0,0
11835.4,0,0
12221.4,0,0
15256.3,256,0
15637.8,0,0
15647.5,256,0
16029,0,0
16637.8,0,0
17029,0,0
20172.9,256,0
20554.4,0,0
20571,256,0
20952.4,0,0
21554.4,0,0
21952.4,0,0
25203.7,256,0
25585.2,0,0
25610.2,256,0
25991.7,0,0
26585.2,0,0
26991.7,0,0
30348.6,256,0
30730,0,0
30765.3,256,0
31146.8,0,0
31730,0,0
32146.8,0,0
35607.4,256,0
35988.9,0,0
36036.2,256,0
36417.7,0,0
36988.9,0,0
37417.7,0,0
40980,256,0
41361.5,0,0
41422.6,256,0
41804.1,0,0
42361.5,0,0
42804.1,0,0
46466.1,256,0
46847.6,0,0
46924.3,256,0
47305.7,0,0
47847.6,0,0
48305.7,0,0
52065.2,256,0
52446.7,0,0
52540.8,256,0
52922.3,0,0
53446.7,0,0
53922.3,0,0
57777,256,0
58158.4,0,0
58271.8,256,0
58653.3,0,0
59158.4,0,0
59653.3,0,0
63600.7,256,0
63982.2,0,0
64116.7,256,0
64498.2,0,0
64982.2,0,0
65498.2,0,0
69535.9,256,0
69917.4,0,0
70074.9,256,0
70456.4,0,0
70917.4,0,0
71456.4,0,0
75581.8,256,0
75963.3,0,0
76145.7,256,0
76527.2,0,0
76963.3,0,0
77527.2,0,0
81737.6,256,0
82119.1,0,0
82328.4,256,0
82709.8,0,0
83119.1,0,0
83709.8,0,0
88002.5,256,0
88384,0,0
88622,256,0
89003.5,0,0
89384,0,0
90003.5,0,0
94375.6,256,0
94757.1,0,0
95025.7,256,0
95407.2,0,0
95757.1,0,0
96407.2,0,0
100856,256,0
101237,0,0
101539,256,0
101920,0,0
102237,0,0
102920,0,0
107442,256,0
107824,0,0
108160,256,0
108541,0,0
108824,0,0
109541,0,0
114134,256,0
114515,0,0
114888,256,0
115269,0,0
115515,0,0
116269,0,0
120929,256,0
121311,0,0
121721,256,0
122103,0,0
122311,0,0
123103,0,0
127828,256,0
128209,0,0
128660,256,0
129041,0,0
129209,0,0
130041,0,0
134827,256,0
135209,0,0
135702,256,0
136083,0,0
136209,0,0
137083,0,0
141927,256,0
142309,0,0
142846,256,0
143227,0,0
143309,0,0
144227,0,0
149126,256,0
149508,0,0
150090,256,0
150472,0,0
150508,0,0
151472,0,0
156423,256,0
156804,0,0
157435,256,0
157804,256,0
157816,0,0
158816,0,0
163815,256,0
164197,0,0
164877,256,0
165197,256,0
165258,0,0
166258,0,0
171302,256,0
171684,0,0
172415,256,0
172684,256,0
172797,0,0
173797,0,0
178883,256,0
179264,0,0
180049,256,0
180264,256,0
180430,0,0
181430,0,0
186555,256,0
186937,0,0
187776,256,0
187937,256,0
188158,0,0
189158,0,0
194318,256,0
194699,0,0
195596,256,0
195699,256,0
195977,0,0
196977,0,0
202169,256,0
202551,0,0
203505,256,0
203551,256,0
203887,0,0
204887,0,0
210108,256,0
210489,0,0
211489,0,0
211504,256,0
211886,0,0
212886,0,0
218132,256,0
218513,0,0
219513,0,0
219590,256,0
219972,0,0
220972,0,0
226240,256,0
226622,0,0
227622,0,0
227762,256,0
228143,0,0
229143,0,0
234431,256,0
234812,0,0
235812,0,0
236018,256,0
236399,0,0
237399,0,0
242703,256,0
243084,0,0
244084,0,0
244356,256,0
244738,0,0
245738,0,0
251054,256,0
251435,0,0
252435,0,0
252776,256,0
253157,0,0
254157,0,0
259483,256,0
259864,0,0
260864,0,0
261274,256,0
261656,0,0
262656,0,0
267988,256,0
268369,0,0
269369,0,0
269851,256,0
270232,0,0
271232,0,0
276567,256,0
276949,0,0
277949,0,0
278503,256,0
278885,0,0
279885,0,0
285220,256,0
285602,0,0
286602,0,0
287230,256,0
