Time,from_ingress_queue_size,to_ingress_queue_size
9159.27,1,nan
9160.02,0,0
13742.4,1,0
13743.1,0,0
19845.9,1,0
19846.7,0,0
22897.7,1,0
22898.4,0,1
22899.4,0,0
25950.4,1,0
25951.2,0,1
25952.2,0,0
32062.4,1,0
32063.2,0,0
35116.9,1,0
35117.7,0,1
35118.7,0,0
41225.9,1,0
41226.7,0,0
44277.7,1,0
44278.4,0,1
44279.4,0,0
47331.5,1,0
47332.2,0,1
47333.2,0,0
54960.9,1,0
54961.6,0,0
58012.6,1,0
58013.4,0,1
58014.4,0,0
61064.4,1,0
61065.1,0,1
61066.1,0,0
64116.1,1,0
64116.9,0,1
64117.9,0,0
71745.5,1,0
71746.3,0,0
74797.3,1,0
74798,0,1
74799,0,0
77849,1,0
77849.8,0,1
77850.8,0,0
80900.8,1,0
80901.5,0,1
80902.5,0,0
88530.2,1,0
88530.9,0,0
91581.9,1,0
91582.7,0,1
91583.7,0,0
94633.7,1,0
94634.5,0,1
94635.5,0,0
97685.5,1,0
97686.2,0,1
97687.2,0,0
106841,1,0
106841,0,0
109892,1,0
109893,0,1
109894,0,0
112944,1,0
112945,0,1
112946,0,0
115996,1,0
115997,0,1
115998,0,0
122100,1,0
122100,0,0
125151,1,0
125152,0,1
125153,0,0
128203,1,0
128204,0,1
128205,0,0
135832,1,0
135833,0,0
138884,1,0
138885,0,1
138886,0,0
143462,1,0
143463,0,0
146514,1,0
146514,0,1
146515,0,0
152617,1,0
152618,0,0
157195,1,0
157195,0,0
160247,1,0
160247,0,1
160248,0,0
167876,1,0
167877,0,0
172454,1,0
172454,0,0
175505,1,0
175506,0,1
175507,0,0
184661,1,0
184661,0,0
189238,1,0
189239,0,0
192290,1,0
192291,0,1
192292,0,0
201445,1,0
201446,0,0
207549,1,0
207549,0,0
210601,1,0
210601,0,1
210602,0,0
222808,1,0
222808,0,0
228911,1,0
228912,0,0
242644,1,0
242645,0,0
248747,1,0
248748,0,0
256377,1,0
256378,0,0
262480,1,0
262481,0,0
271636,1,0
271636,0,0
277739,1,0
277740,0,0
280791,1,0
280792,0,1
280793,0,0
289946,1,0
289947,0,0
294524,1,0
294525,0,0
297576,1,0
297576,0,1
297577,0,0
306731,1,0
306732,0,0
312834,1,0
312835,0,0
315886,1,0
315887,0,1
315888,0,0
321990,1,0
321990,0,0
328093,1,0
328094,0,0
331145,1,0
331146,0,1
331147,0,0
334197,1,0
334197,0,1
334198,0,0
344878,1,0
344879,0,0
347930,1,0
347930,0,1
347931,0,0
357085,1,0
357086,0,0
360137,1,0
360137,0,1
360138,0,0
363188,1,0
363189,0,1
363190,0,0
373870,1,0
373870,0,0
376921,1,0
376922,0,1
376923,0,0
389128,1,0
389129,0,0
392180,1,0
392181,0,1
392182,0,0
405913,1,0
405914,0,0
408965,1,0
408966,0,1
408967,0,0
424224,1,0
424224,0,0
439482,1,0
439483,0,0
456267,1,0
456268,0,0
473052,1,0
473052,0,0
489836,1,0
489837,0,0
505095,1,0
505096,0,0
517302,1,0
517303,0,0
523416,1,0
523417,0,0
527996,1,0
527996,0,0
537151,1,0
537152,0,0
540203,1,0
540203,0,1
540204,0,0
547832,1,0
547833,0,0
550884,1,0
550884,0,1
550885,0,0
553935,1,0
553936,0,1
553937,0,0
563091,1,0
563092,0,0
566143,1,0
566143,0,1
566144,0,0
569194,1,0
569195,0,1
569196,0,0
572246,1,0
572247,0,1
572248,0,0
579875,1,0
579876,0,0
582927,1,0
582928,0,1
582929,0,0
585979,1,0
585980,0,1
585981,0,0
589031,1,0
589031,0,1
589032,0,0
596660,1,0
596661,0,0
599712,1,0
599713,0,1
599714,0,0
602764,1,0
602764,0,1
602765,0,0
610393,1,0
610394,0,0
613445,1,0
613446,0,1
613447,0,0
616497,1,0
616497,0,1
616498,0,0
619548,1,0
619549,0,1
619550,0,0
628704,1,0
628704,0,0
631755,1,0
631756,0,1
631757,0,0
642436,1,0
642437,0,0
645488,1,0
645489,0,1
645490,0,0
648540,1,0
648541,0,1
648542,0,0
659221,1,0
659222,0,0
662273,1,0
662274,0,1
662275,0,0
665325,1,0
665325,0,1
665326,0,0
676006,1,0
676007,0,0
679058,1,0
679058,0,1
679059,0,0
691265,1,0
691265,0,0
694316,1,0
694317,0,1
694318,0,0
708049,1,0
708050,0,0
718730,1,0
718731,0,0
730937,1,0
730938,0,0
744670,1,0
744671,0,0
747722,1,0
747723,0,1
747724,0,0
761455,1,0
761456,0,0
764507,1,0
764508,0,1
764509,0,0
779766,1,0
779766,0,0
782817,1,0
782818,0,1
782819,0,0
791973,1,0
791973,0,0
795024,1,0
795025,0,1
795026,0,0
798076,1,0
798077,0,1
798078,0,0
807231,1,0
807232,0,0
810283,1,0
810284,0,1
810285,0,0
813335,1,0
813336,0,1
813337,0,0
825542,1,0
825543,0,0
828594,1,0
828594,0,1
828595,0,0
837749,1,0
837750,0,0
840801,1,0
840801,0,1
840802,0,0
851482,1,0
851483,0,0
854534,1,0
854534,0,1
854535,0,0
857585,1,0
857586,0,1
857587,0,0
868267,1,0
868267,0,0
871318,1,0
871319,0,1
871320,0,0
883525,1,0
883526,0,0
886577,1,0
886578,0,1
886579,0,0
895732,1,0
895733,0,0
898785,1,0
898786,0,1
898787,0,0
904897,1,0
904898,0,0
907952,1,0
907952,0,1
907953,0,0
911003,1,0
911004,0,1
911005,0,0
917107,1,0
917108,0,0
920159,1,0
920159,0,1
920160,0,0
923210,1,0
923211,0,1
923212,0,0
926262,1,0
926263,0,1
926264,0,0
935417,1,0
935418,0,0
938469,1,0
938470,0,1
938471,0,0
941521,1,0
941522,0,1
941523,0,0
944573,1,0
944573,0,1
944574,0,0
950676,1,0
950677,0,0
953728,1,0
953729,0,1
953730,0,0
956780,1,0
956781,0,1
956782,0,0
959832,1,0
959832,0,1
959833,0,0
962883,1,0
962884,0,1
962885,0,0
968987,1,0
968988,0,0
972039,1,0
972039,0,1
972040,0,0
975090,1,0
975091,0,1
975092,0,0
978142,1,0
978143,0,1
978144,0,0
981194,1,0
981195,0,1
981196,0,0
985771,1,0
985772,0,0
988823,1,0
988824,0,1
988825,0,0
991875,1,0
991876,0,1
991877,0,0
994927,1,0
994927,0,1
994928,0,0
997978,1,0
997979,0,1
997980,0,0
1.00256e+06,1,0
1.00256e+06,0,0
1.00713e+06,1,0
1.00713e+06,0,0
1.01019e+06,1,0
1.01019e+06,0,1
1.01019e+06,0,0
1.01324e+06,1,0
1.01324e+06,0,1
1.01324e+06,0,0
1.01629e+06,1,0
1.01629e+06,0,1
1.01629e+06,0,0
1.0224e+06,1,0
1.0224e+06,0,0
1.02546e+06,1,0
1.02546e+06,0,1
1.02546e+06,0,0
1.02851e+06,1,0
1.02851e+06,0,1
1.02851e+06,0,0
1.03462e+06,1,0
1.03462e+06,0,0
1.03768e+06,1,0
1.03768e+06,0,1
1.03768e+06,0,0
1.04531e+06,1,0
1.04531e+06,0,0
1.04836e+06,1,0
1.04836e+06,0,1
1.04836e+06,0,0
1.05447e+06,1,0
1.05447e+06,0,0
1.05752e+06,1,0
1.05753e+06,0,1
1.05753e+06,0,0
1.06058e+06,1,0
1.06058e+06,0,1
1.06058e+06,0,0
1.06821e+06,1,0
1.06821e+06,0,0
1.07126e+06,1,0
1.07126e+06,0,1
1.07126e+06,0,0
1.07431e+06,1,0
1.07431e+06,0,1
1.07431e+06,0,0
1.07736e+06,1,0
1.07736e+06,0,1
1.07736e+06,0,0
1.08499e+06,1,0
1.08499e+06,0,0
1.08804e+06,1,0
1.08804e+06,0,1
1.08804e+06,0,0
1.09109e+06,1,0
1.09109e+06,0,1
1.0911e+06,0,0
1.09415e+06,1,0
1.09415e+06,0,1
1.09415e+06,0,0
1.10177e+06,1,0
1.10178e+06,0,0
1.10483e+06,1,0
1.10483e+06,0,1
1.10483e+06,0,0
1.10788e+06,1,0
1.10788e+06,0,1
1.10788e+06,0,0
1.11093e+06,1,0
1.11093e+06,0,1
1.11093e+06,0,0
1.12009e+06,1,0
1.12009e+06,0,0
1.12314e+06,1,0
1.12314e+06,0,1
1.12314e+06,0,0
1.12619e+06,1,0
1.12619e+06,0,1
1.12619e+06,0,0
1.13449e+06,1,0
1.13449e+06,0,0
1.15589e+06,1,0
1.15589e+06,0,0
