Time,from_ingress_queue_size,to_ingress_queue_size
4473.42,1,nan
4473.5,0,0
8198.71,1,0
8198.79,0,0
14901.2,1,0
14901.3,0,0
16391.4,1,0
16391.4,0,0
28313.3,1,0
28313.4,0,0
29807.4,1,0
29807.5,0,0
30552.5,1,0
30552.5,0,0
31297.5,1,0
31297.6,0,0
38745.1,1,0
38745.2,0,0
39489.2,1,0
39489.2,0,0
40233.2,1,0
40233.3,0,0
49920,1,0
49920,0,0
50665,1,0
50665.1,0,0
51409.1,1,0
51409.2,0,0
52904.2,1,0
52904.3,0,0
61840.9,1,0
61841,0,0
64079.1,1,0
64079.1,0,0
64824.1,1,0
64824.2,0,0
74510.9,1,0
74511,0,0
76741.1,1,0
76741.1,0,0
77491.1,1,0
77491.2,0,0
86428.8,1,0
86428.9,0,0
87916.9,1,0
87917,0,0
88666,1,0
88666.1,0,0
89411,1,0
89411.1,0,0
97603.7,1,0
97603.8,0,0
99092.8,1,0
99092.9,0,0
100588,1,0
100588,0,0
101332,1,0
101332,0,0
102073,1,0
102073,0,0
112509,1,0
112509,0,0
113994,1,0
113994,0,0
115488,1,0
115488,0,0
116233,1,0
116233,0,0
116974,1,0
116974,0,0
118464,1,0
118464,0,0
125171,1,0
125171,0,0
126660,1,0
126660,0,0
128899,1,0
128899,0,0
129644,1,0
129644,0,0
130385,1,0
130385,0,0
131875,1,0
131875,0,0
132623,1,0
132623,0,0
137837,1,0
137837,0,0
139326,1,0
139326,0,0
142310,1,0
142310,0,0
143055,1,0
143055,0,0
143800,1,0
143800,0,0
145286,1,0
145286,0,0
146034,1,0
146035,0,0
146782,1,0
146782,0,0
151993,1,0
151993,0,0
153487,1,0
153487,0,0
156466,1,0
156466,0,0
157957,1,0
157957,0,0
158701,1,0
158702,0,0
160193,1,0
160193,0,0
160938,1,0
160938,0,0
161683,1,0
161683,0,0
163168,1,0
163168,0,0
167640,1,0
167640,0,0
172859,1,0
172859,0,0
173603,1,0
173603,0,0
175094,1,0
175094,0,0
175839,1,0
175839,0,0
181796,1,0
181796,0,0
185524,1,0
185524,0,0
187010,1,0
187010,0,0
194461,1,0
194461,0,0
198190,1,0
198190,0,0
199676,1,0
199676,0,0
205637,1,0
205637,0,0
207126,1,0
207126,0,0
210856,1,0
210856,0,0
212347,1,0
212347,0,0
219793,1,0
219793,0,0
221282,1,0
221282,0,0
222032,1,0
222032,0,0
233204,1,0
233204,0,0
233949,1,0
233949,0,0
234693,1,0
234693,0,0
248850,1,0
248851,0,0
249596,1,0
249596,0,0
260026,1,0
260026,0,0
271202,1,0
271202,0,0
272691,1,0
272691,0,0
285358,1,0
285358,0,0
286848,1,0
286849,0,0
297283,1,0
297283,0,0
298768,1,0
298768,0,0
300258,1,0
300259,0,0
310694,1,0
310694,0,0
312184,1,0
312184,0,0
313670,1,0
313670,0,0
324101,1,0
324101,0,0
325590,1,0
325591,0,0
333042,1,0
333042,0,0
334531,1,0
334531,0,0
335277,1,0
335277,0,0
344963,1,0
344963,0,0
346453,1,0
346453,0,0
347198,1,0
347198,0,0
348692,1,0
348692,0,0
