Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.3249, 20.7038, 359866

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.2825, 20.6626, 360583

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 24.4951, 23.7816, 313292

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9343, 19.3537, 384969

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 22.7566, 21.8813, 340500
