Time,from_ingress_queue_size,to_ingress_queue_size
954.674,128,nan
1908.35,0,nan
1909.35,0,0
1910.35,128,0
2864.02,128,0
2865.02,128,0
3817.7,128,0
3818.7,128,0
4771.37,128,0
4772.37,128,0
5725.05,128,0
5726.05,128,0
6678.72,128,0
6679.72,128,0
7632.39,128,0
7633.39,128,0
8586.07,128,0
8587.07,128,0
9539.74,128,0
9540.74,128,0
10493.4,128,0
10494.4,128,0
11447.1,128,0
11448.1,128,0
12400.8,128,0
12401.8,128,0
13354.4,128,0
13355.4,128,0
14308.1,128,0
14309.1,128,0
15261.8,128,0
15262.8,128,0
16215.5,128,0
16216.5,128,0
17169.1,128,0
17170.1,128,0
18122.8,128,0
18123.8,128,0
19076.5,128,0
19077.5,128,0
20030.2,128,0
20031.2,128,0
20983.8,128,0
20984.8,128,0
21937.5,128,0
21938.5,128,0
22891.2,128,0
22892.2,128,0
23844.9,128,0
23845.9,128,0
24798.5,128,0
24799.5,128,0
25752.2,128,0
25753.2,128,0
26705.9,128,0
26706.9,128,0
27659.6,128,0
27660.6,128,0
28613.2,128,0
28614.2,128,0
29566.9,128,0
29567.9,128,0
30520.6,128,0
30521.6,128,0
31474.3,128,0
31475.3,128,0
32427.9,128,0
32428.9,128,0
33381.6,128,0
33382.6,128,0
34335.3,128,0
34336.3,128,0
35288.9,128,0
35289.9,128,0
36242.6,128,0
36243.6,128,0
37196.3,128,0
37197.3,128,0
38150,128,0
38151,128,0
39103.6,128,0
39104.6,128,0
40057.3,128,0
40058.3,128,0
41011,128,0
41012,128,0
41964.7,128,0
41965.7,128,0
42918.3,128,0
42919.3,128,0
43872,128,0
43873,128,0
44825.7,128,0
44826.7,128,0
45779.4,128,0
45780.4,128,0
46733,128,0
46734,128,0
47686.7,128,0
47687.7,128,0
48640.4,128,0
48641.4,128,0
49594.1,128,0
49595.1,128,0
50547.7,0,0
50548.7,0,0
69063.2,128,0
70016.9,0,0
70017.9,128,0
70969.6,256,0
70971.6,128,0
70972.6,128,0
71923.3,256,0
71925.3,128,0
71926.3,128,0
72876.9,256,0
72878.9,128,0
72879.9,128,0
73829.6,256,0
73832.6,128,0
73833.6,128,0
74785.3,256,0
74786.3,128,0
74787.3,128,0
75739,256,0
75740,128,0
75741,128,0
76692.6,256,0
76693.6,128,0
76694.6,128,0
77646.3,256,0
77647.3,128,0
77648.3,128,0
78600,256,0
78601,128,0
78602,128,0
79553.7,256,0
79554.7,128,0
79555.7,128,0
80507.3,256,0
80508.3,128,0
80509.3,128,0
81461,256,0
81462,128,0
81463,128,0
82414.7,256,0
82415.7,128,0
82416.7,128,0
83368.4,256,0
83369.4,128,0
83370.4,128,0
84321,256,0
84323,128,0
84324,128,0
85274.7,256,0
85276.7,128,0
85277.7,128,0
86228.4,256,0
86230.4,128,0
86231.4,128,0
87182.1,256,0
87184.1,128,0
87185.1,128,0
88135.7,256,0
88137.7,128,0
88138.7,128,0
89089.4,256,0
89091.4,128,0
89092.4,128,0
90043.1,256,0
90045.1,128,0
90046.1,128,0
90996.8,256,0
90998.8,128,0
90999.8,128,0
91950.4,256,0
91952.4,128,0
91953.4,128,0
92904.1,256,0
92906.1,128,0
92907.1,128,0
93857.8,256,0
93859.8,128,0
93860.8,128,0
94811.4,256,0
94813.4,128,0
94814.4,128,0
95765.1,256,0
95767.1,128,0
95768.1,128,0
96718.8,256,0
96720.8,128,0
96721.8,128,0
97672.5,256,0
97674.5,128,0
97675.5,128,0
98626.1,256,0
98628.1,128,0
98629.1,128,0
99581.8,0,0
99582.8,0,0
143574,128,0
144528,0,0
144529,0,0
144530,128,0
145482,256,0
145484,128,0
145485,128,0
146435,256,0
146437,128,0
146438,128,0
147389,256,0
147391,128,0
147392,128,0
148343,256,0
148345,128,0
148346,128,0
149296,256,0
149298,128,0
149299,128,0
150250,256,0
150252,128,0
150253,128,0
151204,256,0
151206,128,0
151207,128,0
152157,256,0
152159,128,0
152160,128,0
153111,256,0
153113,128,0
153114,128,0
154065,256,0
154067,128,0
154068,128,0
155019,256,0
155021,128,0
155022,128,0
155972,256,0
155974,128,0
155975,128,0
156926,256,0
156928,128,0
156929,128,0
157880,256,0
157882,128,0
157883,128,0
158833,256,0
158835,128,0
158836,128,0
159787,256,0
159789,128,0
159790,128,0
160741,256,0
160743,128,0
160744,128,0
161694,256,0
161696,128,0
161697,128,0
162648,256,0
162650,128,0
162651,128,0
163602,256,0
163604,128,0
163605,128,0
164555,256,0
164557,128,0
164558,128,0
165509,256,0
165511,128,0
165512,128,0
166463,256,0
166465,128,0
166466,128,0
167416,256,0
167418,128,0
167419,128,0
168370,256,0
168372,128,0
168373,128,0
169324,256,0
169326,128,0
169327,128,0
170277,256,0
170279,128,0
170280,128,0
171231,256,0
171233,128,0
171234,128,0
172185,256,0
172187,128,0
172188,128,0
173138,256,0
173140,128,0
173141,128,0
174094,0,0
174095,0,0
217625,128,0
218579,0,0
218580,0,0
218581,128,0
219532,256,0
219534,128,0
219535,128,0
220488,0,0
220489,0,0
