Time,from_ingress_queue_size,to_ingress_queue_size
4172.36,1,nan
4172.44,0,0
7893.66,1,0
7893.73,0,0
13110.1,1,0
13110.1,0,0
14604.6,1,0
14604.7,0,0
24288.9,1,0
24289,0,0
25780,1,0
25780.1,0,0
28013.2,1,0
28013.3,0,0
30995.5,1,0
30995.5,0,0
37699,1,0
37699.1,0,0
46639.7,1,0
46639.7,0,0
48127.8,1,0
48127.9,0,0
57070.5,1,0
57070.6,0,0
58558.6,1,0
58558.7,0,0
69738.5,1,0
69738.5,0,0
71224.6,1,0
71224.7,0,0
72714.7,1,0
72714.8,0,0
81657.4,1,0
81657.5,0,0
83145.5,1,0
83145.6,0,0
83891.6,1,0
83891.7,0,0
84635.6,1,0
84635.7,0,0
92833.3,1,0
92833.3,0,0
94321.4,1,0
94321.5,0,0
95067.4,1,0
95067.5,0,0
95811.5,1,0
95811.6,0,0
97301.6,1,0
97301.7,0,0
106244,1,0
106244,0,0
108478,1,0
108479,0,0
109224,1,0
109224,0,0
109972,1,0
109972,0,0
110717,1,0
110717,0,0
111462,1,0
111462,0,0
124125,1,0
124125,0,0
124870,1,0
124870,0,0
126359,1,0
126359,0,0
127848,1,0
127848,0,0
138281,1,0
138281,0,0
139026,1,0
139026,0,0
140515,1,0
140515,0,0
151692,1,0
151692,0,0
152437,1,0
152437,0,0
153926,1,0
153926,0,0
164361,1,0
164361,0,0
165103,1,0
165103,0,0
166592,1,0
166592,0,0
167336,1,0
167336,0,0
179262,1,0
179262,0,0
180004,1,0
180004,0,0
181493,1,0
181493,0,0
182242,1,0
182242,0,0
182987,1,0
182987,0,0
194163,1,0
194163,0,0
194905,1,0
194905,0,0
195650,1,0
195650,0,0
196398,1,0
196398,0,0
197143,1,0
197143,0,0
208316,1,0
208316,0,0
209061,1,0
209061,0,0
209805,1,0
209805,0,0
219492,1,0
219492,0,0
220237,1,0
220237,0,0
220981,1,0
220981,0,0
221726,1,0
221726,0,0
232158,1,0
232158,0,0
232903,1,0
232903,0,0
233647,1,0
233647,0,0
234392,1,0
234392,0,0
235137,1,0
235137,0,0
248552,1,0
248552,0,0
249294,1,0
249295,0,0
250043,1,0
250043,0,0
250788,1,0
250788,0,0
251529,1,0
251529,0,0
261961,1,0
261962,0,0
262706,1,0
262706,0,0
263450,1,0
263450,0,0
274626,1,0
274627,0,0
275374,1,0
275375,0,0
276120,1,0
276120,0,0
276861,1,0
276861,0,0
288038,1,0
288039,0,0
288783,1,0
288783,0,0
301452,1,0
301452,0,0
302194,1,0
302194,0,0
302938,1,0
302938,0,0
317095,1,0
317095,0,0
317840,1,0
317840,0,0
318584,1,0
318584,0,0
320074,1,0
320074,0,0
330506,1,0
330506,0,0
331251,1,0
331251,0,0
331995,1,0
331995,0,0
332740,1,0
332740,0,0
333485,1,0
333485,0,0
340193,1,0
340193,0,0
340937,1,0
340937,0,0
341681,1,0
341681,0,0
342426,1,0
342426,0,0
343171,1,0
343171,0,0
349877,1,0
349877,0,0
350622,1,0
350622,0,0
351366,1,0
351366,0,0
359563,1,0
359563,0,0
360308,1,0
360308,0,0
